Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ravinder Bhatia,Don Davies,Amy K. Gill,Imtiaz Popat,Fiona Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Kingsway/Vancouver Kingsway"," 82","Vancouver",46,38,35,3,4,0,126,467
59039,"Vancouver Kingsway/Vancouver Kingsway"," 83","Vancouver",34,51,54,0,3,1,143,398
59039,"Vancouver Kingsway/Vancouver Kingsway"," 84","Vancouver",62,66,53,1,2,0,184,621
59039,"Vancouver Kingsway/Vancouver Kingsway"," 85","Vancouver",51,40,44,5,0,0,140,467
59039,"Vancouver Kingsway/Vancouver Kingsway"," 86","Vancouver",53,42,64,2,1,0,162,421
59039,"Vancouver Kingsway/Vancouver Kingsway"," 87","Vancouver",49,31,47,0,0,0,127,419
59039,"Vancouver Kingsway/Vancouver Kingsway"," 88","Vancouver",97,82,102,0,0,3,284,428
59039,"Vancouver Kingsway/Vancouver Kingsway"," 89","Vancouver",40,52,60,1,3,0,156,382
59039,"Vancouver Kingsway/Vancouver Kingsway"," 90","Vancouver",Combined with No./Résultats combinés à ceux du n°88,,,,,,,356
59039,"Vancouver Kingsway/Vancouver Kingsway"," 91","Vancouver",34,34,34,1,2,2,107,462
59039,"Vancouver Kingsway/Vancouver Kingsway"," 92","Vancouver",42,44,70,4,1,1,162,454
59039,"Vancouver Kingsway/Vancouver Kingsway"," 93","Vancouver",35,40,34,0,0,0,109,433
59039,"Vancouver Kingsway/Vancouver Kingsway"," 94","Vancouver",30,33,46,1,2,0,112,368
59039,"Vancouver Kingsway/Vancouver Kingsway"," 95","Vancouver",52,78,48,2,4,1,185,463
59039,"Vancouver Kingsway/Vancouver Kingsway"," 96","Vancouver",63,40,67,2,1,0,173,480
59039,"Vancouver Kingsway/Vancouver Kingsway"," 97","Vancouver",75,58,61,2,2,1,199,426
59039,"Vancouver Kingsway/Vancouver Kingsway"," 98","Vancouver",51,25,27,3,2,0,108,463
59039,"Vancouver Kingsway/Vancouver Kingsway"," 99","Vancouver",71,65,85,2,2,0,225,536
59039,"Vancouver Kingsway/Vancouver Kingsway"," 100","Vancouver",52,15,31,0,4,0,102,457
59039,"Vancouver Kingsway/Vancouver Kingsway"," 101","Vancouver",45,32,46,0,0,0,123,463
59039,"Vancouver Kingsway/Vancouver Kingsway"," 102","Vancouver",58,85,63,1,4,0,211,455
59039,"Vancouver Kingsway/Vancouver Kingsway"," 103","Vancouver",51,45,44,1,2,1,144,446
