Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Carl Belley,Christine Dandenault,Julie Girard-Lemay,Rose Lessard,Marie-Gabrielle Ménard,Jacob Pirro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 1","Montréal",26,0,8,30,68,2,1,135,400
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 2","Montréal",9,0,12,40,55,2,0,118,336
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 3","Montréal",14,0,8,29,71,2,3,127,363
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 4","Montréal",22,0,13,34,66,5,0,140,366
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 5","Montréal",42,0,8,28,90,5,0,173,444
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 6","Montréal",19,1,5,44,70,3,1,143,364
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 7","Montréal",23,0,3,8,84,0,3,121,413
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 8","Montréal",9,0,8,39,71,1,1,129,327
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 9","Montréal",16,1,4,45,77,5,1,149,397
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 10","Montréal",22,1,12,23,49,3,3,113,327
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 11","Montréal",24,0,20,49,66,4,1,164,441
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 12","Montréal",31,0,16,43,57,3,4,154,382
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 13","Montréal",28,0,11,30,65,2,1,137,408
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 14","Montréal",28,0,6,6,83,2,1,126,388
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 15","Montréal",36,1,15,20,103,1,4,180,545
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 16","Montréal",34,0,6,25,76,3,4,148,402
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 17","Montréal",26,0,7,36,83,0,3,155,419
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 18","Montréal",23,0,9,19,102,1,2,156,395
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 19","Montréal",20,1,14,16,77,2,1,131,361
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 20","Montréal",33,0,14,37,116,2,7,209,448
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 21A","Montréal",18,0,6,34,61,1,1,121,296
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 21B","Montréal",3,2,2,28,64,1,3,103,151
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 22","Montréal",9,1,9,25,83,5,1,133,388
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 23","Montréal",29,0,7,24,91,6,2,159,422
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 24","Montréal",21,0,2,22,62,0,0,107,318
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 25","Montréal",10,1,17,43,41,1,2,115,395
24026,"Hochelaga--Rosemont-Est/Hochelaga--Rosemont-Est"," 26","Montréal",27,0,12,37,61,1,3,141,383
