Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Naveed Ahmed,Nadeem Akbar,Adam Van Koeverden,Charles Zach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 164","Burlington",4,58,81,2,2,147,455
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 165","Burlington",2,95,106,2,1,206,498
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 166","Burlington",3,37,104,0,3,147,496
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 167","Burlington",13,98,102,4,1,218,514
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 168","Burlington",6,54,54,0,1,115,391
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 169","Burlington",6,73,77,4,1,161,447
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 170","Burlington",4,93,87,4,1,189,516
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 171","Burlington",4,80,82,2,2,170,470
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 172","Burlington",6,77,86,0,1,170,530
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 173","Burlington",10,87,112,1,2,212,494
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 174","Burlington",5,80,71,2,3,161,433
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 175","Burlington",6,98,177,2,0,283,515
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 176","Burlington",2,88,128,0,0,218,447
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 177","Burlington",5,94,112,1,0,212,499
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 178","Burlington",2,105,136,2,2,247,481
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 179","Burlington",6,115,124,1,0,246,514
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 180","Burlington",7,115,162,8,1,293,544
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 181","Burlington",2,119,103,2,0,226,465
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 182","Burlington",6,85,136,1,1,229,524
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 183","Burlington",7,117,149,5,0,278,556
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 184","Burlington",5,120,113,1,0,239,487
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 185","Burlington",2,91,110,1,0,204,504
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 186","Burlington",4,78,104,5,0,191,508
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 400","Milton",5,30,30,2,0,67,212
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 401","Burlington",13,83,199,2,6,303,395
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,80
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,82
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 502","Mobile poll/Bureau itinérant",6,39,89,2,1,137,108
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,136
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 504","Mobile poll/Bureau itinérant",3,27,66,1,2,99,80
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 505","Burlington",Combined with No./Résultats combinés à ceux du n°160,,,,,,2
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 506","Mobile poll/Bureau itinérant",6,30,108,0,1,145,96
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,34
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 600","Milton",29,741,852,14,2,1638,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 601","Milton",32,468,606,8,4,1118,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 602","Milton",24,601,785,14,2,1426,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 603","Milton",17,610,843,3,3,1476,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 604","Milton",28,521,701,8,3,1261,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 605","Milton",28,539,730,6,1,1304,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 606","Milton",22,508,684,11,1,1226,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 607","Milton",22,542,827,18,5,1414,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 608","Milton",Void/Supprimé,,,,,,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 609","Milton",Void/Supprimé,,,,,,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 610","Milton",Void/Supprimé,,,,,,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 611","Burlington",30,722,682,6,5,1445,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 612","Burlington",26,675,749,6,4,1460,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 613","Burlington",21,855,791,7,4,1678,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 614","Burlington",11,532,789,4,2,1338,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 615","Burlington",30,797,1116,12,2,1957,
