Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peter Buddle,Marc Dalton,Daniel Heydenrych,Chris Lehner,Angie Rowell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 1A","Silver Valley",0,64,6,1,39,0,110,349
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 1B","Silver Valley",0,56,4,1,41,0,102,384
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 2A","Maple Ridge",1,58,6,0,38,0,103,313
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 2B","Maple Ridge",0,41,7,0,33,1,82,268
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 3","Maple Ridge",0,100,6,0,46,0,152,543
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 4","Maple Ridge",0,99,10,1,82,0,192,522
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 5","Maple Ridge",0,70,9,0,69,0,148,437
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 6","Maple Ridge",1,113,6,1,57,0,178,483
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 7","Maple Ridge",0,107,11,0,88,2,208,499
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 8A","Maple Ridge",2,69,12,1,48,0,132,332
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 8B","Maple Ridge",0,83,13,1,55,0,152,324
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 9","Maple Ridge",0,70,6,1,60,1,138,403
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 10","Pitt Meadows",0,103,8,1,52,0,164,454
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 11","Pitt Meadows",0,109,11,2,79,1,202,493
59024,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 12","Pitt Meadows",0,67,9,1,57,1,135,385
