Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Fares Al Soud,Zulfiqar Ali,Muhammad Ishaq,Brandon Nguyen,Gurdeep Wolosz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga Centre/Mississauga-Centre"," 1","Mississauga",62,1,53,3,0,0,119,373
35061,"Mississauga Centre/Mississauga-Centre"," 2A","Mississauga",58,1,63,3,1,0,126,260
35061,"Mississauga Centre/Mississauga-Centre"," 2B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°405,,,,,,,156
35061,"Mississauga Centre/Mississauga-Centre"," 3","Mississauga",53,1,93,4,0,0,151,391
35061,"Mississauga Centre/Mississauga-Centre"," 4","Mississauga",113,1,99,5,2,3,223,496
35061,"Mississauga Centre/Mississauga-Centre"," 5","Mississauga",69,0,100,5,0,3,177,362
35061,"Mississauga Centre/Mississauga-Centre"," 6A","Mississauga",85,1,66,4,1,0,157,155
35061,"Mississauga Centre/Mississauga-Centre"," 6B","Mississauga",107,0,111,5,4,1,228,386
35061,"Mississauga Centre/Mississauga-Centre"," 7A","Mississauga",Combined with No./Résultats combinés à ceux du n°6A,,,,,,,215
35061,"Mississauga Centre/Mississauga-Centre"," 7B","Mississauga",70,1,28,10,2,2,113,269
35061,"Mississauga Centre/Mississauga-Centre"," 7C","Mississauga",94,0,87,7,0,0,188,392
35061,"Mississauga Centre/Mississauga-Centre"," 8","Mississauga",56,1,29,2,1,1,90,201
35061,"Mississauga Centre/Mississauga-Centre"," 9","Mississauga",148,0,118,6,3,1,276,512
35061,"Mississauga Centre/Mississauga-Centre"," 10","Mississauga",140,2,97,7,2,3,251,506
35061,"Mississauga Centre/Mississauga-Centre"," 11","Mississauga",149,3,79,6,2,1,240,498
35061,"Mississauga Centre/Mississauga-Centre"," 12","Mississauga",102,1,103,5,3,1,215,407
35061,"Mississauga Centre/Mississauga-Centre"," 13","Mississauga",148,1,140,5,7,0,301,519
35061,"Mississauga Centre/Mississauga-Centre"," 14","Mississauga",117,2,70,4,4,0,197,548
