Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Maricar Aliasut,Mark Boudreau,Amethyste Hamel-Gregory,Shannon Miedema,Lisa Roberts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax/Halifax"," 136","Halifax",1,37,4,51,16,2,111,477
12006,"Halifax/Halifax"," 137","Halifax",0,71,3,86,23,1,184,657
12006,"Halifax/Halifax"," 138","Halifax",3,41,1,47,40,5,137,578
12006,"Halifax/Halifax"," 139","Halifax",2,60,2,109,20,2,195,571
12006,"Halifax/Halifax"," 140","Halifax",4,54,0,63,29,0,150,573
12006,"Halifax/Halifax"," 141","Halifax",Combined with No./Résultats combinés à ceux du n°142,,,,,,,297
12006,"Halifax/Halifax"," 142","Halifax",3,74,1,115,25,0,218,320
12006,"Halifax/Halifax"," 143","Halifax",0,50,2,103,15,2,172,484
12006,"Halifax/Halifax"," 144","Halifax",3,27,1,49,14,0,94,304
12006,"Halifax/Halifax"," 145","Halifax",3,23,2,76,12,2,118,371
12006,"Halifax/Halifax"," 146","Halifax",1,78,1,78,14,0,172,508
12006,"Halifax/Halifax"," 147","Halifax",1,46,3,69,14,1,134,328
12006,"Halifax/Halifax"," 148","Halifax",2,54,3,96,20,2,177,482
12006,"Halifax/Halifax"," 149","Halifax",1,66,2,81,17,1,168,373
12006,"Halifax/Halifax"," 150","Harrietsfield",1,49,1,28,14,2,95,334
12006,"Halifax/Halifax"," 151","Harrietsfield",3,54,0,40,12,0,109,325
12006,"Halifax/Halifax"," 152","Harrietsfield--Williamswood",2,72,1,68,11,0,154,394
12006,"Halifax/Halifax"," 153","Harrietsfield--Williamswood",1,46,0,40,7,0,94,367
12006,"Halifax/Halifax"," 154","Williamswood",1,48,4,45,9,0,107,330
12006,"Halifax/Halifax"," 155","Portuguese Cove",2,119,2,99,24,3,249,470
12006,"Halifax/Halifax"," 156","Halifax",1,78,4,143,30,2,258,505
12006,"Halifax/Halifax"," 400","Halifax",Combined with No./Résultats combinés à ceux du n°7,,,,,,,129
12006,"Halifax/Halifax"," 401","Halifax",0,7,1,44,41,1,94,166
12006,"Halifax/Halifax"," 402","Mobile poll/Bureau itinérant",3,31,7,100,24,2,167,225
12006,"Halifax/Halifax"," 403","Halifax",Combined with No./Résultats combinés à ceux du n°16,,,,,,,149
12006,"Halifax/Halifax"," 404","Halifax",Combined with No./Résultats combinés à ceux du n°406,,,,,,,167
12006,"Halifax/Halifax"," 405","Halifax",Combined with No./Résultats combinés à ceux du n°19,,,,,,,200
12006,"Halifax/Halifax"," 406","Halifax",1,41,0,91,7,1,141,222
12006,"Halifax/Halifax"," 407","Halifax",Combined with No./Résultats combinés à ceux du n°54,,,,,,,7
12006,"Halifax/Halifax"," 408","Halifax",Combined with No./Résultats combinés à ceux du n°406,,,,,,,99
12006,"Halifax/Halifax"," 409","Halifax",Combined with No./Résultats combinés à ceux du n°35,,,,,,,120
12006,"Halifax/Halifax"," 410","Halifax",0,5,0,24,7,0,36,165
12006,"Halifax/Halifax"," 411","Halifax",Combined with No./Résultats combinés à ceux du n°130,,,,,,,194
12006,"Halifax/Halifax"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,,63
12006,"Halifax/Halifax"," 501","Mobile poll/Bureau itinérant",1,14,1,91,11,3,121,82
12006,"Halifax/Halifax"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,55
12006,"Halifax/Halifax"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,40
12006,"Halifax/Halifax"," 504","Mobile poll/Bureau itinérant",0,24,1,105,11,1,142,146
12006,"Halifax/Halifax"," 505","Halifax",Combined with No./Résultats combinés à ceux du n°55,,,,,,,33
12006,"Halifax/Halifax"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,70
12006,"Halifax/Halifax"," 507","Mobile poll/Bureau itinérant",5,34,1,63,14,7,124,77
12006,"Halifax/Halifax"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,46
12006,"Halifax/Halifax"," 509","Mobile poll/Bureau itinérant",2,25,2,113,18,2,162,123
12006,"Halifax/Halifax"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,48
12006,"Halifax/Halifax"," 600","Halifax",5,189,9,1255,367,0,1825,
12006,"Halifax/Halifax"," 601","Halifax",6,159,8,1177,399,5,1754,
12006,"Halifax/Halifax"," 602","Halifax",0,180,13,987,290,7,1477,
12006,"Halifax/Halifax"," 603","Halifax",1,112,7,662,334,0,1116,
12006,"Halifax/Halifax"," 604","Halifax",0,187,2,1018,163,3,1373,
12006,"Halifax/Halifax"," 605","Halifax",3,112,9,730,191,4,1049,
12006,"Halifax/Halifax"," 606","Halifax",2,194,8,833,136,5,1178,
12006,"Halifax/Halifax"," 607","Halifax",2,93,10,641,142,2,890,
12006,"Halifax/Halifax"," 608","Halifax",4,199,10,1236,194,4,1647,
12006,"Halifax/Halifax"," 609","Halifax",2,202,2,888,69,6,1169,
12006,"Halifax/Halifax"," 610","Halifax",10,285,5,811,122,0,1233,
12006,"Halifax/Halifax"," 611","Halifax",11,396,7,1055,127,4,1600,
12006,"Halifax/Halifax"," 612","Halifax",11,335,5,732,146,4,1233,
12006,"Halifax/Halifax"," 613","Harrietsfield",8,405,4,571,62,9,1059,
12006,"Halifax/Halifax"," 614","Halifax",7,255,9,670,58,1,1000,
12006,"Halifax/Halifax",,Group 1/Groupe 1, 11,441,19,1214,239,106,2030,684
12006,"Halifax/Halifax",,Group 2/Groupe 2, 14,660,29,4356,1221,69,6349,
