Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jasleen Bains,Terry Dowdall,Allan Kuhn,Giorgio Mammoliti,Bren Munro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Simcoe--Grey/Simcoe--Grey"," 53","Wasaga Beach",8,77,1,3,41,0,130,546
35098,"Simcoe--Grey/Simcoe--Grey"," 54","Wasaga Beach",7,98,3,6,52,0,166,547
35098,"Simcoe--Grey/Simcoe--Grey"," 55","Wasaga Beach",2,75,2,6,40,1,126,512
35098,"Simcoe--Grey/Simcoe--Grey"," 56","Collingwood",2,39,7,0,82,0,130,561
35098,"Simcoe--Grey/Simcoe--Grey"," 57","Collingwood",3,68,2,0,89,0,162,598
35098,"Simcoe--Grey/Simcoe--Grey"," 58","Collingwood",3,46,1,1,92,0,143,548
35098,"Simcoe--Grey/Simcoe--Grey"," 59","Collingwood",3,59,4,0,96,0,162,628
35098,"Simcoe--Grey/Simcoe--Grey"," 60","Wasaga Beach",8,104,6,1,60,2,181,514
35098,"Simcoe--Grey/Simcoe--Grey"," 61","Wasaga Beach",3,90,1,1,76,1,172,555
35098,"Simcoe--Grey/Simcoe--Grey"," 62","Wasaga Beach",12,80,1,8,54,2,157,520
35098,"Simcoe--Grey/Simcoe--Grey"," 63","Wasaga Beach",1,66,2,0,57,2,128,431
35098,"Simcoe--Grey/Simcoe--Grey"," 64","Wasaga Beach",9,120,4,0,123,5,261,571
35098,"Simcoe--Grey/Simcoe--Grey"," 65","Wasaga Beach",5,104,2,0,128,0,239,582
35098,"Simcoe--Grey/Simcoe--Grey"," 66","Wasaga Beach",7,65,6,2,58,2,140,530
35098,"Simcoe--Grey/Simcoe--Grey"," 67","Collingwood",1,57,1,1,82,1,143,513
35098,"Simcoe--Grey/Simcoe--Grey"," 68","Collingwood",9,71,12,1,94,1,188,499
35098,"Simcoe--Grey/Simcoe--Grey"," 69","Collingwood",Combined with No./Résultats combinés à ceux du n°14,,,,,,,405
35098,"Simcoe--Grey/Simcoe--Grey"," 70","Wasaga Beach",10,76,5,3,40,1,135,435
35098,"Simcoe--Grey/Simcoe--Grey"," 71","Wasaga Beach",6,66,1,0,57,2,132,450
35098,"Simcoe--Grey/Simcoe--Grey"," 72","Wasaga Beach",4,60,2,1,35,0,102,325
35098,"Simcoe--Grey/Simcoe--Grey"," 73","Wasaga Beach",3,64,3,1,49,0,120,570
35098,"Simcoe--Grey/Simcoe--Grey"," 74","Wasaga Beach",4,74,1,1,58,0,138,460
35098,"Simcoe--Grey/Simcoe--Grey"," 75","Wasaga Beach",0,96,1,1,49,1,148,564
35098,"Simcoe--Grey/Simcoe--Grey"," 76","Wasaga Beach",9,84,3,3,65,2,166,581
35098,"Simcoe--Grey/Simcoe--Grey"," 77","Wasaga Beach",3,219,3,4,87,0,316,919
35098,"Simcoe--Grey/Simcoe--Grey"," 78","Wasaga Beach",10,80,6,2,66,1,165,601
35098,"Simcoe--Grey/Simcoe--Grey"," 79","Wasaga Beach",2,86,2,2,66,0,158,593
35098,"Simcoe--Grey/Simcoe--Grey"," 80","Wasaga Beach",9,86,3,0,78,1,177,608
35098,"Simcoe--Grey/Simcoe--Grey"," 81","Wasaga Beach",12,136,0,0,70,1,219,735
35098,"Simcoe--Grey/Simcoe--Grey"," 82","Collingwood",3,91,11,4,106,0,215,467
35098,"Simcoe--Grey/Simcoe--Grey"," 83","Collingwood",4,85,9,2,123,0,223,613
35098,"Simcoe--Grey/Simcoe--Grey"," 84","Collingwood",3,69,0,2,73,1,148,393
35098,"Simcoe--Grey/Simcoe--Grey"," 85","Collingwood",5,57,7,0,66,1,136,433
35098,"Simcoe--Grey/Simcoe--Grey"," 86","Collingwood",3,81,6,2,85,0,177,529
35098,"Simcoe--Grey/Simcoe--Grey"," 87","Collingwood",7,72,2,0,107,0,188,501
35098,"Simcoe--Grey/Simcoe--Grey"," 88","Collingwood",4,80,1,2,71,0,158,510
35098,"Simcoe--Grey/Simcoe--Grey"," 89","Collingwood",14,66,5,0,77,1,163,465
35098,"Simcoe--Grey/Simcoe--Grey"," 90","Collingwood",7,135,1,0,75,2,220,707
35098,"Simcoe--Grey/Simcoe--Grey"," 91","Collingwood",9,80,6,1,64,1,161,422
35098,"Simcoe--Grey/Simcoe--Grey"," 92","Collingwood",3,82,1,0,76,0,162,455
35098,"Simcoe--Grey/Simcoe--Grey"," 93","Collingwood",2,83,3,3,103,3,197,501
35098,"Simcoe--Grey/Simcoe--Grey"," 94","Collingwood",8,155,7,2,160,3,335,557
35098,"Simcoe--Grey/Simcoe--Grey"," 95","Collingwood",11,204,5,1,185,2,408,789
35098,"Simcoe--Grey/Simcoe--Grey"," 96","Collingwood",5,133,6,0,165,1,310,505
35098,"Simcoe--Grey/Simcoe--Grey"," 97","Wasaga Beach",7,90,0,1,83,1,182,655
35098,"Simcoe--Grey/Simcoe--Grey"," 98","Wasaga Beach",2,97,3,2,61,0,165,531
35098,"Simcoe--Grey/Simcoe--Grey"," 99","Clearview--Jack Lake",2,70,1,3,30,0,106,363
35098,"Simcoe--Grey/Simcoe--Grey"," 100","Clearview",3,115,5,1,72,1,197,394
35098,"Simcoe--Grey/Simcoe--Grey"," 101","Clearview",3,72,4,1,107,0,187,412
35098,"Simcoe--Grey/Simcoe--Grey"," 102","Clearview",3,66,1,0,32,0,102,265
