Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Danielle Maniuk,Costas Menegakis,Tom Muench,Leah Taylor Roy,Igor Tvorogov,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",0,93,0,47,1,0,141,456
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",1,48,1,52,0,2,104,379
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",3,67,1,93,0,0,164,511
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",3,69,0,82,0,0,154,428
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",5,83,0,77,1,1,167,349
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",2,79,1,62,0,0,144,421
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",1,92,0,52,0,1,146,420
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 8","Aurora",7,122,2,113,2,0,246,551
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 9","Aurora",1,98,1,42,0,0,142,405
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 10","Aurora",4,106,3,100,0,1,214,439
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 11","Aurora",9,139,4,123,0,0,275,539
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 12","Aurora",2,122,3,119,6,0,252,526
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 13","Aurora",3,95,2,66,1,2,169,527
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 14","Aurora",2,95,1,94,0,0,192,556
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 15","Aurora",2,45,1,54,5,0,107,301
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 16","Aurora",3,60,2,61,0,0,126,361
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 17","Aurora",2,64,0,58,0,1,125,417
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 18","Aurora",1,78,0,57,1,0,137,392
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 19","Aurora",3,81,2,71,1,0,158,414
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 20","Aurora",5,78,1,72,1,2,159,435
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 21","Aurora",14,100,3,76,1,0,194,431
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 22","Aurora",8,70,4,57,1,0,140,409
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 23","Aurora",4,72,0,79,0,0,155,418
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 24","Aurora",1,62,0,75,1,0,139,487
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 25","Aurora",5,92,4,67,1,0,169,518
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 26","Aurora",4,91,2,90,0,0,187,512
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 27","Aurora",0,66,7,78,1,0,152,469
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 28","Aurora",3,47,1,36,1,0,88,370
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 29","Aurora",1,125,3,62,0,1,192,469
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 30","Aurora",4,85,2,60,0,0,151,412
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 31","Aurora",2,80,1,69,1,1,154,372
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 32","Aurora",2,64,0,79,1,0,146,487
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 33","Aurora",1,64,1,64,1,1,132,375
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 34","Aurora",2,82,1,66,0,0,151,422
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 35","Aurora",4,71,1,78,0,0,154,463
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 36","Aurora",6,85,3,124,2,0,220,404
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 37","Aurora",0,86,1,51,0,0,138,432
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 38","Aurora",7,71,2,60,1,3,144,511
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 39","Aurora",2,87,0,89,0,1,179,500
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 40","Aurora",2,50,1,43,1,0,97,433
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 41","Aurora",3,67,2,49,0,3,124,385
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 42","Aurora",1,117,3,100,0,0,221,475
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 43","Aurora",0,52,1,35,0,1,89,371
