Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Desilets,Michel Genois,Joseph Hakizimana,Linda Lapointe,Elia Lopez,David Santamaria Quiceno,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 159","Saint-Eustache",75,0,3,54,24,3,1,2,162,354
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 160","Saint-Eustache",35,0,4,63,34,2,2,1,141,341
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 161","Saint-Eustache",71,2,2,58,31,4,2,1,171,354
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162","Saint-Eustache",19,0,2,57,45,1,0,1,125,373
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 163","Saint-Eustache",46,0,0,40,27,0,5,1,119,248
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 164","Saint-Eustache",57,0,4,58,32,2,1,5,159,350
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 165","Saint-Eustache",45,1,6,65,30,1,1,1,150,347
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 166","Saint-Eustache",43,0,6,36,22,2,2,2,113,339
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 167","Saint-Eustache",57,0,2,26,22,0,2,2,111,336
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 168","Saint-Eustache",47,0,4,45,32,0,4,5,137,362
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 169","Saint-Eustache",41,0,1,37,21,0,2,3,105,346
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 170","Saint-Eustache",43,1,3,57,27,3,3,7,144,389
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 171","Saint-Eustache",57,0,10,51,34,0,1,2,155,429
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 172","Saint-Eustache",79,1,5,66,22,3,3,4,183,428
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 173","Saint-Eustache",64,0,6,53,30,0,5,6,164,400
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 174","Saint-Eustache",65,0,1,63,42,0,5,9,185,409
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 175","Saint-Eustache",61,1,3,74,23,1,3,4,170,403
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 176","Saint-Eustache",60,0,7,68,42,0,4,1,182,394
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 177","Deux-Montagnes",57,0,4,72,32,0,2,3,170,401
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 178","Deux-Montagnes",53,1,5,47,30,0,2,2,140,372
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 179","Saint-Eustache",60,1,5,57,19,2,1,6,151,387
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 180","Deux-Montagnes",78,3,9,86,34,0,1,7,218,471
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 181","Deux-Montagnes",59,4,4,84,40,1,2,1,195,423
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 182","Deux-Montagnes",78,0,5,87,29,0,6,4,209,447
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 183","Deux-Montagnes",40,0,4,60,30,1,1,1,137,374
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 184","Deux-Montagnes",45,1,4,69,44,0,4,6,173,388
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 185","Deux-Montagnes",52,2,7,57,42,0,4,3,167,421
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 186","Deux-Montagnes",61,2,7,51,54,0,2,2,179,447
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 187","Deux-Montagnes",32,1,5,60,25,1,0,4,128,347
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 188","Deux-Montagnes",34,1,0,46,35,3,3,3,125,352
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 189","Deux-Montagnes",48,0,11,92,40,2,4,3,200,457
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 190","Deux-Montagnes",81,3,7,89,47,0,5,2,234,493
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 191","Deux-Montagnes",52,1,4,69,27,2,1,3,159,427
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 192","Deux-Montagnes",52,0,14,45,29,1,5,1,147,377
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 193","Deux-Montagnes",43,0,10,50,25,2,2,6,138,408
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 194","Deux-Montagnes",48,2,7,78,41,3,4,2,185,447
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 195","Deux-Montagnes",79,2,7,105,34,0,3,2,232,446
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 196","Deux-Montagnes",36,1,2,47,26,0,2,1,115,408
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 197","Deux-Montagnes",45,0,2,74,40,1,6,2,170,396
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 198","Deux-Montagnes",35,12,5,57,33,2,2,6,152,332
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 199","Deux-Montagnes",44,0,11,49,37,1,1,5,148,406
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 200","Deux-Montagnes",57,0,6,60,33,0,7,8,171,476
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 201","Deux-Montagnes",62,0,5,50,51,0,9,4,181,449
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 202","Deux-Montagnes",58,2,8,50,43,1,3,4,169,450
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 203","Deux-Montagnes",49,0,8,76,30,2,2,0,167,405
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 204","Deux-Montagnes",44,0,3,52,27,0,3,2,131,366
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 205","Deux-Montagnes",51,3,5,62,30,0,3,0,154,418
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 206","Deux-Montagnes",40,1,3,63,23,1,3,0,134,372
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 207","Deux-Montagnes",43,0,4,69,37,1,7,1,162,407
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 208","Deux-Montagnes",39,2,3,51,37,0,6,2,140,353
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 209","Deux-Montagnes",48,0,6,49,29,0,5,4,141,377
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 210","Deux-Montagnes",39,1,2,61,31,1,1,0,136,323
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 211","Deux-Montagnes",31,1,2,55,30,2,0,0,121,364
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 400","Boisbriand",43,0,0,121,11,1,0,12,188,282
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 401","Boisbriand",24,0,1,33,9,1,0,3,71,260
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 402A","Saint-Eustache",31,1,1,58,11,0,0,2,104,147
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 402B","Saint-Eustache",42,0,0,68,6,0,0,4,120,160
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 402C","Saint-Eustache",33,0,1,69,5,0,1,10,119,171
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 403","Saint-Eustache",73,1,1,106,11,1,3,14,210,280
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 404","Deux-Montagnes",47,0,0,125,14,2,1,3,192,292
