Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dave Blackburn,Hugues Boily-Maltais,Lorie Bouchard,Alexis Brunelle-Duceppe,Denis Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 121","Saint-Félicien",49,2,2,60,45,1,159,394
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 122","Saint-Félicien",41,1,0,97,39,3,181,373
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 123","Saint-Félicien",34,7,2,58,37,0,138,319
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 124","Saint-Félicien",70,2,1,73,49,8,203,469
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 125","Saint-Gédéon",39,8,0,118,57,1,223,475
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 126","Saint-Gédéon",62,3,2,115,65,0,247,453
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 127","Saint-Gédéon",28,4,2,71,29,2,136,293
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 128","Mashteuiatsh",19,5,1,32,47,0,104,440
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 129","Mashteuiatsh",12,5,1,20,76,0,114,430
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 130","Mashteuiatsh",10,3,3,12,29,0,57,462
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 131","Mashteuiatsh",8,2,0,14,35,0,59,473
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 132","Saint-Félicien",23,3,1,42,31,0,100,366
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 133","Saint-Félicien",26,4,1,64,41,1,137,442
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 134","Saint-Félicien",34,1,3,74,34,3,149,411
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 135","Saint-Félicien",71,0,1,62,41,7,182,451
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 136","Saint-Félicien",45,1,1,54,62,1,164,476
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 137","Saint-Félicien",43,0,2,60,36,0,141,379
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 138","Saint-Félicien",40,2,0,69,38,1,150,373
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 139","Saint-Gédéon",30,6,8,89,36,4,173,398
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 140","Saint-Gédéon",36,4,0,56,16,1,113,269
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 141","Saint-Félicien",58,8,1,95,56,5,223,501
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 142","Saint-Félicien",44,3,2,72,42,1,164,400
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 143","Saint-Félicien",65,2,1,52,27,2,149,389
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 144","Saint-Félicien",78,3,2,77,57,2,219,490
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 145","Saint-Félicien",71,2,0,71,31,0,175,400
