Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dave Blackburn,Hugues Boily-Maltais,Lorie Bouchard,Alexis Brunelle-Duceppe,Denis Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 16","Dolbeau-Mistassini",57,3,3,83,28,7,181,427
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 17","Albanel",37,1,3,49,36,1,127,317
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 18","Albanel",65,2,0,92,39,3,201,395
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 19","Albanel",54,4,6,52,24,2,142,322
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 20","Albanel",46,6,2,79,24,8,165,343
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 21","Saint-Edmond",44,3,3,101,38,3,192,291
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 22","Dolbeau-Mistassini",37,2,1,58,46,2,146,385
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 23","Dolbeau-Mistassini",38,1,0,58,54,3,154,362
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 24","Dolbeau-Mistassini",49,4,3,61,27,0,144,372
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 25","Dolbeau-Mistassini",57,4,0,82,67,2,212,477
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 26","Alma",57,0,3,63,42,2,167,366
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 27","Alma",29,5,1,66,11,2,114,364
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 28","Alma",36,6,4,76,26,2,150,386
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 29","Alma",36,8,4,85,25,4,162,391
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 30","Alma",29,3,2,87,27,4,152,344
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 31","Dolbeau-Mistassini",66,3,1,65,49,2,186,424
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 32A","Dolbeau-Mistassini",34,2,2,64,32,2,136,358
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 32B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,10
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 32C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,5
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 33","Dolbeau-Mistassini",28,2,2,56,29,3,120,329
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 34","Dolbeau-Mistassini",43,3,2,71,40,3,162,382
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 35","Dolbeau-Mistassini",39,1,6,50,40,2,138,372
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 36","Dolbeau-Mistassini",57,1,1,59,31,1,150,359
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 37","Dolbeau-Mistassini",26,5,3,45,24,1,104,352
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 38","Dolbeau-Mistassini",43,7,1,43,19,1,114,331
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 39","Dolbeau-Mistassini",30,4,1,38,20,0,93,336
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 40","Dolbeau-Mistassini",44,3,1,72,46,3,169,406
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 41","Dolbeau-Mistassini",48,5,1,61,40,1,156,369
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 42","Dolbeau-Mistassini",48,3,0,67,61,4,183,365
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 43","Péribonka",58,6,2,141,56,6,269,486
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 44","Sainte-Monique",72,0,0,73,27,0,172,391
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 45","Sainte-Monique",65,3,1,75,54,6,204,349
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 46","Normandin",70,4,2,86,33,8,203,384
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 47","Normandin",54,2,2,66,40,4,168,327
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 48","Normandin",46,1,0,53,36,0,136,346
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 49","Normandin",56,1,2,57,37,4,157,380
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 50","Normandin",40,1,0,37,29,2,109,276
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 51","Normandin",28,3,3,54,32,0,120,266
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 52","Normandin",41,2,0,70,31,3,147,322
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 53","Dolbeau-Mistassini",38,3,0,80,31,2,154,309
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 54","Dolbeau-Mistassini",48,0,0,84,47,3,182,346
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 55","Alma",38,3,3,94,31,3,172,352
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 56","Alma",51,3,4,103,41,3,205,388
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 57","Alma",73,5,1,110,49,4,242,389
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 58","Alma",66,9,5,92,57,3,232,383
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 59","Saint-Henri-de-Taillon",61,4,1,89,28,3,186,330
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 60","Saint-Henri-de-Taillon",29,2,0,88,58,2,179,349
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 61","Alma",60,5,3,119,51,0,238,555
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 62","Alma",66,1,2,83,28,4,184,412
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 63","Alma",62,6,2,73,39,8,190,503
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 64","Alma",52,2,1,77,40,1,173,365
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 65","Alma",35,2,7,67,23,2,136,346
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 66","Alma",17,3,2,45,24,3,94,378
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 67","Alma",71,2,2,114,35,2,226,487
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 68","Alma",48,3,4,122,32,0,209,475
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 69","Saint-Félicien",54,4,3,78,40,4,183,368
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 70","Saint-Félicien",60,3,3,85,42,2,195,430
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 71","Saint-Félicien",56,2,0,94,68,2,222,485
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 72","Alma",39,1,2,32,28,1,103,316
