Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peter Bruce,Kimberly Epp,Michael Kram,Kaitlyn Stadnyk,Jeffrey Walters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Wascana/Regina--Wascana"," 100","Regina",1,0,173,2,93,1,270,500
47008,"Regina--Wascana/Regina--Wascana"," 101","Regina",Combined with No./Résultats combinés à ceux du n°100,,,,,,,451
47008,"Regina--Wascana/Regina--Wascana"," 102","Regina",Combined with No./Résultats combinés à ceux du n°104,,,,,,,278
47008,"Regina--Wascana/Regina--Wascana"," 103","Regina",1,2,72,2,74,0,151,495
47008,"Regina--Wascana/Regina--Wascana"," 104","Regina",2,4,127,6,106,0,245,562
47008,"Regina--Wascana/Regina--Wascana"," 105A","Regina",4,2,83,13,75,1,178,476
47008,"Regina--Wascana/Regina--Wascana"," 105B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,107
47008,"Regina--Wascana/Regina--Wascana"," 106","Regina",4,0,140,15,84,2,245,556
47008,"Regina--Wascana/Regina--Wascana"," 107","Regina",0,1,106,6,70,0,183,542
47008,"Regina--Wascana/Regina--Wascana"," 108","Regina",Combined with No./Résultats combinés à ceux du n°82,,,,,,,562
47008,"Regina--Wascana/Regina--Wascana"," 109","Regina",4,3,72,9,50,1,139,528
47008,"Regina--Wascana/Regina--Wascana"," 110","Regina",1,1,61,6,67,0,136,566
47008,"Regina--Wascana/Regina--Wascana"," 111","Regina",Combined with No./Résultats combinés à ceux du n°114,,,,,,,459
47008,"Regina--Wascana/Regina--Wascana"," 112","Regina",1,1,60,11,84,1,158,516
47008,"Regina--Wascana/Regina--Wascana"," 113","Regina",0,1,31,3,36,0,71,325
47008,"Regina--Wascana/Regina--Wascana"," 114","Regina",0,2,112,7,96,2,219,488
47008,"Regina--Wascana/Regina--Wascana"," 115","Regina",2,2,108,14,115,0,241,468
47008,"Regina--Wascana/Regina--Wascana"," 116A","Regina",Combined with No./Résultats combinés à ceux du n°115,,,,,,,410
47008,"Regina--Wascana/Regina--Wascana"," 116B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,68
47008,"Regina--Wascana/Regina--Wascana"," 117","Regina",2,3,45,4,53,0,107,418
47008,"Regina--Wascana/Regina--Wascana"," 118","Regina",4,1,90,9,76,2,182,582
47008,"Regina--Wascana/Regina--Wascana"," 119","Regina",Combined with No./Résultats combinés à ceux du n°121,,,,,,,445
47008,"Regina--Wascana/Regina--Wascana"," 120","Regina",2,2,105,10,82,0,201,532
47008,"Regina--Wascana/Regina--Wascana"," 121","Regina",1,0,155,11,127,0,294,573
47008,"Regina--Wascana/Regina--Wascana"," 122","Regina",0,0,79,7,95,2,183,578
47008,"Regina--Wascana/Regina--Wascana"," 123","Regina",0,5,77,11,86,0,179,591
47008,"Regina--Wascana/Regina--Wascana"," 500","Mobile poll/Bureau itinérant",1,0,46,15,63,1,126,124
47008,"Regina--Wascana/Regina--Wascana"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,97
47008,"Regina--Wascana/Regina--Wascana"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,54
47008,"Regina--Wascana/Regina--Wascana"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,81
47008,"Regina--Wascana/Regina--Wascana"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,21
47008,"Regina--Wascana/Regina--Wascana"," 505","Mobile poll/Bureau itinérant",4,0,48,22,48,2,124,133
47008,"Regina--Wascana/Regina--Wascana"," 506","Mobile poll/Bureau itinérant",1,2,50,21,23,2,99,73
47008,"Regina--Wascana/Regina--Wascana"," 507","Mobile poll/Bureau itinérant",2,1,60,14,53,5,135,114
47008,"Regina--Wascana/Regina--Wascana"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,86
47008,"Regina--Wascana/Regina--Wascana"," 509","Mobile poll/Bureau itinérant",2,0,53,11,38,2,106,69
47008,"Regina--Wascana/Regina--Wascana"," 510","Mobile poll/Bureau itinérant",2,2,31,12,44,0,91,97
47008,"Regina--Wascana/Regina--Wascana"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,85
47008,"Regina--Wascana/Regina--Wascana"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,57
47008,"Regina--Wascana/Regina--Wascana"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,56
47008,"Regina--Wascana/Regina--Wascana"," 514","Mobile poll/Bureau itinérant",1,1,39,19,34,2,96,89
47008,"Regina--Wascana/Regina--Wascana"," 515","Mobile poll/Bureau itinérant",4,1,55,15,66,1,142,123
47008,"Regina--Wascana/Regina--Wascana"," 516","Regina",Combined with No./Résultats combinés à ceux du n°53,,,,,,,0
47008,"Regina--Wascana/Regina--Wascana"," 517","Regina",Combined with No./Résultats combinés à ceux du n°15,,,,,,,7
47008,"Regina--Wascana/Regina--Wascana"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,51
47008,"Regina--Wascana/Regina--Wascana"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°22B,,,,,,,126
47008,"Regina--Wascana/Regina--Wascana"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°62B,,,,,,,33
47008,"Regina--Wascana/Regina--Wascana"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,36
47008,"Regina--Wascana/Regina--Wascana"," 522","Regina",Combined with No./Résultats combinés à ceux du n°63,,,,,,,2
47008,"Regina--Wascana/Regina--Wascana"," 523","Regina",Combined with No./Résultats combinés à ceux du n°63,,,,,,,10
47008,"Regina--Wascana/Regina--Wascana"," 524","Regina",Combined with No./Résultats combinés à ceux du n°63,,,,,,,7
47008,"Regina--Wascana/Regina--Wascana"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°62B,,,,,,,81
47008,"Regina--Wascana/Regina--Wascana"," 526","Regina",Combined with No./Résultats combinés à ceux du n°26,,,,,,,6
47008,"Regina--Wascana/Regina--Wascana"," 527","Mobile poll/Bureau itinérant",1,0,54,9,51,3,118,81
47008,"Regina--Wascana/Regina--Wascana"," 528","Mobile poll/Bureau itinérant",1,4,38,18,33,0,94,233
47008,"Regina--Wascana/Regina--Wascana"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°533,,,,,,,51
47008,"Regina--Wascana/Regina--Wascana"," 530","Regina",Combined with No./Résultats combinés à ceux du n°107,,,,,,,6
47008,"Regina--Wascana/Regina--Wascana"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,,48
47008,"Regina--Wascana/Regina--Wascana"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,18
47008,"Regina--Wascana/Regina--Wascana"," 533","Mobile poll/Bureau itinérant",8,2,102,11,70,1,194,193
47008,"Regina--Wascana/Regina--Wascana"," 600","Regina",6,5,1361,88,740,5,2205,
47008,"Regina--Wascana/Regina--Wascana"," 601","Regina",15,12,969,102,548,9,1655,
47008,"Regina--Wascana/Regina--Wascana"," 602","Regina",9,8,482,64,313,0,876,
47008,"Regina--Wascana/Regina--Wascana"," 603","Regina",6,11,357,67,669,3,1113,
47008,"Regina--Wascana/Regina--Wascana"," 604","Regina",11,11,500,71,567,9,1169,
47008,"Regina--Wascana/Regina--Wascana"," 605","Regina",14,3,886,60,852,2,1817,
47008,"Regina--Wascana/Regina--Wascana"," 606","Regina",8,4,1069,41,815,8,1945,
47008,"Regina--Wascana/Regina--Wascana"," 607","Regina",9,7,954,50,663,7,1690,
47008,"Regina--Wascana/Regina--Wascana"," 608","Regina",13,13,1407,30,1117,9,2589,
47008,"Regina--Wascana/Regina--Wascana"," 609","Regina",4,8,562,62,705,2,1343,
47008,"Regina--Wascana/Regina--Wascana"," 610","Regina",9,9,672,75,1072,4,1841,
47008,"Regina--Wascana/Regina--Wascana"," 611","Regina",10,8,681,62,933,3,1697,
47008,"Regina--Wascana/Regina--Wascana",,Group 1/Groupe 1, 9,6,200,56,331,61,663,328
47008,"Regina--Wascana/Regina--Wascana",,Group 2/Groupe 2, 13,13,1833,164,2132,69,4224,
