Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Aeriol Alderking,Michael de Jong,Sukhman Gill,Kevin Gillies,Melissa Snazell,Dharmasena Yakandawela,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 1","Langley",2,24,135,77,2,7,0,247,485
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 2","Langley",0,16,119,59,6,10,1,211,429
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 3","Langley",0,22,113,83,2,12,1,233,438
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 4","Langley",2,16,99,68,2,8,1,196,422
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 5","Langley",3,26,127,61,5,9,0,231,459
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 6","Langley",0,25,101,55,1,7,0,189,493
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 7","Langley",0,24,107,75,1,2,2,211,502
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 8","Langley",0,12,84,54,0,2,0,152,445
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 9","Langley",3,16,78,63,3,7,0,170,408
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 10","Langley",0,22,85,89,1,8,1,206,510
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 11","Langley",2,14,113,66,2,10,0,207,513
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 12","Langley",1,0,39,30,3,0,0,73,313
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 13","Langley",2,15,99,65,4,8,0,193,436
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 14","Langley",0,10,55,31,2,5,0,103,343
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 15","Langley",0,10,85,24,1,9,2,131,340
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 16","Langley",1,9,92,49,6,16,2,175,501
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 17","Langley",1,14,73,62,4,6,0,160,361
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 18","Langley",3,23,82,58,3,7,3,179,455
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 19","Langley",0,17,69,53,3,3,1,146,396
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 20","Langley",0,6,100,61,0,12,2,181,550
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 21","Langley",1,12,91,50,5,6,0,165,463
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 22","Langley",1,15,109,75,2,14,2,218,546
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 23","Langley",0,18,87,32,0,1,0,138,385
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 24","Langley",0,20,90,77,7,13,0,207,544
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 25","Langley",5,33,68,65,7,4,2,184,416
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 26","Langley",0,24,77,47,2,6,1,157,352
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 27","Langley",5,27,96,40,0,5,2,175,386
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 28","Langley",1,22,78,61,1,3,0,166,410
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 29","Langley",0,22,122,61,1,2,0,208,432
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 30","Langley",0,22,63,28,1,2,1,117,311
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 31","Langley",0,33,58,54,1,3,0,149,384
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 32","Langley",4,28,69,48,1,3,0,153,378
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 33","Langley",0,17,73,35,2,4,1,132,394
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 34","Langley",0,14,88,59,1,6,0,168,447
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 35","Langley",4,18,95,58,4,14,0,193,570
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 36","Langley",1,26,111,70,6,5,1,220,435
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 37","Langley",2,26,84,45,0,2,1,160,428
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 38","Langley",4,12,117,59,0,5,1,198,449
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 39","Langley",2,24,94,86,2,21,0,229,551
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 40","Langley",1,20,95,65,2,6,0,189,365
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 41","Langley",0,15,67,37,1,17,0,137,351
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 42","Langley",0,23,110,49,2,7,1,192,350
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 43","Langley",1,8,60,27,0,15,0,111,322
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 44","Langley",2,22,91,43,5,4,1,168,381
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 45","Langley",3,22,91,60,3,6,4,189,382
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 46","Langley",1,39,48,54,1,6,1,150,298
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 47","Langley",2,36,75,37,0,3,0,153,312
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 48","Langley",1,21,103,68,0,10,0,203,399
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 49","Langley",0,13,84,44,1,3,2,147,320
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 50","Langley",2,29,122,65,5,8,2,233,603
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 51","Langley",1,7,80,58,1,12,0,159,500
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 52","Langley",1,12,91,47,5,6,1,163,526
