Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sana Ahmad,Mélodie Anderson,Marthalee Aykroyd,Alex Banks,Tetia Bayoro,Sophie Bearden,Michael Bednarski,Line Bélanger,Jeani Boudreault,Karen Bourdeau,Alain Bourgault,John Boylan,Sarah Burke,Dante Camarena Jimenez,Jenny Cartwright,Jaël Champagne Gareau,David Cherniak,Sébastien CoRhino,Charlie Currie,John Dale,Manon Marie Lili Desbiens,Gerrit Dogger,Ysack Dupont,Alexandra Engering,Scott Falkingham,Bruce Fanjoy,Euan Fraser Tait,Maria Gabriel,Daniel Gagnon,Pierre Gauthier,Gregory Gillis,Jeffrey Goodman,Peter Gorman,Daniel Graham,Artem Gudkov,Zornitsa Halacheva,Anthony Hamel,Blake Hamilton,Robert Harris,Loren Hicks,Kerri Hildebrandt,Andrea Hollinger,Trevor Holsworth,Seyed Hosseini Lavasani,Ryan Huard,Demetrios Karavas,Laina Kohler,Kevin Krisa,Krzysztof Krzywinski,Dan Kyung,Samuel Lafontaine,Alain Lamontagne,Danny Légaré,Alexander Lein,Charles Lemieux,Connie Lukawski,Shawn MacEachern,Agnieszka Marszalek,Joseph Maw,Donald McKay,Mark Moutter,Christopher Navarro-Canseco,Winston Neutel,David Nguyen,Sheri Oberman,John Francis O'Flynn,Lény Painchaud,Lanna Palsson,Guillaume Paradis,Pierre Poilievre,Lajos Polya,Lorant Polya,Beth Prokaska,Spencer Rocchi,Wallace Richard Rowat,Julian Selody,Hakim Sheriff,Roger Sherwood,Yogo Shimada,Michael Skirzynski,Julie St-Amand,Pascal St-Amand,Patrick Strzalkowski,Daniel Stuckless,Benjamin Teichman,Sarah Thompson,Darcy Vanderwater,Elliot Wand,Mark Watson,Michal Wieczorek,David Zhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Carleton/Carleton"," 1","Ottawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,137,457
35020,"Carleton/Carleton"," 2","Ottawa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,157,455
35020,"Carleton/Carleton"," 3","Ottawa",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,83,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,169,450
35020,"Carleton/Carleton"," 4","Ottawa",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,158,397
35020,"Carleton/Carleton"," 5","Ottawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,143,449
35020,"Carleton/Carleton"," 6","Ottawa",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,249,515
35020,"Carleton/Carleton"," 7","Ottawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,127,377
35020,"Carleton/Carleton"," 8","Ottawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,124,385
35020,"Carleton/Carleton"," 9","Ottawa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,104,364
35020,"Carleton/Carleton"," 10","Ottawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,238,500
