Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alexis Deschênes,Denise Giroux,Shawn Grenier,Diane Lebouthillier,Jean-Pierre Pigeon,Christian Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 1","Gaspé",87,3,0,26,21,2,2,141,348
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 2A","Gaspé",102,2,1,31,26,0,2,164,449
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 2B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,10
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 3","Gaspé",92,1,3,30,9,0,2,137,376
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 4","Gaspé",68,0,0,36,10,5,1,120,428
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 5","Gaspé",55,1,0,27,15,1,1,100,418
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 6","Gaspé",58,2,0,14,13,0,1,88,342
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 7","Gaspé",60,0,1,13,7,1,2,84,277
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 8","Gaspé",71,2,1,21,16,1,5,117,395
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 9","Gaspé",115,2,3,31,17,1,6,175,429
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 10","Gaspé",56,0,0,10,10,1,0,77,242
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 11","Grande-Vallée",41,1,2,30,21,0,1,96,256
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 12","Grande-Vallée",77,0,0,47,14,1,1,140,300
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 13","Grande-Vallée",54,6,0,58,14,0,3,135,362
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 14","Gaspé",87,1,1,34,9,0,1,133,287
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 15","Sainte-Madeleine-de-la-Rivière-Madeleine",54,0,2,68,27,2,3,156,282
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 16","Cloridorme",56,0,1,38,15,1,0,111,268
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 17","Cloridorme",57,3,0,29,20,0,1,110,208
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 18","Cloridorme",46,1,0,25,11,0,0,83,240
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 19","Gaspé",59,0,0,43,25,3,0,130,294
24024,"Gaspésie--Les Îles-de-la-Madeleine--Listuguj/Gaspésie--Les Îles-de-la-Madeleine--Listuguj"," 20","Gaspé",52,5,0,39,19,1,3,119,281
