Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elaine Allan,Hedy Fry,Avi Lewis,Scott MacDonald,Drew William McPherson,Christopher Varga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver Centre/Vancouver-Centre"," 1","Vancouver",45,42,11,1,0,0,0,99,390
59035,"Vancouver Centre/Vancouver-Centre"," 2","Vancouver",31,34,6,2,0,2,0,75,386
59035,"Vancouver Centre/Vancouver-Centre"," 3","Vancouver",29,43,16,3,1,1,0,93,507
59035,"Vancouver Centre/Vancouver-Centre"," 4","Vancouver",25,39,11,0,0,0,2,77,486
59035,"Vancouver Centre/Vancouver-Centre"," 5","Vancouver",28,18,0,0,0,1,0,47,377
59035,"Vancouver Centre/Vancouver-Centre"," 6","Vancouver",61,55,11,0,0,0,0,127,579
59035,"Vancouver Centre/Vancouver-Centre"," 7","Vancouver",74,48,16,2,0,2,0,142,552
59035,"Vancouver Centre/Vancouver-Centre"," 8","Vancouver",49,35,1,0,1,0,1,87,590
59035,"Vancouver Centre/Vancouver-Centre"," 9","Vancouver",52,65,6,1,0,0,0,124,586
59035,"Vancouver Centre/Vancouver-Centre"," 10","Vancouver",33,35,2,1,0,0,0,71,387
59035,"Vancouver Centre/Vancouver-Centre"," 11","Vancouver",59,54,7,2,0,0,2,124,561
59035,"Vancouver Centre/Vancouver-Centre"," 12","Vancouver",27,57,28,2,1,0,0,115,473
59035,"Vancouver Centre/Vancouver-Centre"," 13","Vancouver",25,72,30,7,0,0,0,134,462
59035,"Vancouver Centre/Vancouver-Centre"," 14","Vancouver",20,62,24,1,0,2,0,109,539
59035,"Vancouver Centre/Vancouver-Centre"," 15","Vancouver",33,58,19,2,0,3,0,115,404
59035,"Vancouver Centre/Vancouver-Centre"," 16","Vancouver",29,45,16,2,0,0,1,93,378
59035,"Vancouver Centre/Vancouver-Centre"," 17","Vancouver",36,65,20,0,0,1,0,122,534
59035,"Vancouver Centre/Vancouver-Centre"," 18","Vancouver",24,56,17,2,1,2,0,102,520
59035,"Vancouver Centre/Vancouver-Centre"," 19","Vancouver",29,49,29,0,0,1,0,108,466
59035,"Vancouver Centre/Vancouver-Centre"," 20","Vancouver",21,44,19,1,0,0,2,87,321
59035,"Vancouver Centre/Vancouver-Centre"," 21","Vancouver",19,55,26,8,0,0,0,108,374
59035,"Vancouver Centre/Vancouver-Centre"," 22","Vancouver",21,38,16,4,0,0,1,80,343
59035,"Vancouver Centre/Vancouver-Centre"," 23","Vancouver",15,58,22,2,0,1,0,98,408
59035,"Vancouver Centre/Vancouver-Centre"," 24","Vancouver",25,76,37,1,0,0,0,139,563
59035,"Vancouver Centre/Vancouver-Centre"," 25","Vancouver",54,75,21,6,0,0,0,156,600
59035,"Vancouver Centre/Vancouver-Centre"," 26","Vancouver",9,41,27,2,0,0,0,79,378
59035,"Vancouver Centre/Vancouver-Centre"," 27","Vancouver",39,69,16,1,1,1,0,127,470
59035,"Vancouver Centre/Vancouver-Centre"," 28","Vancouver",43,70,47,5,1,2,2,170,589
59035,"Vancouver Centre/Vancouver-Centre"," 29","Vancouver",50,63,27,3,0,1,1,145,545
59035,"Vancouver Centre/Vancouver-Centre"," 30","Vancouver",16,36,22,2,0,0,1,77,347
59035,"Vancouver Centre/Vancouver-Centre"," 31","Vancouver",19,56,16,2,0,0,0,93,348
59035,"Vancouver Centre/Vancouver-Centre"," 32","Vancouver",39,55,30,4,0,0,1,129,439
59035,"Vancouver Centre/Vancouver-Centre"," 33","Vancouver",39,67,31,2,0,1,0,140,538
59035,"Vancouver Centre/Vancouver-Centre"," 34","Vancouver",37,53,23,2,0,0,0,115,466
59035,"Vancouver Centre/Vancouver-Centre"," 35","Vancouver",28,55,18,2,0,0,0,103,370
59035,"Vancouver Centre/Vancouver-Centre"," 36","Vancouver",52,86,31,2,0,0,2,173,572
59035,"Vancouver Centre/Vancouver-Centre"," 37","Vancouver",37,115,35,5,0,0,0,192,692
59035,"Vancouver Centre/Vancouver-Centre"," 38","Vancouver",55,100,35,1,1,2,0,194,531
59035,"Vancouver Centre/Vancouver-Centre"," 39","Vancouver",29,80,25,3,0,1,1,139,557
59035,"Vancouver Centre/Vancouver-Centre"," 40","Vancouver",37,63,26,2,0,2,0,130,491
59035,"Vancouver Centre/Vancouver-Centre"," 41","Vancouver",25,57,29,7,0,0,0,118,492
59035,"Vancouver Centre/Vancouver-Centre"," 42","Vancouver",22,64,17,0,1,0,1,105,447
59035,"Vancouver Centre/Vancouver-Centre"," 43","Vancouver",38,69,43,7,1,2,3,163,592
59035,"Vancouver Centre/Vancouver-Centre"," 44","Vancouver",34,76,36,2,0,1,0,149,528
