Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Donald Gagnon,Marie-Andrée Gravel,Beritan Oerde,Tiny Olinga,Terry Roberts,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 1","Longueuil",1,9,30,1,18,55,0,114,404
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 2","Longueuil",0,13,46,0,26,94,6,185,476
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 3","Longueuil",0,9,31,0,22,46,4,112,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 4","Longueuil",0,7,45,0,29,71,3,155,392
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 5","Longueuil",3,8,60,8,28,91,9,207,365
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 6","Longueuil",2,17,53,2,35,77,6,192,421
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 7","Longueuil",0,5,41,0,15,69,2,132,360
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 8","Longueuil",2,6,31,2,15,39,6,101,327
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 9","Longueuil",0,12,45,1,51,35,5,149,366
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 10","Longueuil",2,16,29,2,22,52,4,127,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 11","Longueuil",2,13,68,1,30,59,10,183,465
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 12","Longueuil",0,9,49,1,15,39,6,119,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 13","Longueuil",2,10,54,1,21,71,4,163,430
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 14","Longueuil",1,3,31,1,24,48,4,112,340
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 15","Longueuil",1,6,35,3,15,47,2,109,347
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 16","Longueuil",0,5,31,4,16,30,1,87,352
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 17","Longueuil",0,18,74,0,20,126,4,242,560
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 18","Longueuil",3,12,53,0,21,89,3,181,391
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 19","Longueuil",2,11,47,1,23,36,1,121,322
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 20","Longueuil",2,16,60,4,22,58,5,167,382
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 21","Longueuil",1,13,37,1,25,48,2,127,324
