Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ranald MacFarlane,Logan McLellan,Bobby Morrissey,Carol Rybinski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11003,"Egmont/Egmont"," 27A","Coleman",2,71,13,1,0,87,291
11003,"Egmont/Egmont"," 27B","Mobile poll/Bureau itinérant",0,17,30,1,0,48,46
11003,"Egmont/Egmont"," 28","O'Leary",1,48,30,1,4,84,306
11003,"Egmont/Egmont"," 29A","Port Hill",2,97,84,13,0,196,515
11003,"Egmont/Egmont"," 29B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°27B,,,,,,20
11003,"Egmont/Egmont"," 30","Enmore",4,87,71,6,2,170,472
11003,"Egmont/Egmont"," 31","Birch Hill",4,55,59,0,1,119,266
11003,"Egmont/Egmont"," 32","Cross River",4,62,79,1,0,146,325
11003,"Egmont/Egmont"," 33","Hebron",0,62,32,2,0,96,261
11003,"Egmont/Egmont"," 34","West Cape",2,68,66,4,0,140,337
11003,"Egmont/Egmont"," 35","Central Lot 16",8,86,110,7,2,213,381
11003,"Egmont/Egmont"," 36","Slemon Park",2,100,114,10,1,227,552
11003,"Egmont/Egmont"," 37","Travellers Rest",6,48,41,1,0,96,339
11003,"Egmont/Egmont"," 38","Sherbrooke",4,51,60,2,2,119,412
11003,"Egmont/Egmont"," 39","Summerside",2,45,68,5,3,123,470
11003,"Egmont/Egmont"," 40","Summerside",4,39,48,4,0,95,379
11003,"Egmont/Egmont"," 41","Summerside",4,57,51,5,1,118,391
11003,"Egmont/Egmont"," 42","Summerside",0,34,56,2,0,92,317
11003,"Egmont/Egmont"," 43","Summerside",7,54,59,9,0,129,425
11003,"Egmont/Egmont"," 44","Summerside",4,49,87,7,1,148,478
11003,"Egmont/Egmont"," 45","Summerside",1,48,56,7,4,116,370
11003,"Egmont/Egmont"," 46","Summerside",4,60,87,1,1,153,477
11003,"Egmont/Egmont"," 47","Summerside",5,58,62,1,1,127,384
11003,"Egmont/Egmont"," 48","Summerside",5,65,79,3,0,152,355
11003,"Egmont/Egmont"," 49","Summerside",6,50,49,1,1,107,397
11003,"Egmont/Egmont"," 50","Summerside",11,68,58,6,2,145,416
11003,"Egmont/Egmont"," 51","Summerside",4,42,83,3,0,132,408
11003,"Egmont/Egmont"," 52","Summerside",9,56,81,1,2,149,390
11003,"Egmont/Egmont"," 53","Summerside",6,61,60,3,1,131,370
11003,"Egmont/Egmont"," 54","Summerside",4,66,76,8,3,157,395
11003,"Egmont/Egmont"," 55","Summerside",2,70,55,4,2,133,364
11003,"Egmont/Egmont"," 56","Summerside",4,66,73,3,2,148,348
11003,"Egmont/Egmont"," 57","Summerside",2,44,77,7,5,135,320
11003,"Egmont/Egmont"," 58","Summerside",1,51,82,4,0,138,449
11003,"Egmont/Egmont"," 59","Summerside",2,40,73,2,3,120,446
11003,"Egmont/Egmont"," 60","Summerside",1,41,52,6,1,101,353
11003,"Egmont/Egmont"," 61","North Bedeque",12,90,93,2,1,198,491
11003,"Egmont/Egmont"," 62","Miscouche",4,82,79,4,2,171,464
11003,"Egmont/Egmont"," 63","Miscouche",3,68,91,3,3,168,449
11003,"Egmont/Egmont"," 64","Summerside",1,38,68,5,0,112,364
11003,"Egmont/Egmont"," 65","Summerside",2,42,70,2,1,117,339
11003,"Egmont/Egmont"," 66","Summerside",2,39,69,5,1,116,345
11003,"Egmont/Egmont"," 67","Summerside",1,45,53,3,0,102,325
11003,"Egmont/Egmont"," 68","Summerside",4,31,47,4,1,87,326
11003,"Egmont/Egmont"," 69","Miscouche",8,39,48,1,0,96,342
11003,"Egmont/Egmont"," 70","Linkletter",7,70,37,2,0,116,368
11003,"Egmont/Egmont"," 71","Summerside",2,64,78,3,3,150,350
