Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nick Babic,Kathy Borrelli,Helmi Charif,Alex Ilijoski,Irek Kusmierczyk,Beth St Denis,Roxanne Tellier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 136","Tecumseh",2,109,0,12,60,0,3,2,188,464
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 137","Tecumseh",3,80,1,11,57,0,0,0,152,418
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 138","Windsor",3,98,2,21,52,1,3,0,180,529
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 139","Windsor",4,91,4,28,67,1,5,0,200,488
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 140","Windsor",1,103,1,32,86,1,2,0,226,515
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 141","Windsor",9,84,0,11,84,0,0,3,191,494
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 142","Windsor",4,113,0,18,71,1,2,0,209,443
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 143","Windsor",2,131,1,30,69,2,3,0,238,482
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 144","Windsor",0,90,2,14,62,2,1,1,172,477
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 145","Windsor",1,85,0,27,88,1,5,0,207,391
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 146","Windsor",0,60,0,10,108,0,1,1,180,468
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 147","Windsor",3,60,5,18,69,1,1,2,159,419
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 148","Windsor",2,51,0,11,94,0,2,0,160,457
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 149","Windsor",1,49,0,12,59,0,3,1,125,404
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 150","Windsor",3,78,4,20,68,0,1,2,176,474
