Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Steven MacKinnon,Richard Nadeau,Kethlande Pierre,Mathieu Saint-Jean,Daniel Simoncic,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Gatineau/Gatineau"," 1","Gatineau",77,30,43,0,2,1,2,155,396
24025,"Gatineau/Gatineau"," 2","Gatineau",135,30,56,4,6,1,1,233,456
24025,"Gatineau/Gatineau"," 3","Gatineau",95,25,74,2,10,1,0,207,524
24025,"Gatineau/Gatineau"," 4","Gatineau",153,53,45,1,9,0,3,264,550
24025,"Gatineau/Gatineau"," 5","Gatineau",155,42,38,1,11,1,2,250,493
24025,"Gatineau/Gatineau"," 6","Gatineau",94,34,42,2,2,0,2,176,357
24025,"Gatineau/Gatineau"," 7","Gatineau",175,55,60,3,2,1,2,298,546
24025,"Gatineau/Gatineau"," 8","Gatineau",132,29,56,2,2,2,4,227,479
24025,"Gatineau/Gatineau"," 9","Gatineau",113,47,58,1,7,2,2,230,501
24025,"Gatineau/Gatineau"," 10","Gatineau",133,25,46,4,8,1,4,221,471
24025,"Gatineau/Gatineau"," 11","Gatineau",129,35,72,2,12,2,2,254,520
24025,"Gatineau/Gatineau"," 12","Gatineau",134,30,64,0,5,1,4,238,507
24025,"Gatineau/Gatineau"," 13","Gatineau",124,48,52,1,3,0,2,230,470
24025,"Gatineau/Gatineau"," 14","Gatineau",178,52,61,0,5,0,2,298,514
24025,"Gatineau/Gatineau"," 15","Gatineau",105,37,41,2,4,0,1,190,405
24025,"Gatineau/Gatineau"," 16","Gatineau",73,19,50,1,6,1,7,157,396
24025,"Gatineau/Gatineau"," 17","Gatineau",35,17,29,2,7,1,3,94,351
24025,"Gatineau/Gatineau"," 18","Gatineau",106,42,49,3,5,0,1,206,407
24025,"Gatineau/Gatineau"," 19","Gatineau",110,44,37,1,5,0,2,199,439
24025,"Gatineau/Gatineau"," 20","Gatineau",50,15,35,4,8,0,5,117,377
24025,"Gatineau/Gatineau"," 21","Gatineau",87,38,51,3,3,0,0,182,495
24025,"Gatineau/Gatineau"," 22","Gatineau",135,21,67,3,8,2,6,242,553
24025,"Gatineau/Gatineau"," 23","Gatineau",99,42,27,3,5,1,1,178,378
24025,"Gatineau/Gatineau"," 24","Gatineau",75,21,35,2,5,0,3,141,418
24025,"Gatineau/Gatineau"," 25","Gatineau",42,23,25,0,5,1,1,97,387
24025,"Gatineau/Gatineau"," 26","Gatineau",86,36,50,1,8,0,6,187,493
24025,"Gatineau/Gatineau"," 27","Gatineau",68,29,41,2,5,0,1,146,382
24025,"Gatineau/Gatineau"," 28","Gatineau",80,28,63,3,6,0,0,180,506
24025,"Gatineau/Gatineau"," 29","Gatineau",73,27,42,0,2,0,4,148,382
24025,"Gatineau/Gatineau"," 30","Gatineau",97,19,41,0,1,0,0,158,425
24025,"Gatineau/Gatineau"," 31","Gatineau",105,44,64,1,10,2,2,228,451
24025,"Gatineau/Gatineau"," 32","Gatineau",94,36,36,0,3,0,0,169,398
