Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Joanne Bjornson,Terry Duguid,Johann Rempel Fehr,Manjit Kaur,Janice Morley-Lecomte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg South/Winnipeg-Sud"," 1","Winnipeg",18,123,2,0,59,0,202,431
46012,"Winnipeg South/Winnipeg-Sud"," 2","Winnipeg",23,138,7,3,79,1,251,558
46012,"Winnipeg South/Winnipeg-Sud"," 3","Winnipeg",8,90,2,0,61,4,165,350
46012,"Winnipeg South/Winnipeg-Sud"," 4","Winnipeg",12,78,1,0,48,0,139,356
46012,"Winnipeg South/Winnipeg-Sud"," 5","Winnipeg",10,78,0,1,49,1,139,343
46012,"Winnipeg South/Winnipeg-Sud"," 6","Winnipeg",14,92,2,2,59,0,169,331
46012,"Winnipeg South/Winnipeg-Sud"," 7","Winnipeg",14,109,1,1,62,2,189,477
46012,"Winnipeg South/Winnipeg-Sud"," 8","Winnipeg",20,99,2,0,36,1,158,407
46012,"Winnipeg South/Winnipeg-Sud"," 9","Winnipeg",10,81,2,4,44,0,141,360
46012,"Winnipeg South/Winnipeg-Sud"," 10","Winnipeg",13,86,1,0,53,0,153,416
46012,"Winnipeg South/Winnipeg-Sud"," 11","Winnipeg",10,98,0,1,67,0,176,435
46012,"Winnipeg South/Winnipeg-Sud"," 12","Winnipeg",2,74,0,0,56,0,132,368
46012,"Winnipeg South/Winnipeg-Sud"," 13","Winnipeg",18,73,4,2,54,3,154,480
46012,"Winnipeg South/Winnipeg-Sud"," 14","Winnipeg",12,93,2,0,57,1,165,443
46012,"Winnipeg South/Winnipeg-Sud"," 15","Winnipeg",12,92,3,0,57,1,165,455
46012,"Winnipeg South/Winnipeg-Sud"," 16","Winnipeg",8,74,1,1,56,0,140,340
46012,"Winnipeg South/Winnipeg-Sud"," 17","Winnipeg",10,115,0,0,57,1,183,385
46012,"Winnipeg South/Winnipeg-Sud"," 18","Winnipeg",22,82,2,2,49,1,158,564
46012,"Winnipeg South/Winnipeg-Sud"," 19","Winnipeg",9,68,1,0,43,0,121,333
46012,"Winnipeg South/Winnipeg-Sud"," 20","Winnipeg",9,101,1,2,74,0,187,565
46012,"Winnipeg South/Winnipeg-Sud"," 21","Winnipeg",12,64,3,1,17,2,99,363
46012,"Winnipeg South/Winnipeg-Sud"," 22","Winnipeg",8,96,2,1,85,3,195,570
46012,"Winnipeg South/Winnipeg-Sud"," 23","Winnipeg",5,91,3,1,56,2,158,391
46012,"Winnipeg South/Winnipeg-Sud"," 24","Winnipeg",18,96,8,1,67,3,193,539
46012,"Winnipeg South/Winnipeg-Sud"," 25","Winnipeg",11,113,4,1,71,4,204,485
46012,"Winnipeg South/Winnipeg-Sud"," 26","Winnipeg",4,50,0,0,56,0,110,394
46012,"Winnipeg South/Winnipeg-Sud"," 27","Winnipeg",13,95,1,5,63,0,177,461
46012,"Winnipeg South/Winnipeg-Sud"," 28","Winnipeg",9,78,0,0,31,0,118,438
46012,"Winnipeg South/Winnipeg-Sud"," 29","Winnipeg",9,111,2,1,64,3,190,523
46012,"Winnipeg South/Winnipeg-Sud"," 30","Winnipeg",6,87,1,0,55,0,149,360
46012,"Winnipeg South/Winnipeg-Sud"," 31","Winnipeg",6,124,0,0,69,1,200,539
46012,"Winnipeg South/Winnipeg-Sud"," 32","Winnipeg",5,105,3,1,73,1,188,503
46012,"Winnipeg South/Winnipeg-Sud"," 33","Winnipeg",10,78,2,0,66,3,159,465
46012,"Winnipeg South/Winnipeg-Sud"," 34","Winnipeg",9,103,0,0,65,2,179,366
46012,"Winnipeg South/Winnipeg-Sud"," 35","Winnipeg",12,145,3,3,74,3,240,548
46012,"Winnipeg South/Winnipeg-Sud"," 36","Winnipeg",7,103,1,2,57,0,170,446
46012,"Winnipeg South/Winnipeg-Sud"," 37","Winnipeg",12,87,2,0,61,1,163,526
46012,"Winnipeg South/Winnipeg-Sud"," 38","Winnipeg",7,82,1,1,34,0,125,357
46012,"Winnipeg South/Winnipeg-Sud"," 39","Winnipeg",9,101,2,2,75,1,190,457
46012,"Winnipeg South/Winnipeg-Sud"," 40","Winnipeg",12,130,5,1,47,1,196,597
46012,"Winnipeg South/Winnipeg-Sud"," 41","Winnipeg",5,91,2,3,59,0,160,531
46012,"Winnipeg South/Winnipeg-Sud"," 42","Winnipeg",17,100,4,3,47,1,172,495
46012,"Winnipeg South/Winnipeg-Sud"," 43","Winnipeg",10,62,0,0,51,1,124,311
46012,"Winnipeg South/Winnipeg-Sud"," 44","Winnipeg",5,78,2,2,43,3,133,384
46012,"Winnipeg South/Winnipeg-Sud"," 45","Winnipeg",3,115,2,0,74,0,194,511
46012,"Winnipeg South/Winnipeg-Sud"," 46","Winnipeg",7,108,0,1,82,3,201,546
46012,"Winnipeg South/Winnipeg-Sud"," 47","Winnipeg",10,67,1,0,45,0,123,359
46012,"Winnipeg South/Winnipeg-Sud"," 48","Winnipeg",13,54,2,2,41,0,112,270
46012,"Winnipeg South/Winnipeg-Sud"," 49","Winnipeg",6,84,1,0,55,0,146,444
46012,"Winnipeg South/Winnipeg-Sud"," 50","Winnipeg",10,72,5,0,45,1,133,361
46012,"Winnipeg South/Winnipeg-Sud"," 51","Winnipeg",13,74,1,1,41,2,132,374
46012,"Winnipeg South/Winnipeg-Sud"," 52","Winnipeg",8,57,0,0,52,0,117,347
46012,"Winnipeg South/Winnipeg-Sud"," 53","Winnipeg",6,123,0,0,83,6,218,479
46012,"Winnipeg South/Winnipeg-Sud"," 54","Winnipeg",4,65,0,0,73,1,143,389
46012,"Winnipeg South/Winnipeg-Sud"," 55","Winnipeg",7,50,2,2,51,0,112,331
46012,"Winnipeg South/Winnipeg-Sud"," 56","Winnipeg",9,82,3,1,68,0,163,445
46012,"Winnipeg South/Winnipeg-Sud"," 57","Winnipeg",10,120,4,0,84,1,219,624
46012,"Winnipeg South/Winnipeg-Sud"," 58","Winnipeg",10,151,3,1,103,3,271,566
46012,"Winnipeg South/Winnipeg-Sud"," 59","Winnipeg",13,116,2,5,80,1,217,420
46012,"Winnipeg South/Winnipeg-Sud"," 60","Winnipeg",17,113,1,1,60,0,192,420
46012,"Winnipeg South/Winnipeg-Sud"," 61A","Winnipeg",8,66,0,1,41,1,117,321
46012,"Winnipeg South/Winnipeg-Sud"," 61B","Winnipeg",4,75,0,1,53,0,133,365
46012,"Winnipeg South/Winnipeg-Sud"," 62","Winnipeg",10,122,2,1,111,0,246,523
46012,"Winnipeg South/Winnipeg-Sud"," 63","Winnipeg",9,113,1,0,107,0,230,558
46012,"Winnipeg South/Winnipeg-Sud"," 64","Winnipeg",11,126,1,2,90,1,231,478
46012,"Winnipeg South/Winnipeg-Sud"," 65","Winnipeg",5,61,1,2,70,0,139,343
46012,"Winnipeg South/Winnipeg-Sud"," 66","Winnipeg",11,86,2,1,59,0,159,493
46012,"Winnipeg South/Winnipeg-Sud"," 67","Winnipeg",6,65,0,0,83,1,155,402
46012,"Winnipeg South/Winnipeg-Sud"," 68","Winnipeg",6,47,0,0,50,2,105,264
46012,"Winnipeg South/Winnipeg-Sud"," 69","Winnipeg",4,61,0,0,50,0,115,374
46012,"Winnipeg South/Winnipeg-Sud"," 70","Winnipeg",7,91,0,0,52,6,156,339
46012,"Winnipeg South/Winnipeg-Sud"," 71","Winnipeg",8,44,1,0,45,4,102,316
46012,"Winnipeg South/Winnipeg-Sud"," 72","Winnipeg",10,62,0,1,44,0,117,364
46012,"Winnipeg South/Winnipeg-Sud"," 73","Winnipeg",6,105,2,1,53,1,168,453
46012,"Winnipeg South/Winnipeg-Sud"," 74A","Winnipeg",13,73,1,0,101,1,189,437
46012,"Winnipeg South/Winnipeg-Sud"," 74B","Winnipeg",6,76,1,0,75,0,158,434
46012,"Winnipeg South/Winnipeg-Sud"," 75","Winnipeg",17,126,0,1,82,0,226,590
46012,"Winnipeg South/Winnipeg-Sud"," 76","Winnipeg",8,81,3,0,78,9,179,549
46012,"Winnipeg South/Winnipeg-Sud"," 77","Winnipeg",12,96,2,2,91,0,203,571
46012,"Winnipeg South/Winnipeg-Sud"," 78A","Winnipeg",6,62,3,0,50,0,121,356
46012,"Winnipeg South/Winnipeg-Sud"," 78B","Winnipeg",6,66,3,0,51,4,130,325
46012,"Winnipeg South/Winnipeg-Sud"," 79","Winnipeg",7,145,1,3,98,3,257,601
46012,"Winnipeg South/Winnipeg-Sud"," 80A","Winnipeg",4,60,0,1,53,0,118,341
46012,"Winnipeg South/Winnipeg-Sud"," 80B","Winnipeg",3,70,2,0,56,2,133,370
46012,"Winnipeg South/Winnipeg-Sud"," 81","Winnipeg",5,51,2,6,47,1,112,535
46012,"Winnipeg South/Winnipeg-Sud"," 82A","Winnipeg",6,84,1,0,55,0,146,357
46012,"Winnipeg South/Winnipeg-Sud"," 82B","Winnipeg",3,54,0,0,54,1,112,394
46012,"Winnipeg South/Winnipeg-Sud"," 83","Winnipeg",8,133,0,0,61,1,203,520
46012,"Winnipeg South/Winnipeg-Sud"," 84","Winnipeg",12,116,0,1,65,0,194,486
46012,"Winnipeg South/Winnipeg-Sud"," 85","Winnipeg",8,86,0,0,66,4,164,465
46012,"Winnipeg South/Winnipeg-Sud"," 86A","Winnipeg",11,25,1,1,17,1,56,178
46012,"Winnipeg South/Winnipeg-Sud"," 86B","Winnipeg",13,102,2,1,43,0,161,272
46012,"Winnipeg South/Winnipeg-Sud"," 87","Winnipeg",9,127,4,2,83,1,226,605
46012,"Winnipeg South/Winnipeg-Sud"," 88","Winnipeg",4,101,1,1,89,1,197,526
46012,"Winnipeg South/Winnipeg-Sud"," 89","Winnipeg",3,53,0,1,61,0,118,359
46012,"Winnipeg South/Winnipeg-Sud"," 90","Winnipeg",7,71,1,0,49,0,128,401
46012,"Winnipeg South/Winnipeg-Sud"," 91","Winnipeg",4,117,3,3,70,1,198,438
46012,"Winnipeg South/Winnipeg-Sud"," 92","Winnipeg",7,94,3,1,58,0,163,386
46012,"Winnipeg South/Winnipeg-Sud"," 93","Winnipeg",14,95,1,1,56,3,170,645
46012,"Winnipeg South/Winnipeg-Sud"," 94","Winnipeg",15,85,2,1,74,1,178,616
46012,"Winnipeg South/Winnipeg-Sud"," 95","Winnipeg",10,77,1,0,78,1,167,437
46012,"Winnipeg South/Winnipeg-Sud"," 96","Winnipeg",7,89,2,1,43,1,143,397
46012,"Winnipeg South/Winnipeg-Sud"," 97","Winnipeg",6,151,1,1,70,0,229,512
46012,"Winnipeg South/Winnipeg-Sud"," 98","Winnipeg",5,128,2,0,80,4,219,430
46012,"Winnipeg South/Winnipeg-Sud"," 99","Winnipeg",3,96,1,2,58,1,161,400
46012,"Winnipeg South/Winnipeg-Sud"," 100","Winnipeg",4,57,2,0,38,0,101,329
46012,"Winnipeg South/Winnipeg-Sud"," 101","Winnipeg",0,65,11,1,41,0,118,383
46012,"Winnipeg South/Winnipeg-Sud"," 102","Winnipeg",14,77,3,0,30,0,124,406
46012,"Winnipeg South/Winnipeg-Sud"," 103","Winnipeg",11,93,0,1,50,2,157,421
46012,"Winnipeg South/Winnipeg-Sud"," 104","Winnipeg",9,58,3,0,40,2,112,340
46012,"Winnipeg South/Winnipeg-Sud"," 105","Winnipeg",7,91,2,1,56,2,159,499
46012,"Winnipeg South/Winnipeg-Sud"," 106","Winnipeg",6,89,0,4,59,2,160,447
46012,"Winnipeg South/Winnipeg-Sud"," 107","Winnipeg",1,57,1,0,38,1,98,329
46012,"Winnipeg South/Winnipeg-Sud"," 108","Winnipeg",6,70,1,6,80,3,166,436
46012,"Winnipeg South/Winnipeg-Sud"," 109","Winnipeg",14,98,0,0,27,3,142,396
46012,"Winnipeg South/Winnipeg-Sud"," 110","Winnipeg",12,82,2,4,52,1,153,380
46012,"Winnipeg South/Winnipeg-Sud"," 111","Winnipeg",4,72,1,0,48,0,125,346
46012,"Winnipeg South/Winnipeg-Sud"," 112","Winnipeg",10,72,2,1,44,1,130,381
46012,"Winnipeg South/Winnipeg-Sud"," 113","Winnipeg",4,61,1,3,43,0,112,342
46012,"Winnipeg South/Winnipeg-Sud"," 114A","Winnipeg",9,69,2,1,73,0,154,365
46012,"Winnipeg South/Winnipeg-Sud"," 114B","Winnipeg",1,82,1,0,74,2,160,396
46012,"Winnipeg South/Winnipeg-Sud"," 115","Winnipeg",13,73,2,1,59,0,148,459
46012,"Winnipeg South/Winnipeg-Sud"," 116","Winnipeg",15,130,3,1,103,1,253,620
46012,"Winnipeg South/Winnipeg-Sud"," 117","Winnipeg",8,102,4,2,82,2,200,597
46012,"Winnipeg South/Winnipeg-Sud"," 118A","Winnipeg",4,71,1,1,54,0,131,373
46012,"Winnipeg South/Winnipeg-Sud"," 118B","Winnipeg",4,77,0,1,43,3,128,333
46012,"Winnipeg South/Winnipeg-Sud"," 119","Winnipeg",10,137,4,1,111,1,264,555
46012,"Winnipeg South/Winnipeg-Sud"," 120A","Winnipeg",5,96,0,0,62,1,164,338
46012,"Winnipeg South/Winnipeg-Sud"," 120B","Winnipeg",2,74,2,3,48,0,129,332
46012,"Winnipeg South/Winnipeg-Sud"," 121A","Winnipeg",4,116,2,0,68,2,192,565
46012,"Winnipeg South/Winnipeg-Sud"," 121B","Winnipeg",7,71,1,2,88,1,170,527
46012,"Winnipeg South/Winnipeg-Sud"," 122","Winnipeg",3,67,1,0,62,0,133,376
46012,"Winnipeg South/Winnipeg-Sud"," 123","Winnipeg",4,57,4,2,59,1,127,285
46012,"Winnipeg South/Winnipeg-Sud"," 124","Winnipeg",5,96,3,4,112,0,220,427
46012,"Winnipeg South/Winnipeg-Sud"," 125","Winnipeg",4,60,0,0,40,0,104,213
46012,"Winnipeg South/Winnipeg-Sud"," 126","Winnipeg",14,103,2,0,83,1,203,552
46012,"Winnipeg South/Winnipeg-Sud"," 127","Winnipeg",6,80,2,1,83,2,174,454
46012,"Winnipeg South/Winnipeg-Sud"," 128A","Winnipeg",10,99,2,1,95,4,211,564
46012,"Winnipeg South/Winnipeg-Sud"," 128B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°128C,,,,,,,11
46012,"Winnipeg South/Winnipeg-Sud"," 128C","Mobile poll/Bureau itinérant",15,39,4,1,26,0,85,38
46012,"Winnipeg South/Winnipeg-Sud"," 129","Winnipeg",8,50,3,0,59,0,120,352
46012,"Winnipeg South/Winnipeg-Sud"," 130","Winnipeg",5,95,2,0,71,0,173,494
46012,"Winnipeg South/Winnipeg-Sud"," 131A","Winnipeg",8,73,0,1,60,0,142,334
46012,"Winnipeg South/Winnipeg-Sud"," 131B","Winnipeg",7,71,3,2,70,1,154,359
46012,"Winnipeg South/Winnipeg-Sud"," 132","Winnipeg",20,102,2,0,60,2,186,474
46012,"Winnipeg South/Winnipeg-Sud"," 133","Winnipeg",7,64,1,0,42,1,115,379
46012,"Winnipeg South/Winnipeg-Sud"," 134","Winnipeg",11,56,2,0,64,2,135,431
46012,"Winnipeg South/Winnipeg-Sud"," 135","Winnipeg",17,105,3,0,68,0,193,513
46012,"Winnipeg South/Winnipeg-Sud"," 136","Winnipeg",6,71,5,2,42,0,126,334
46012,"Winnipeg South/Winnipeg-Sud"," 400","Winnipeg",8,110,3,0,29,0,150,186
46012,"Winnipeg South/Winnipeg-Sud"," 401","Winnipeg",12,98,2,1,40,0,153,238
46012,"Winnipeg South/Winnipeg-Sud"," 402","Winnipeg",1,85,0,0,33,0,119,158
46012,"Winnipeg South/Winnipeg-Sud"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°128C,,,,,,,102
46012,"Winnipeg South/Winnipeg-Sud"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°128C,,,,,,,35
46012,"Winnipeg South/Winnipeg-Sud"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,74
46012,"Winnipeg South/Winnipeg-Sud"," 503","Mobile poll/Bureau itinérant",19,64,2,2,25,0,112,93
46012,"Winnipeg South/Winnipeg-Sud"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,100
46012,"Winnipeg South/Winnipeg-Sud"," 600","Winnipeg",45,787,10,3,575,7,1427,
46012,"Winnipeg South/Winnipeg-Sud"," 601","Winnipeg",34,1026,3,3,669,6,1741,
46012,"Winnipeg South/Winnipeg-Sud"," 602","Winnipeg",65,1141,16,10,610,9,1851,
46012,"Winnipeg South/Winnipeg-Sud"," 603","Winnipeg",54,897,9,6,432,6,1404,
46012,"Winnipeg South/Winnipeg-Sud"," 604","Winnipeg",41,778,7,4,418,6,1254,
46012,"Winnipeg South/Winnipeg-Sud"," 605","Winnipeg",73,1073,4,7,421,6,1584,
46012,"Winnipeg South/Winnipeg-Sud"," 606","Winnipeg",52,826,8,5,336,5,1232,
46012,"Winnipeg South/Winnipeg-Sud"," 607","Winnipeg",83,1005,11,7,425,8,1539,
46012,"Winnipeg South/Winnipeg-Sud"," 608","Winnipeg",43,1191,8,3,482,4,1731,
46012,"Winnipeg South/Winnipeg-Sud"," 609","Winnipeg",60,1241,12,5,511,6,1835,
46012,"Winnipeg South/Winnipeg-Sud"," 610","Winnipeg",45,1284,14,7,599,5,1954,
46012,"Winnipeg South/Winnipeg-Sud"," 611","Winnipeg",60,1038,9,3,632,9,1751,
46012,"Winnipeg South/Winnipeg-Sud",,Group 1/Groupe 1, 45,475,4,5,242,44,815,282
46012,"Winnipeg South/Winnipeg-Sud",,Group 2/Groupe 2, 72,1311,7,10,703,47,2150,
