Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sayid Ahmed,Gregory Bell,Ronald S. Billingsley Jr.,David John Bohonos,Mike Dutcher,Merryn Edwards de la O,Trisha Estabrooks,Eleanor Olszewski,Naomi Rankin,John Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton Centre/Edmonton-Centre"," 1","Edmonton",151,0,0,1,2,1,43,61,0,6,3,268,591
48015,"Edmonton Centre/Edmonton-Centre"," 2","Edmonton",103,0,0,1,0,0,41,53,0,2,3,203,558
48015,"Edmonton Centre/Edmonton-Centre"," 3","Edmonton",177,3,0,1,0,0,46,83,2,4,7,323,590
48015,"Edmonton Centre/Edmonton-Centre"," 4","Edmonton",119,1,3,2,0,0,53,34,1,3,3,219,553
48015,"Edmonton Centre/Edmonton-Centre"," 5","Edmonton",120,2,0,0,1,0,48,65,0,3,2,241,586
48015,"Edmonton Centre/Edmonton-Centre"," 6","Edmonton",149,1,0,1,0,0,32,56,1,5,4,249,590
48015,"Edmonton Centre/Edmonton-Centre"," 7","Edmonton",83,0,1,0,0,0,30,53,1,1,0,169,519
48015,"Edmonton Centre/Edmonton-Centre"," 8","Edmonton",142,1,1,0,2,0,29,42,0,1,1,219,552
48015,"Edmonton Centre/Edmonton-Centre"," 9","Edmonton",121,0,0,4,0,0,40,85,0,3,9,262,622
48015,"Edmonton Centre/Edmonton-Centre"," 10","Edmonton",167,2,0,2,0,1,37,72,0,3,0,284,558
48015,"Edmonton Centre/Edmonton-Centre"," 11","Edmonton",99,2,2,0,0,0,24,48,3,3,2,183,538
48015,"Edmonton Centre/Edmonton-Centre"," 12","Edmonton",91,0,0,0,0,0,37,41,0,4,0,173,575
48015,"Edmonton Centre/Edmonton-Centre"," 13","Edmonton",86,2,1,0,1,0,33,51,0,5,0,179,580
48015,"Edmonton Centre/Edmonton-Centre"," 14","Edmonton",101,0,1,1,1,0,35,43,0,5,2,189,587
48015,"Edmonton Centre/Edmonton-Centre"," 15","Edmonton",82,0,0,0,0,0,41,58,0,1,0,182,537
48015,"Edmonton Centre/Edmonton-Centre"," 16","Edmonton",116,0,0,2,0,0,42,73,1,1,1,236,581
48015,"Edmonton Centre/Edmonton-Centre"," 17","Edmonton",82,1,0,0,0,1,30,78,0,0,0,192,618
48015,"Edmonton Centre/Edmonton-Centre"," 18","Edmonton",104,1,2,2,2,0,30,79,1,3,0,224,575
48015,"Edmonton Centre/Edmonton-Centre"," 19","Edmonton",103,2,0,0,2,0,32,90,1,1,3,234,542
48015,"Edmonton Centre/Edmonton-Centre"," 20","Edmonton",113,0,0,0,0,1,42,83,0,0,3,242,553
48015,"Edmonton Centre/Edmonton-Centre"," 21","Edmonton",87,1,0,1,1,0,32,98,1,3,1,225,576
48015,"Edmonton Centre/Edmonton-Centre"," 22","Edmonton",62,0,2,0,0,0,56,54,1,2,1,178,484
48015,"Edmonton Centre/Edmonton-Centre"," 23","Edmonton",58,0,0,2,1,1,25,55,0,0,0,142,458
48015,"Edmonton Centre/Edmonton-Centre"," 24","Edmonton",91,1,0,0,0,0,36,81,0,1,3,213,533
48015,"Edmonton Centre/Edmonton-Centre"," 25","Edmonton",91,0,0,2,1,0,36,93,0,7,0,230,502
48015,"Edmonton Centre/Edmonton-Centre"," 26","Edmonton",94,0,0,0,0,0,40,83,0,2,0,219,521
48015,"Edmonton Centre/Edmonton-Centre"," 27","Edmonton",60,1,0,0,0,0,32,42,1,3,0,139,496
