Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scot Davidson,Mike Hanrahan,Callum McKinnon,Paul Montague,Nancy Morrison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 1","East Gwillimbury",223,113,19,9,14,0,378,611
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 2","East Gwillimbury",250,119,2,11,8,2,392,510
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 3","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°1,,,,,,,539
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 4","East Gwillimbury",284,222,6,1,13,0,526,700
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 5","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°7,,,,,,,642
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 6","East Gwillimbury",293,200,8,5,15,1,522,709
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 7","East Gwillimbury",323,182,9,5,16,2,537,684
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 8","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°6,,,,,,,699
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 9","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°4,,,,,,,677
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 10","East Gwillimbury",199,99,5,4,4,1,312,738
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 11","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°2,,,,,,,519
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 12","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°14,,,,,,,442
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 13","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°16,,,,,,,398
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 14","East Gwillimbury",230,115,2,4,4,3,358,627
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 15","East Gwillimbury",223,115,2,4,1,1,346,1065
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 16","East Gwillimbury",305,140,3,4,10,0,462,888
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 17","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°22,,,,,,,639
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 18","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°20A,,,,,,,594
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 19","East Gwillimbury",300,190,6,8,6,3,513,767
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 20A","East Gwillimbury",284,161,3,6,10,4,468,761
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 20B","Mobile poll/Bureau itinérant",35,61,2,1,2,1,102,96
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 21","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°26,,,,,,,658
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 22","East Gwillimbury",267,130,5,2,6,2,412,726
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 23","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°24,,,,,,,614
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 24","East Gwillimbury",250,116,5,5,2,2,380,652
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 25","East Gwillimbury",179,110,1,5,12,2,309,888
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 26","East Gwillimbury",272,158,5,8,3,8,454,691
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 27A","Bradford West Gwillimbury",231,79,2,2,2,4,320,316
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 27B","Bradford West Gwillimbury",236,83,6,2,6,3,336,300
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 28A","Bradford West Gwillimbury",Combined with No./Résultats combinés à ceux du n°27A,,,,,,,273
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 28B","Bradford West Gwillimbury",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,281
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 29","Bradford West Gwillimbury",192,73,2,2,5,1,275,632
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 30","Bradford West Gwillimbury",Combined with No./Résultats combinés à ceux du n°49,,,,,,,577
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 31","Bradford West Gwillimbury",309,161,6,2,6,2,486,626
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 32A","Bradford West Gwillimbury",Combined with No./Résultats combinés à ceux du n°27A,,,,,,,286
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 32B","Bradford West Gwillimbury",Combined with No./Résultats combinés à ceux du n°27B,,,,,,,315
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 33","Bradford West Gwillimbury",Combined with No./Résultats combinés à ceux du n°31,,,,,,,610
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 34","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°39,,,,,,,601
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 35","East Gwillimbury",211,108,2,6,6,1,334,975
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 36","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°40,,,,,,,536
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 37","East Gwillimbury",271,166,7,1,12,6,463,629
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 38","East Gwillimbury",281,221,7,3,10,3,525,730
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 39","East Gwillimbury",300,160,10,7,10,3,490,652
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 40","East Gwillimbury",326,174,5,7,9,1,522,752
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 41","East Gwillimbury",158,117,6,1,3,1,286,784
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 42","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°38,,,,,,,605
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 43","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°37,,,,,,,606
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 44","East Gwillimbury",Combined with No./Résultats combinés à ceux du n°19,,,,,,,649
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 45","East Gwillimbury",243,224,9,2,9,2,489,622
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 46","New Tecumseth",248,136,6,4,11,3,408,585
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 47","New Tecumseth",151,88,2,4,8,3,256,597
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 48","New Tecumseth",Combined with No./Résultats combinés à ceux du n°46,,,,,,,543
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 49","Bradford West Gwillimbury",290,180,2,8,8,0,488,602
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 50","Bradford West Gwillimbury",Combined with No./Résultats combinés à ceux du n°51,,,,,,,557
35069,"New Tecumseth--Gwillimbury/New Tecumseth--Gwillimbury"," 51","Bradford West Gwillimbury",228,140,3,7,9,4,391,661
