Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Raymond Côté,Dalila Elhak,Hugo Langlois,Steeve Lavoie,Andrée Massicotte,Claude Moreau,Julie Vignola,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24008,"Beauport--Limoilou/Beauport--Limoilou"," 1","Québec",3,0,47,58,1,0,49,2,160,325
24008,"Beauport--Limoilou/Beauport--Limoilou"," 2","Québec",12,0,66,50,2,0,46,6,182,439
24008,"Beauport--Limoilou/Beauport--Limoilou"," 3","Québec",3,2,68,49,0,0,27,1,150,370
24008,"Beauport--Limoilou/Beauport--Limoilou"," 4","Québec",6,0,47,32,1,0,42,5,133,354
24008,"Beauport--Limoilou/Beauport--Limoilou"," 5","Québec",1,4,60,40,0,0,40,3,148,370
24008,"Beauport--Limoilou/Beauport--Limoilou"," 6","Québec",11,3,53,30,1,1,31,2,132,362
24008,"Beauport--Limoilou/Beauport--Limoilou"," 7","Québec",3,1,73,40,0,0,42,0,159,414
24008,"Beauport--Limoilou/Beauport--Limoilou"," 8","Québec",2,6,61,27,4,0,42,2,144,358
24008,"Beauport--Limoilou/Beauport--Limoilou"," 9","Québec",9,2,53,26,2,1,30,2,125,378
24008,"Beauport--Limoilou/Beauport--Limoilou"," 10","Québec",2,3,86,29,2,0,37,3,162,381
24008,"Beauport--Limoilou/Beauport--Limoilou"," 11","Québec",3,1,53,41,1,0,31,1,131,336
24008,"Beauport--Limoilou/Beauport--Limoilou"," 12","Québec",2,1,55,39,1,0,35,2,135,388
24008,"Beauport--Limoilou/Beauport--Limoilou"," 13","Québec",6,2,60,33,1,0,37,1,140,384
24008,"Beauport--Limoilou/Beauport--Limoilou"," 14","Québec",3,2,71,44,0,0,52,4,176,475
24008,"Beauport--Limoilou/Beauport--Limoilou"," 15","Québec",2,0,86,56,0,1,28,4,177,492
24008,"Beauport--Limoilou/Beauport--Limoilou"," 16","Québec",5,0,63,42,0,0,41,0,151,478
24008,"Beauport--Limoilou/Beauport--Limoilou"," 17","Québec",9,0,40,42,0,0,33,0,124,447
24008,"Beauport--Limoilou/Beauport--Limoilou"," 18","Québec",4,2,60,44,0,1,62,1,174,457
24008,"Beauport--Limoilou/Beauport--Limoilou"," 19","Québec",4,2,97,39,4,0,39,3,188,474
24008,"Beauport--Limoilou/Beauport--Limoilou"," 20","Québec",2,0,72,36,44,0,0,2,156,436
24008,"Beauport--Limoilou/Beauport--Limoilou"," 21","Québec",4,2,57,51,0,0,40,3,157,380
24008,"Beauport--Limoilou/Beauport--Limoilou"," 22","Québec",3,0,70,50,1,0,31,3,158,369
24008,"Beauport--Limoilou/Beauport--Limoilou"," 23","Québec",2,1,54,31,0,0,26,3,117,360
24008,"Beauport--Limoilou/Beauport--Limoilou"," 24","Québec",2,1,53,46,1,1,41,0,145,353
24008,"Beauport--Limoilou/Beauport--Limoilou"," 25","Québec",2,2,56,51,2,1,37,2,153,412
24008,"Beauport--Limoilou/Beauport--Limoilou"," 26","Québec",4,2,56,51,3,0,47,2,165,423
24008,"Beauport--Limoilou/Beauport--Limoilou"," 27","Québec",2,1,55,41,0,0,44,0,143,343
