Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Raphaël Arsenault,Maxime Blanchette-Joncas,Noémi Bureau-Civil,Taraneh Javanbakht,Nancy Joannette,Tommy Lefebvre,Lysane Picker-Paquin,Alexander Reford,Salomé Salvain,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 1","Causapscal",1,38,1,2,22,0,0,21,0,6,91,241
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 2","Causapscal",0,46,0,0,11,0,0,25,1,2,85,286
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 3","Causapscal",2,60,0,0,32,0,0,27,3,3,127,352
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 4","Causapscal",0,51,0,1,23,1,0,30,0,0,106,281
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 5","Causapscal",1,42,2,0,46,1,1,19,1,2,115,326
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 6","Causapscal",0,34,0,0,21,0,0,17,1,6,79,245
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 7","Sainte-Marguerite-Marie",1,48,2,0,20,0,0,29,0,1,101,161
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 8","Saint-Vianney",1,114,1,1,53,1,2,40,1,1,215,360
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 9","Saint-Tharcisius",0,86,3,2,44,1,1,24,0,4,165,322
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 10","Saint-Alexandre-des-Lacs",3,57,0,0,39,0,0,30,1,3,133,219
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 11","Métis-sur-Mer",0,59,0,1,20,0,2,57,0,2,141,261
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 12","Saint-Damase",1,85,0,0,47,0,1,70,0,2,206,298
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 13","Métis-sur-Mer",0,36,0,0,22,0,0,47,0,2,107,211
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 14","Grand-Métis",0,51,1,2,16,0,0,31,0,2,103,187
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 15","Sayabec",0,61,0,0,15,0,0,36,1,0,113,343
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 16","Sayabec",1,48,0,2,25,0,1,18,0,0,95,307
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 17","Sayabec",0,38,0,2,19,0,1,22,0,4,86,257
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 18A","Sayabec",0,38,0,2,17,1,0,24,0,0,82,263
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 18B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,,6
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 19","Sayabec",0,55,1,2,18,0,1,25,3,3,108,253
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 20","Val-Brillant",0,98,1,3,29,0,0,59,1,4,195,409
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 21","Val-Brillant",1,123,1,5,43,0,0,42,1,2,218,385
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 22","Saint-Noël",0,66,1,1,27,0,2,41,1,5,144,314
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 23","Amqui",1,60,0,0,31,0,0,30,2,1,125,349
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 24","Amqui",0,87,1,3,27,1,1,39,2,0,161,398
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 25","Amqui",1,56,6,2,16,0,2,23,1,1,108,324
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 26","Amqui",0,38,0,1,23,0,0,35,1,1,99,339
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 27","Amqui",0,84,2,1,29,0,3,36,0,2,157,424
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 28","Amqui",0,81,1,1,22,0,1,35,1,2,144,385
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 29","Amqui",2,75,0,1,25,0,0,21,0,6,130,374
24062,"Rimouski--La Matapédia/Rimouski--La Matapédia"," 30","Amqui",0,63,0,1,18,1,0,21,2,3,109,334
