Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Parm Bains,Steven Ji,Keefer Pelech,Zach Segal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 67A","Richmond",41,2,3,64,3,113,546
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 67B","Richmond",34,2,1,63,0,100,428
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 68","Richmond",44,1,12,51,1,109,410
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 69","Richmond",27,3,3,32,0,65,251
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 70","Richmond",44,1,3,32,0,80,249
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 71A","Richmond",59,0,4,67,0,130,423
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 71B","Richmond",44,0,6,49,1,100,328
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 72","Richmond",45,3,13,57,0,118,447
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 73","Richmond",65,1,7,109,0,182,470
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 74","Richmond",80,1,6,139,0,226,511
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 75","Richmond",75,1,3,156,0,235,610
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 76","Richmond",83,0,4,156,1,244,657
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 77","Richmond",44,1,7,59,3,114,341
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 78","Richmond",79,7,17,107,2,212,430
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 79","Richmond",100,3,5,140,5,253,559
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 80","Richmond",57,0,6,52,0,115,335
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 81","Richmond",55,0,11,86,2,154,425
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 82","Richmond",99,2,15,74,1,191,506
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 83","Richmond",67,1,6,64,0,138,496
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 84","Richmond",119,2,14,117,2,254,612
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 85","Richmond",46,2,5,77,0,130,334
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 86","Richmond",51,1,4,55,0,111,385
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 87","Richmond",34,2,5,59,0,100,381
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 88","Richmond",45,1,4,90,3,143,385
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 89","Richmond",47,1,11,73,0,132,386
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 90","Richmond",50,1,3,77,1,132,388
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 91","Richmond",44,1,8,97,0,150,447
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 92","Richmond",21,0,4,43,0,68,268
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 93","Richmond",27,0,2,62,1,92,306
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 94","Richmond",47,1,2,58,0,108,396
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 95","Richmond",31,0,0,31,0,62,269
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 96","Richmond",49,0,3,69,0,121,389
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 97","Richmond",44,4,6,96,1,151,388
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 98","Richmond",48,2,4,60,1,115,374
