Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Berthold,Gabriel D'Astous,Yves Gilbert,Réjean Hurteau,Charles Mckaig,Marek Spacek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,22
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,26
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 504","Lotbinière",Combined with No./Résultats combinés à ceux du n°8,,,,,,,,10
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 505","Mobile poll/Bureau itinérant",28,6,3,7,24,3,6,77,60
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,16
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,28
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 508","Saint-Flavien",Combined with No./Résultats combinés à ceux du n°11,,,,,,,,15
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 509","Saint-Flavien",Combined with No./Résultats combinés à ceux du n°11,,,,,,,,10
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 510","Sainte-Agathe-de-Lotbinière",Combined with No./Résultats combinés à ceux du n°28,,,,,,,,12
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,15
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 512","East Broughton",Combined with No./Résultats combinés à ceux du n°40,,,,,,,,8
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,17
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 514","Mobile poll/Bureau itinérant",24,0,0,3,11,0,1,39,32
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 515","Mobile poll/Bureau itinérant",19,1,0,7,28,0,3,58,39
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 516","Thetford Mines",Combined with No./Résultats combinés à ceux du n°82,,,,,,,,51
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,18
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 518","Thetford Mines",Combined with No./Résultats combinés à ceux du n°89,,,,,,,,18
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 519","Thetford Mines",Combined with No./Résultats combinés à ceux du n°106,,,,,,,,17
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 520","Plessisville",Combined with No./Résultats combinés à ceux du n°73,,,,,,,,12
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 521","Plessisville",Combined with No./Résultats combinés à ceux du n°73,,,,,,,,21
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,31
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 523","Adstock",Combined with No./Résultats combinés à ceux du n°103,,,,,,,,16
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 524","Thetford Mines",Combined with No./Résultats combinés à ceux du n°114,,,,,,,,12
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 525","Mobile poll/Bureau itinérant",37,0,2,3,19,3,8,72,62
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 526","Mobile poll/Bureau itinérant",36,1,1,4,17,1,9,69,31
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 527","Mobile poll/Bureau itinérant",41,0,1,4,9,1,0,56,50
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,16
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 529","Princeville",Combined with No./Résultats combinés à ceux du n°134,,,,,,,,3
