Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Berthold,Gabriel D'Astous,Yves Gilbert,Réjean Hurteau,Charles Mckaig,Marek Spacek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 56","Thetford Mines",119,2,0,17,20,2,6,166,253
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 57","Sainte-Clotilde-de-Beauce",226,2,1,23,34,7,2,295,428
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 58","Thetford Mines",143,1,0,25,30,0,2,201,381
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 59","Thetford Mines",149,2,0,24,36,1,0,212,370
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 60","Thetford Mines",139,4,0,21,37,2,4,207,392
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 61","Thetford Mines",132,1,2,25,20,3,3,186,415
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 62","Saint-Jean-de-Brébeuf",139,4,2,11,32,0,3,191,282
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 63","Saint-Pierre-Baptiste",150,6,0,45,32,6,3,242,429
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 64","Plessisville",145,4,1,19,31,6,3,209,478
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 65","Plessisville",168,4,0,26,34,1,1,234,479
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 66","Plessisville",106,4,0,24,34,0,2,170,448
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 67","Plessisville",157,2,0,29,22,3,3,216,442
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 68","Plessisville",96,2,0,35,37,0,4,174,451
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 69","Plessisville",102,12,2,22,27,4,6,175,433
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 70","Plessisville",126,5,0,32,26,0,3,192,482
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 71","Plessisville",93,3,0,29,25,4,6,160,451
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 72","Plessisville",97,2,1,19,21,3,6,149,462
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 73","Plessisville",74,3,1,25,23,1,4,131,398
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 74","Plessisville",113,6,0,19,43,3,3,187,448
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 75","Plessisville",113,1,0,29,31,1,1,176,433
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 76","Plessisville",67,3,2,33,18,2,0,125,429
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 77","Plessisville",121,2,0,40,38,0,2,203,415
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 78","Plessisville",114,3,0,25,28,1,0,171,410
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 79","Plessisville",121,4,1,35,47,1,4,213,454
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 80","Adstock",180,3,1,29,56,1,0,270,449
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 81","Adstock",121,1,0,34,57,1,1,215,436
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 82","Thetford Mines",138,1,0,30,36,3,4,212,439
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 83","Thetford Mines",107,3,0,26,35,2,1,174,365
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 84","Thetford Mines",94,3,0,43,25,5,0,170,342
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 85","Thetford Mines",114,2,1,16,28,2,6,169,382
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 86","Thetford Mines",122,4,0,34,23,4,2,189,408
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 87","Thetford Mines",84,1,0,32,28,3,3,151,368
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 88","Thetford Mines",91,2,0,25,24,2,3,147,449
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 89","Thetford Mines",94,2,0,18,24,1,2,141,332
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 90","Thetford Mines",96,5,1,23,27,1,2,155,423
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 91A","Thetford Mines",63,1,1,9,19,5,4,102,271
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 91B","Thetford Mines",Combined with No./Résultats combinés à ceux du n°400,,,,,,,,133
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 92","Thetford Mines",80,1,0,20,29,1,4,135,424
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 93","Thetford Mines",76,2,0,20,16,0,1,115,320
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 94","Thetford Mines",84,0,0,29,24,1,3,141,369
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 95","Thetford Mines",49,2,2,29,25,0,1,108,361
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 96","Thetford Mines",67,4,0,24,17,0,3,115,353
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 97","Thetford Mines",96,2,0,19,30,3,3,153,407
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 98","Thetford Mines",103,6,1,19,25,3,4,161,392
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 99","Thetford Mines",88,2,0,29,11,1,4,135,377
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 100","Thetford Mines",85,1,0,19,28,1,3,137,334
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 101","Thetford Mines",76,2,0,20,13,0,0,111,336
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 102","Adstock",77,0,0,18,14,4,2,115,280
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 103","Adstock",65,0,0,12,13,0,0,90,240
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 104","Adstock",104,1,0,10,24,3,2,144,301
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 105","Saint-Adrien-d'Irlande",130,1,2,32,21,1,2,189,309
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 106","Thetford Mines",81,3,0,27,21,0,4,136,313
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 107","Thetford Mines",102,8,0,17,16,1,2,146,328
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 108","Thetford Mines",101,1,0,21,22,2,2,149,360
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 109","Thetford Mines",96,1,0,17,33,0,4,151,351
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 110","Thetford Mines",73,6,0,11,14,3,1,108,316
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 111","Thetford Mines",58,7,0,28,18,1,3,115,381
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 112","Thetford Mines",72,4,0,14,10,0,2,102,307
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 113","Thetford Mines",76,0,0,16,13,0,3,108,318
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 114","Thetford Mines",65,2,0,10,22,1,3,103,321
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 115","Thetford Mines",110,4,0,25,37,2,3,181,429
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 116","Thetford Mines",66,2,0,16,10,2,0,96,322
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 117","Thetford Mines",74,4,0,20,10,3,4,115,328
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 118","Thetford Mines",59,4,0,13,13,2,3,94,324
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 119","Thetford Mines",72,4,1,17,35,1,8,138,341
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 120","Thetford Mines",125,3,0,19,29,1,0,177,423
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 121","Thetford Mines",94,6,0,13,33,2,0,148,340
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 122","Thetford Mines",92,3,1,16,22,0,1,135,349
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 123A","Thetford Mines",83,4,0,20,35,0,1,143,288
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 123B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,46
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 124","Thetford Mines",89,1,0,17,9,1,3,120,259
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 125","Thetford Mines",65,2,0,18,28,1,1,115,325
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 126","Thetford Mines",75,3,0,18,16,1,6,119,322
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 127","Thetford Mines",163,2,1,41,38,3,2,250,460
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 128","Sainte-Sophie",177,10,0,67,60,1,3,318,470
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 129","Princeville",174,5,1,34,39,4,6,263,512
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 130","Princeville",134,2,0,42,42,2,4,226,432
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 131","Princeville",90,4,0,25,31,1,2,153,453
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 132","Princeville",151,6,0,38,61,1,6,263,508
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 133","Princeville",103,12,0,20,32,1,0,168,465
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 134","Princeville",85,2,0,15,29,1,0,132,246
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 135","Princeville",98,2,0,32,39,1,1,173,422
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 136","Princeville",106,0,0,13,31,3,0,153,421
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 137","Princeville",98,5,0,26,21,7,2,159,465
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 138","Princeville",192,3,0,35,47,0,4,281,598
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 139","Princeville",133,2,0,31,52,4,4,226,440
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 140","Thetford Mines",132,0,0,32,39,0,3,206,348
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 141","Thetford Mines",105,1,0,21,16,0,1,144,322
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 142","Thetford Mines",188,3,1,42,50,1,3,288,472
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 143","Thetford Mines",131,2,1,29,33,3,2,201,360
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 144","Thetford Mines",121,0,1,41,27,1,4,195,395
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 145","Thetford Mines",124,5,0,34,22,3,1,189,359
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 146","Thetford Mines",84,4,0,23,25,2,7,145,359
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 147","Thetford Mines",139,5,1,35,28,2,2,212,397
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 148","Saint-Ferdinand",138,4,2,30,58,0,6,238,497
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 149","Saint-Ferdinand",122,2,1,21,27,3,1,177,425
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 150","Saint-Ferdinand",111,4,1,16,41,0,2,175,398
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 151","Saint-Ferdinand",137,1,9,21,26,2,3,199,409
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 152","Adstock",106,2,0,32,34,2,0,176,343
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 153","Adstock",106,1,0,29,38,1,0,175,282
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 154","Irlande",122,1,0,36,26,3,5,193,354
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 155","Irlande",141,2,0,33,27,1,1,205,384
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 156","Saint-Joseph-de-Coleraine",103,2,0,33,60,2,1,201,481
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 157","Saint-Joseph-de-Coleraine",120,4,0,28,28,2,4,186,338
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 158","Saint-Joseph-de-Coleraine",110,3,0,30,11,4,0,158,306
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 159","Saint-Joseph-de-Coleraine",137,4,0,29,20,5,6,201,423
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 160","Courcelles",102,2,1,18,18,7,3,151,271
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 161","Courcelles",149,1,1,28,38,0,2,219,373
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 162","Saint-Julien",130,5,1,51,25,4,4,220,338
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 163","Saint-Robert-Bellarmin",236,4,2,15,24,3,6,290,332
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 164","Lambton",92,1,0,30,26,2,1,152,396
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 165","Lambton",124,2,0,18,27,1,0,172,456
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 166","Lambton",112,1,0,13,32,1,2,161,444
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 167","Sainte-Praxède",89,2,0,31,44,0,0,166,304
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 168","Disraeli",79,5,0,17,32,4,6,143,395
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 169A","Disraeli",80,3,0,24,20,2,0,129,358
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 169B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,,30
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 170","Disraeli",62,5,0,27,22,3,1,120,384
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 171","Saint-Fortunat",65,5,0,40,40,3,2,155,237
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 172","Saint-Jacques-le-Majeur-de-Wolfestown",44,6,1,30,24,2,4,111,170
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 173","Disraeli",94,2,1,17,19,3,2,138,390
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 174","Disraeli",71,0,1,39,17,5,2,135,324
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 175","Disraeli",77,1,0,18,16,4,5,121,367
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 176","Disraeli",67,4,1,17,10,3,5,107,365
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 177","Disraeli",66,2,2,21,23,0,1,115,329
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 178","Saint-Sébastien",103,1,1,33,31,4,4,177,287
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 179","Saint-Sébastien",117,5,3,18,27,1,4,175,273
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 180A","Saint-Ludger",65,0,0,10,12,0,1,88,171
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 180B","Saint-Ludger",Combined with No./Résultats combinés à ceux du n°163,,,,,,,,130
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 181","Saint-Ludger",118,1,0,13,20,2,1,155,375
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 182A","Saint-Ludger",68,0,0,22,21,3,3,117,288
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 182B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,,19
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 183","Lac-Drolet",169,5,0,45,57,4,3,283,439
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 184","Lac-Drolet",128,3,0,43,61,5,5,245,402
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 185","Beaulac-Garthby",87,8,0,42,59,5,2,203,463
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 186","Beaulac-Garthby",91,4,1,45,56,2,3,202,428
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 187","Saint-Romain",93,2,0,48,34,5,0,182,340
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 188","Saint-Romain",99,2,2,13,28,2,1,147,296
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 189","Stratford",77,2,0,32,32,0,1,144,273
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 190","Stratford",49,1,0,52,51,2,2,157,334
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 191","Stratford",62,2,0,33,34,3,1,135,282
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 192","Audet",193,4,0,41,62,3,8,311,516
