Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris Bittle,Taha Alexander Haj-Ahmad,Karen Orlandi,Christopher Reilly,Bas Sluijmers,Dennis Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"St. Catharines/St. Catharines"," 78","St. Catharines",81,3,15,1,77,1,0,178,466
35101,"St. Catharines/St. Catharines"," 79","St. Catharines",87,0,12,0,95,2,0,196,481
35101,"St. Catharines/St. Catharines"," 80","St. Catharines",76,0,16,1,81,0,0,174,446
35101,"St. Catharines/St. Catharines"," 81","St. Catharines",66,2,16,3,112,2,2,203,607
35101,"St. Catharines/St. Catharines"," 82","St. Catharines",88,0,11,3,107,2,0,211,459
35101,"St. Catharines/St. Catharines"," 83","St. Catharines",82,0,13,1,86,0,0,182,413
35101,"St. Catharines/St. Catharines"," 84","St. Catharines",77,0,11,4,76,3,0,171,451
35101,"St. Catharines/St. Catharines"," 85","St. Catharines",106,0,11,0,108,1,1,227,523
35101,"St. Catharines/St. Catharines"," 86","St. Catharines",75,0,9,2,98,2,0,186,520
35101,"St. Catharines/St. Catharines"," 87","St. Catharines",84,0,9,1,98,1,1,194,554
35101,"St. Catharines/St. Catharines"," 88","St. Catharines",64,2,16,0,59,2,1,144,567
35101,"St. Catharines/St. Catharines"," 89","St. Catharines",48,2,9,0,56,1,0,116,415
35101,"St. Catharines/St. Catharines"," 90","St. Catharines",98,1,16,1,87,3,3,209,573
35101,"St. Catharines/St. Catharines"," 91","St. Catharines",68,0,9,1,80,3,1,162,473
35101,"St. Catharines/St. Catharines"," 92","St. Catharines",76,0,15,2,102,3,5,203,554
35101,"St. Catharines/St. Catharines"," 93","St. Catharines",47,0,15,3,69,0,1,135,447
35101,"St. Catharines/St. Catharines"," 94","St. Catharines",72,0,13,1,106,4,2,198,581
35101,"St. Catharines/St. Catharines"," 95","St. Catharines",95,0,12,1,119,2,2,231,613
35101,"St. Catharines/St. Catharines"," 96","St. Catharines",78,0,16,5,98,2,2,201,540
35101,"St. Catharines/St. Catharines"," 97","St. Catharines",93,2,18,2,111,0,3,229,510
35101,"St. Catharines/St. Catharines"," 98","St. Catharines",84,0,8,1,112,0,0,205,534
35101,"St. Catharines/St. Catharines"," 99","St. Catharines",121,0,9,0,118,3,1,252,556
35101,"St. Catharines/St. Catharines"," 100","St. Catharines",87,0,2,0,67,1,0,157,433
35101,"St. Catharines/St. Catharines"," 101","St. Catharines",73,0,1,0,56,0,0,130,422
35101,"St. Catharines/St. Catharines"," 102","St. Catharines",54,0,2,0,58,0,0,114,338
35101,"St. Catharines/St. Catharines"," 103","St. Catharines",72,0,29,1,69,3,4,178,535
35101,"St. Catharines/St. Catharines"," 104","St. Catharines",68,1,11,0,86,5,0,171,461
35101,"St. Catharines/St. Catharines"," 105","St. Catharines",76,0,11,1,67,3,0,158,513
35101,"St. Catharines/St. Catharines"," 106","St. Catharines",45,2,14,0,67,2,0,130,426
35101,"St. Catharines/St. Catharines"," 107","St. Catharines",82,1,8,0,106,1,0,198,542
35101,"St. Catharines/St. Catharines"," 108","St. Catharines",111,0,13,1,96,2,1,224,565
35101,"St. Catharines/St. Catharines"," 109","St. Catharines",79,1,16,1,82,0,5,184,476
35101,"St. Catharines/St. Catharines"," 110","St. Catharines",77,0,9,0,62,3,2,153,422
35101,"St. Catharines/St. Catharines"," 111","St. Catharines",72,0,24,5,57,3,3,164,515
35101,"St. Catharines/St. Catharines"," 112","St. Catharines",89,1,16,1,96,1,0,204,570
35101,"St. Catharines/St. Catharines"," 113","St. Catharines",77,0,7,3,60,4,0,151,446
35101,"St. Catharines/St. Catharines"," 114","St. Catharines",77,1,10,0,98,1,2,189,518
35101,"St. Catharines/St. Catharines"," 115","St. Catharines",76,2,15,2,94,1,0,190,575
35101,"St. Catharines/St. Catharines"," 116","St. Catharines",92,2,14,2,100,3,4,217,589
35101,"St. Catharines/St. Catharines"," 117","St. Catharines",67,2,13,2,99,7,3,193,540
35101,"St. Catharines/St. Catharines"," 118","St. Catharines",72,1,7,0,89,3,0,172,498
35101,"St. Catharines/St. Catharines"," 119","St. Catharines",68,0,13,0,78,4,1,164,430
35101,"St. Catharines/St. Catharines"," 120","St. Catharines",92,2,16,0,73,1,5,189,463
35101,"St. Catharines/St. Catharines"," 121","St. Catharines",83,2,20,0,79,3,0,187,575
35101,"St. Catharines/St. Catharines"," 122","St. Catharines",66,0,26,0,69,1,0,162,554
35101,"St. Catharines/St. Catharines"," 123","St. Catharines",80,0,21,1,57,0,1,160,489
35101,"St. Catharines/St. Catharines"," 124","St. Catharines",82,1,12,1,121,3,2,222,528
35101,"St. Catharines/St. Catharines"," 125","St. Catharines",112,0,9,5,61,1,1,189,413
35101,"St. Catharines/St. Catharines"," 126","St. Catharines",81,2,15,2,88,1,0,189,467
35101,"St. Catharines/St. Catharines"," 127","St. Catharines",63,0,10,0,55,3,0,131,409
35101,"St. Catharines/St. Catharines"," 128","St. Catharines",65,5,26,0,88,2,0,186,473
35101,"St. Catharines/St. Catharines"," 129","St. Catharines",67,0,14,0,79,2,1,163,446
35101,"St. Catharines/St. Catharines"," 130","St. Catharines",79,0,17,1,105,1,0,203,578
35101,"St. Catharines/St. Catharines"," 131","St. Catharines",98,0,24,2,93,5,1,223,546
35101,"St. Catharines/St. Catharines"," 132","St. Catharines",87,0,28,6,75,4,0,200,594
35101,"St. Catharines/St. Catharines"," 133","St. Catharines",104,0,25,1,56,1,2,189,538
35101,"St. Catharines/St. Catharines"," 134","St. Catharines",85,1,9,2,99,3,0,199,623
35101,"St. Catharines/St. Catharines"," 135","St. Catharines",76,1,25,2,74,5,1,184,611
35101,"St. Catharines/St. Catharines"," 136","St. Catharines",89,1,9,0,41,1,1,142,447
35101,"St. Catharines/St. Catharines"," 137","St. Catharines",67,3,27,1,51,2,0,151,550
35101,"St. Catharines/St. Catharines"," 138","St. Catharines",93,0,8,0,95,0,0,196,501
35101,"St. Catharines/St. Catharines"," 139","St. Catharines",139,0,14,1,109,0,0,263,588
35101,"St. Catharines/St. Catharines"," 140","St. Catharines",102,0,5,0,84,3,1,195,515
35101,"St. Catharines/St. Catharines"," 141A","St. Catharines",134,2,12,0,117,2,0,267,561
35101,"St. Catharines/St. Catharines"," 141B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,31
35101,"St. Catharines/St. Catharines"," 142","St. Catharines",56,2,3,0,39,0,0,100,267
35101,"St. Catharines/St. Catharines"," 143","St. Catharines",55,1,14,1,56,4,3,134,542
35101,"St. Catharines/St. Catharines"," 144","St. Catharines",59,1,17,4,39,3,1,124,600
35101,"St. Catharines/St. Catharines"," 145","St. Catharines",92,0,16,3,56,5,1,173,463
35101,"St. Catharines/St. Catharines"," 146","St. Catharines",131,0,28,2,64,0,2,227,596
35101,"St. Catharines/St. Catharines"," 147","St. Catharines",73,0,22,1,80,2,1,179,582
35101,"St. Catharines/St. Catharines"," 148","St. Catharines",119,0,18,3,102,3,2,247,663
35101,"St. Catharines/St. Catharines"," 149","St. Catharines",91,0,18,1,80,2,2,194,507
35101,"St. Catharines/St. Catharines"," 150","St. Catharines",68,1,16,0,80,0,1,166,525
35101,"St. Catharines/St. Catharines"," 151","St. Catharines",129,1,1,0,91,1,0,223,550
35101,"St. Catharines/St. Catharines"," 152","St. Catharines",105,5,13,2,77,3,7,212,543
35101,"St. Catharines/St. Catharines"," 153","St. Catharines",106,2,3,0,107,0,0,218,530
35101,"St. Catharines/St. Catharines"," 154","St. Catharines",78,1,10,0,64,1,0,154,360
35101,"St. Catharines/St. Catharines"," 155","St. Catharines",126,5,15,1,119,3,0,269,544
35101,"St. Catharines/St. Catharines"," 156","St. Catharines",98,0,31,2,67,2,0,200,527
35101,"St. Catharines/St. Catharines"," 157","St. Catharines",123,0,16,3,60,1,1,204,505
35101,"St. Catharines/St. Catharines"," 158A","St. Catharines",77,0,18,2,69,3,0,169,497
35101,"St. Catharines/St. Catharines"," 158B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,104
35101,"St. Catharines/St. Catharines"," 159","St. Catharines",81,0,18,0,94,3,0,196,480
35101,"St. Catharines/St. Catharines"," 160","St. Catharines",72,0,12,0,124,4,1,213,558
35101,"St. Catharines/St. Catharines"," 161","St. Catharines",67,1,20,0,66,2,1,157,467
35101,"St. Catharines/St. Catharines"," 162","St. Catharines",67,1,18,0,90,1,1,178,506
35101,"St. Catharines/St. Catharines"," 163","St. Catharines",83,1,17,1,85,2,2,191,514
35101,"St. Catharines/St. Catharines"," 164","St. Catharines",67,1,12,5,107,6,1,199,465
35101,"St. Catharines/St. Catharines"," 165","St. Catharines",94,2,13,0,98,2,0,209,510
35101,"St. Catharines/St. Catharines"," 166","St. Catharines",55,2,12,1,99,3,1,173,441
35101,"St. Catharines/St. Catharines"," 167","St. Catharines",90,3,16,3,105,3,1,221,476
35101,"St. Catharines/St. Catharines"," 168","St. Catharines",96,1,27,4,111,5,2,246,601
35101,"St. Catharines/St. Catharines"," 169","St. Catharines",68,2,12,3,99,1,4,189,535
35101,"St. Catharines/St. Catharines"," 170","St. Catharines",75,0,17,1,80,1,0,174,416
35101,"St. Catharines/St. Catharines"," 171","St. Catharines",112,0,16,0,108,2,0,238,458
35101,"St. Catharines/St. Catharines"," 172","St. Catharines",108,8,31,3,98,2,2,252,603
35101,"St. Catharines/St. Catharines"," 173","St. Catharines",108,0,14,1,72,1,1,197,563
35101,"St. Catharines/St. Catharines"," 174","St. Catharines",73,1,22,2,84,3,3,188,564
35101,"St. Catharines/St. Catharines"," 175","St. Catharines",96,4,22,0,96,1,2,221,554
35101,"St. Catharines/St. Catharines"," 176","St. Catharines",86,0,22,0,107,2,0,217,549
35101,"St. Catharines/St. Catharines"," 177","St. Catharines",78,0,11,0,53,2,1,145,466
35101,"St. Catharines/St. Catharines"," 178","St. Catharines",118,2,13,1,66,0,1,201,527
35101,"St. Catharines/St. Catharines"," 179","St. Catharines",155,0,10,0,91,3,1,260,575
35101,"St. Catharines/St. Catharines"," 180","St. Catharines",166,1,4,1,65,1,1,239,603
35101,"St. Catharines/St. Catharines"," 181A","St. Catharines",48,2,7,1,39,0,0,97,384
35101,"St. Catharines/St. Catharines"," 181B","St. Catharines",54,0,8,1,41,2,0,106,382
35101,"St. Catharines/St. Catharines"," 182","St. Catharines",40,0,1,0,26,0,0,67,261
35101,"St. Catharines/St. Catharines"," 183","St. Catharines",104,2,9,1,77,2,0,195,539
35101,"St. Catharines/St. Catharines"," 184A","St. Catharines",48,0,4,0,23,1,0,76,413
35101,"St. Catharines/St. Catharines"," 184B","St. Catharines",44,0,8,0,18,0,2,72,361
