Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chak Au,Martin Li,Wilson Miao,Michael Sisler,David Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 1","Metro Vancouver A",46,4,60,2,0,0,112,302
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 2","Richmond",36,4,72,2,0,0,114,317
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 3","Richmond",63,4,55,0,1,1,124,559
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 4","Richmond",107,3,65,0,0,1,176,385
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 5","Richmond",79,3,58,1,0,0,141,372
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 6","Richmond",204,8,138,2,1,1,354,934
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 7A","Richmond",148,4,69,1,0,1,223,654
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 7B","Richmond",118,6,74,0,1,0,199,606
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 8A","Richmond",120,8,82,1,0,1,212,624
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 8B","Richmond",122,9,62,0,2,3,198,696
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 9","Vancouver",74,3,59,2,0,1,139,514
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 10","Vancouver",56,5,46,2,0,1,110,480
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 11","Vancouver",52,1,53,2,1,0,109,462
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 12","Vancouver",59,2,52,1,1,0,115,525
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 13","Vancouver",39,4,53,2,1,0,99,404
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 14","Vancouver",20,1,33,1,0,0,55,185
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 15","Vancouver",57,12,53,2,3,1,128,388
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 16","Vancouver",51,12,55,1,1,0,120,597
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 17","Vancouver",32,9,51,5,2,1,100,374
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 18","Vancouver",20,17,44,2,2,0,85,406
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 19","Vancouver",15,0,26,0,0,0,41,178
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 20","Vancouver",49,0,32,1,1,2,85,438
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 21","Vancouver",43,4,42,0,0,0,89,440
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 22","Vancouver",38,5,26,0,0,2,71,391
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 23","Vancouver",29,1,22,0,0,0,52,318
59027,"Richmond Centre--Marpole/Richmond-Centre--Marpole"," 24","Vancouver",28,1,25,0,0,1,55,365
