Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nik Boisvert,Jeffrey Evely,Chris Gallant,Mike Kelloway,Kimberly Losier,Anna Manley,Michael Pittman,Joe Ward,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 1","Donkin",0,2,0,39,4,53,1,2,0,101,309
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 2","Cape Breton",0,2,0,89,14,82,0,3,2,192,401
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 3","Cape Breton",1,2,0,46,6,76,1,1,2,135,374
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 4","Cape Breton",1,2,0,51,3,85,0,2,2,146,355
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 5","Cape Breton",0,2,1,98,9,96,0,2,8,216,415
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 6","Cape Breton",0,2,1,36,1,65,1,2,3,111,343
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 7","Cape Breton",1,1,0,48,4,41,0,1,0,96,359
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 8","Cape Breton",0,1,1,69,2,45,0,0,1,119,380
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 9","Cape Breton",0,5,1,87,6,67,2,1,0,169,556
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 10","Cape Breton",0,0,0,41,6,46,1,0,3,97,314
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 11","Cape Breton",0,1,1,72,4,46,2,3,0,129,345
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 12","Cape Breton",0,2,0,73,9,74,2,1,0,161,418
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 13","Cape Breton",0,2,0,77,7,73,0,0,0,159,434
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 14","Cape Breton",0,1,0,61,8,39,0,2,0,111,407
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 15","Cape Breton",0,5,1,41,5,66,1,2,0,121,418
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 16","Cape Breton",0,4,1,74,11,69,0,2,1,162,373
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 17","Cape Breton",0,1,0,48,6,58,0,3,1,117,331
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 18","Cape Breton",0,4,1,34,7,49,2,2,0,99,420
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 19","Cape Breton",0,9,1,57,7,61,1,1,0,137,414
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 20","Cape Breton",0,6,5,74,7,67,1,1,0,161,335
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 21","Cape Breton",0,5,2,56,9,78,1,4,1,156,428
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 22","Cape Breton",0,3,1,53,10,48,1,0,0,116,340
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 23","Cape Breton",2,4,2,50,14,62,0,1,0,135,358
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 24","Cape Breton",0,3,0,47,9,50,1,4,3,117,422
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 25","Cape Breton",0,4,1,61,4,49,0,5,0,124,388
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 26","Cape Breton",0,2,2,28,13,67,0,1,0,113,348
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 27","Cape Breton",1,0,4,73,8,60,0,0,0,146,394
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 28","Cape Breton",0,0,1,59,7,68,0,2,0,137,370
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 29","Cape Breton",0,5,0,31,7,65,0,0,0,108,335
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 30","Cape Breton",1,4,3,83,6,61,0,1,0,159,376
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 31","Port Morien",0,0,0,48,1,38,0,3,1,91,181
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 32","Cape Breton",0,3,0,103,16,95,0,0,0,217,554
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 33","Cape Breton",0,0,0,54,7,57,0,2,1,121,358
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 34","Cape Breton",1,2,0,112,5,78,0,5,5,208,568
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 35","Cape Breton",2,0,0,62,10,65,0,0,0,139,366
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 36","Cape Breton",0,2,0,67,14,65,3,0,0,151,417
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 37","Cape Breton",0,3,0,47,8,48,1,1,0,108,344
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 38","Cape Breton",0,2,0,116,12,86,1,0,2,219,552
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 39","Cape Breton",1,1,0,55,3,57,0,2,1,120,344
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 40","Cape Breton",0,1,1,62,2,55,1,0,0,122,373
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 41","Cape Breton",0,2,2,41,9,53,0,4,1,112,352
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 42","Cape Breton",0,3,0,42,5,58,0,2,2,112,373
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 43","Cape Breton",0,2,0,118,2,86,0,1,0,209,563
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 44","Alder Point",0,2,2,47,6,64,0,1,1,123,331
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 45","Little Bras d'Or South Side",0,3,0,29,1,62,0,0,0,95,274
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 46","Cape Breton",0,5,1,87,6,65,0,1,0,165,531
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 47","Cape Breton",0,2,2,52,7,48,0,2,0,113,427
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 48","Cape Breton",0,1,0,37,1,76,1,1,0,117,358
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 49","Cape Breton",0,1,0,35,6,60,1,1,0,104,378
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 50","Cape Breton",0,2,0,45,1,91,0,3,1,143,492
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 51","Cape Breton",0,4,0,45,7,38,2,2,2,100,370
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 52","Cape Breton",2,4,0,29,2,74,1,2,1,115,436
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 53","Cape Breton",0,3,0,59,3,61,0,2,0,128,348
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 54","Cape Breton",0,2,1,90,5,75,0,6,2,181,437
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 55","Cape Breton",1,3,1,86,8,63,1,1,0,164,332
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 56","Gardiner Mines",0,1,0,57,5,71,1,4,1,140,333
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 57","Cape Breton",0,3,0,72,2,56,0,2,2,137,360
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 58","Cape Breton",0,0,0,89,3,63,0,0,0,155,396
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 59","Cape Breton",0,2,0,54,4,64,0,2,1,127,417
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 60","New Victoria",0,1,2,56,9,42,1,2,2,115,269
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 61","Victoria Mines",0,4,1,58,13,69,1,1,0,147,315
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 62","Cape Breton",1,2,0,39,5,38,1,0,1,87,351
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 63","Cape Breton",0,1,0,50,7,47,0,1,1,107,350
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 64","Cape Breton",0,4,3,46,5,54,0,1,1,114,341
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 65","River Ryan",0,0,0,48,0,40,0,0,0,88,272
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 66","River Ryan",2,2,0,45,4,60,0,1,2,116,369
