Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andre Anderson,Dave Carroll,Braedon Clark,Ryan Slaney,Isaac Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 1","Oakfield",1,86,71,0,7,0,165,430
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 2","Enfield",0,42,36,2,6,0,86,291
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 3","Oakfield",0,30,48,0,2,0,80,302
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 4","Grand Lake Station",0,47,54,0,3,1,105,395
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 5","Wellington",0,41,51,1,4,1,98,327
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 6","Halifax",3,58,103,0,5,0,169,426
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 7","Wellington",2,38,49,1,2,0,92,250
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 8","Fletchers Lake",3,71,86,1,6,2,169,455
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 9","Halifax",3,67,74,1,9,2,156,380
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 10","North Beaver Bank--Shubenacadie 13",1,46,49,0,4,0,100,316
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 11","Beaver Bank",0,60,74,3,7,0,144,419
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 12","Beaver Bank",8,55,52,1,8,0,124,391
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 13","Kinsac",1,58,73,1,7,1,141,400
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 14","Halifax",1,69,102,4,0,0,176,464
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 15","Halifax",0,44,62,0,3,0,109,331
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 16","Halifax",1,62,47,1,5,2,118,306
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 17","Halifax",1,63,54,0,7,3,128,231
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 18","Halifax",1,29,30,2,2,0,64,178
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 19","Halifax",0,52,86,0,2,0,140,420
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 20","Fall River",0,43,70,1,8,0,122,313
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 21","Halifax",2,66,88,0,0,0,156,511
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 22","North Preston",3,8,39,0,9,1,60,319
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 23","North Preston",3,14,59,2,17,2,97,445
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 24","Fall River",0,53,85,0,5,1,144,437
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 25","Halifax",0,58,69,2,7,0,136,441
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 26","Fall River",0,40,55,0,4,0,99,281
