Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adebayo Akinrogunde,Jessica Bailon,Sarah Borbridge,Angela Brydges,Kevin Lamoureux,Rachel Punzalan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg North/Winnipeg-Nord"," 1","Winnipeg",12,0,0,0,87,65,0,164,512
46011,"Winnipeg North/Winnipeg-Nord"," 2","Winnipeg",8,0,0,0,113,71,0,192,471
46011,"Winnipeg North/Winnipeg-Nord"," 3","Winnipeg",10,1,0,1,76,57,3,148,464
46011,"Winnipeg North/Winnipeg-Nord"," 4","Winnipeg",3,0,1,0,69,34,0,107,359
46011,"Winnipeg North/Winnipeg-Nord"," 5","Winnipeg",3,1,0,0,94,60,0,158,480
46011,"Winnipeg North/Winnipeg-Nord"," 6","Winnipeg",9,3,0,3,116,66,0,197,480
46011,"Winnipeg North/Winnipeg-Nord"," 7","Winnipeg",5,1,0,0,92,33,0,131,405
46011,"Winnipeg North/Winnipeg-Nord"," 8","Winnipeg",7,3,0,0,109,65,0,184,478
46011,"Winnipeg North/Winnipeg-Nord"," 9","Winnipeg",3,1,0,0,86,41,0,131,447
46011,"Winnipeg North/Winnipeg-Nord"," 10","Winnipeg",5,0,0,1,75,58,0,139,408
46011,"Winnipeg North/Winnipeg-Nord"," 11","Winnipeg",1,2,0,1,86,53,2,145,409
46011,"Winnipeg North/Winnipeg-Nord"," 12","Winnipeg",4,0,0,0,80,48,0,132,379
46011,"Winnipeg North/Winnipeg-Nord"," 13","Winnipeg",7,0,0,0,47,38,0,92,446
46011,"Winnipeg North/Winnipeg-Nord"," 14","Winnipeg",5,1,0,0,55,31,0,92,342
46011,"Winnipeg North/Winnipeg-Nord"," 15","Winnipeg",3,0,0,0,72,36,4,115,355
46011,"Winnipeg North/Winnipeg-Nord"," 16","Winnipeg",9,2,0,0,117,72,6,206,657
46011,"Winnipeg North/Winnipeg-Nord"," 17","Winnipeg",6,1,1,1,83,48,1,141,464
46011,"Winnipeg North/Winnipeg-Nord"," 18","Winnipeg",7,0,0,0,59,43,0,109,416
46011,"Winnipeg North/Winnipeg-Nord"," 19","Winnipeg",1,0,0,0,86,54,2,143,450
46011,"Winnipeg North/Winnipeg-Nord"," 20","Winnipeg",2,2,1,0,81,77,0,163,444
46011,"Winnipeg North/Winnipeg-Nord"," 21","Winnipeg",7,0,1,0,107,52,2,169,434
46011,"Winnipeg North/Winnipeg-Nord"," 22","Winnipeg",6,0,0,0,82,71,2,161,480
46011,"Winnipeg North/Winnipeg-Nord"," 23","Winnipeg",7,0,1,0,99,47,0,154,409
46011,"Winnipeg North/Winnipeg-Nord"," 24","Winnipeg",4,0,0,1,99,94,4,202,499
46011,"Winnipeg North/Winnipeg-Nord"," 25","Winnipeg",8,2,1,0,78,55,1,145,451
46011,"Winnipeg North/Winnipeg-Nord"," 26","Winnipeg",2,0,0,1,79,44,1,127,398
46011,"Winnipeg North/Winnipeg-Nord"," 27","Winnipeg",3,0,0,2,70,59,0,134,438
46011,"Winnipeg North/Winnipeg-Nord"," 28","Winnipeg",4,0,1,2,60,41,0,108,445
46011,"Winnipeg North/Winnipeg-Nord"," 29","Winnipeg",4,1,0,0,64,40,0,109,337
46011,"Winnipeg North/Winnipeg-Nord"," 30","Winnipeg",2,0,0,0,71,40,0,113,329
46011,"Winnipeg North/Winnipeg-Nord"," 31","Winnipeg",6,1,0,0,88,27,2,124,348
46011,"Winnipeg North/Winnipeg-Nord"," 32","Winnipeg",5,2,0,0,57,38,1,103,332
46011,"Winnipeg North/Winnipeg-Nord"," 33","Winnipeg",2,0,0,0,67,31,0,100,384
46011,"Winnipeg North/Winnipeg-Nord"," 34","Winnipeg",2,3,0,0,71,63,1,140,404
46011,"Winnipeg North/Winnipeg-Nord"," 35","Winnipeg",2,0,0,0,56,57,0,115,391
46011,"Winnipeg North/Winnipeg-Nord"," 36","Winnipeg",6,1,0,0,43,37,1,88,398
46011,"Winnipeg North/Winnipeg-Nord"," 37","Winnipeg",4,3,0,2,63,43,0,115,377
46011,"Winnipeg North/Winnipeg-Nord"," 38","Winnipeg",6,0,0,0,118,46,0,170,507
46011,"Winnipeg North/Winnipeg-Nord"," 39","Winnipeg",7,1,0,1,113,54,6,182,401
46011,"Winnipeg North/Winnipeg-Nord"," 40","Winnipeg",2,1,0,0,80,71,2,156,492
46011,"Winnipeg North/Winnipeg-Nord"," 41","Winnipeg",9,4,0,2,126,79,1,221,539
46011,"Winnipeg North/Winnipeg-Nord"," 42","Winnipeg",15,3,1,2,112,48,3,184,429
46011,"Winnipeg North/Winnipeg-Nord"," 43","Winnipeg",3,0,0,2,85,35,1,126,347
46011,"Winnipeg North/Winnipeg-Nord"," 44","Winnipeg",2,0,0,2,90,54,1,149,372
46011,"Winnipeg North/Winnipeg-Nord"," 45","Winnipeg",10,1,1,1,99,55,0,167,417
46011,"Winnipeg North/Winnipeg-Nord"," 46","Winnipeg",2,0,0,0,66,42,2,112,353
46011,"Winnipeg North/Winnipeg-Nord"," 47","Winnipeg",7,1,1,1,108,61,3,182,480
46011,"Winnipeg North/Winnipeg-Nord"," 48","Winnipeg",8,1,3,0,86,41,0,139,330
46011,"Winnipeg North/Winnipeg-Nord"," 49","Winnipeg",3,0,1,0,102,59,0,165,475
46011,"Winnipeg North/Winnipeg-Nord"," 50","Winnipeg",2,1,0,0,134,66,1,204,514
46011,"Winnipeg North/Winnipeg-Nord"," 51","Winnipeg",5,0,1,0,100,66,5,177,433
46011,"Winnipeg North/Winnipeg-Nord"," 52","Winnipeg",11,1,1,0,78,47,3,141,348
46011,"Winnipeg North/Winnipeg-Nord"," 53","Winnipeg",3,2,1,2,102,53,1,164,428
46011,"Winnipeg North/Winnipeg-Nord"," 54","Winnipeg",9,2,0,0,87,59,3,160,550
46011,"Winnipeg North/Winnipeg-Nord"," 55","Winnipeg",12,2,1,0,84,44,0,143,366
46011,"Winnipeg North/Winnipeg-Nord"," 56","Winnipeg",8,4,0,2,94,56,0,164,377
46011,"Winnipeg North/Winnipeg-Nord"," 57","Winnipeg",10,2,0,1,60,36,0,109,341
46011,"Winnipeg North/Winnipeg-Nord"," 58","Winnipeg",3,0,1,0,62,26,0,92,373
46011,"Winnipeg North/Winnipeg-Nord"," 59","Winnipeg",5,0,0,0,82,47,1,135,389
46011,"Winnipeg North/Winnipeg-Nord"," 60","Winnipeg",19,1,0,0,57,38,0,115,401
46011,"Winnipeg North/Winnipeg-Nord"," 61","Winnipeg",3,0,0,0,72,37,1,113,410
46011,"Winnipeg North/Winnipeg-Nord"," 62","Winnipeg",6,0,1,0,104,60,1,172,563
46011,"Winnipeg North/Winnipeg-Nord"," 63","Winnipeg",7,0,0,0,70,54,0,131,431
46011,"Winnipeg North/Winnipeg-Nord"," 64","Winnipeg",10,6,1,0,92,54,3,166,534
46011,"Winnipeg North/Winnipeg-Nord"," 65","Winnipeg",2,3,2,0,85,36,0,128,429
46011,"Winnipeg North/Winnipeg-Nord"," 66","Winnipeg",3,0,0,1,73,44,1,122,402
46011,"Winnipeg North/Winnipeg-Nord"," 67","Winnipeg",4,3,0,0,47,52,0,106,377
46011,"Winnipeg North/Winnipeg-Nord"," 68","Winnipeg",3,0,1,1,82,52,1,140,366
46011,"Winnipeg North/Winnipeg-Nord"," 69","Winnipeg",11,0,0,1,68,56,1,137,410
46011,"Winnipeg North/Winnipeg-Nord"," 70","Winnipeg",4,1,0,0,102,50,1,158,508
46011,"Winnipeg North/Winnipeg-Nord"," 71","Winnipeg",10,4,0,1,57,39,2,113,418
46011,"Winnipeg North/Winnipeg-Nord"," 72","Winnipeg",6,0,0,0,107,49,1,163,520
46011,"Winnipeg North/Winnipeg-Nord"," 73","Winnipeg",8,2,2,1,100,52,2,167,385
46011,"Winnipeg North/Winnipeg-Nord"," 74","Winnipeg",2,1,0,1,66,34,1,105,375
