Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rebecca Alty,Rainbow Eyes,Kimberly Fairman,Kelvin Kotchilea,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Northwest Territories/Territoires du Nord-Ouest"," 1","Sachs Harbour",13,1,7,1,1,23,66
61001,"Northwest Territories/Territoires du Nord-Ouest"," 1-1","Mould Bay",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 2","Inuvik",36,3,29,3,1,72,273
61001,"Northwest Territories/Territoires du Nord-Ouest"," 3","Inuvik",40,1,19,7,1,68,317
61001,"Northwest Territories/Territoires du Nord-Ouest"," 4","Inuvik",49,0,32,20,1,102,317
61001,"Northwest Territories/Territoires du Nord-Ouest"," 5","Inuvik",48,2,30,7,2,89,386
61001,"Northwest Territories/Territoires du Nord-Ouest"," 6","Inuvik",79,2,51,13,4,149,462
61001,"Northwest Territories/Territoires du Nord-Ouest"," 7","Inuvik",66,2,36,13,0,117,271
61001,"Northwest Territories/Territoires du Nord-Ouest"," 8","Inuvik",61,0,38,13,0,112,299
61001,"Northwest Territories/Territoires du Nord-Ouest"," 9","Aklavik",55,3,15,12,18,103,387
61001,"Northwest Territories/Territoires du Nord-Ouest"," 10","Tuktoyaktuk",58,0,30,12,1,101,572
61001,"Northwest Territories/Territoires du Nord-Ouest"," 11","Fort McPherson",93,4,15,16,1,129,517
61001,"Northwest Territories/Territoires du Nord-Ouest"," 12","Ulukhaktok",42,1,18,10,3,74,230
61001,"Northwest Territories/Territoires du Nord-Ouest"," 13","Paulatuk",38,2,7,1,1,49,186
61001,"Northwest Territories/Territoires du Nord-Ouest"," 14","Cape Parry",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 15","Tsiigehtchic",17,0,5,5,0,27,91
61001,"Northwest Territories/Territoires du Nord-Ouest"," 16","Fort Good Hope",56,3,28,22,2,111,278
61001,"Northwest Territories/Territoires du Nord-Ouest"," 17","Colville Lake",15,1,3,3,0,22,81
61001,"Northwest Territories/Territoires du Nord-Ouest"," 18","Norman Wells",69,3,80,25,0,177,508
61001,"Northwest Territories/Territoires du Nord-Ouest"," 19","Déline",60,1,11,36,0,108,327
61001,"Northwest Territories/Territoires du Nord-Ouest"," 20","Déline",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 21","Tulita",58,2,24,18,0,102,300
61001,"Northwest Territories/Territoires du Nord-Ouest"," 22","Wrigley",14,0,4,8,0,26,88
61001,"Northwest Territories/Territoires du Nord-Ouest"," 23","Gamètì",40,0,14,24,0,78,184
61001,"Northwest Territories/Territoires du Nord-Ouest"," 24","Wekweètì",10,0,1,11,2,24,97
61001,"Northwest Territories/Territoires du Nord-Ouest"," 25","Nahanni Butte",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 26","Nahanni Butte",20,0,2,1,2,25,46
61001,"Northwest Territories/Territoires du Nord-Ouest"," 27","Wha Ti",67,2,26,28,0,123,347
61001,"Northwest Territories/Territoires du Nord-Ouest"," 28","Yellowknife",106,0,88,25,0,219,588
61001,"Northwest Territories/Territoires du Nord-Ouest"," 28-1","Discovery",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 29","Yellowknife",42,0,30,6,3,81,262
61001,"Northwest Territories/Territoires du Nord-Ouest"," 30","Yellowknife",66,1,54,10,3,134,379
61001,"Northwest Territories/Territoires du Nord-Ouest"," 31","Yellowknife",92,0,66,25,1,184,504
