Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nicholas Bonderoff,Viviane Lapointe,Ian Symington,Nadia Verrelli,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"Sudbury/Sudbury"," 1","Greater Sudbury / Grand Sudbury",4,104,145,11,1,265,443
35103,"Sudbury/Sudbury"," 2","Greater Sudbury / Grand Sudbury",2,57,62,4,0,125,241
35103,"Sudbury/Sudbury"," 3","Greater Sudbury / Grand Sudbury",2,120,144,39,3,308,544
35103,"Sudbury/Sudbury"," 4","Greater Sudbury / Grand Sudbury",0,57,117,16,2,192,510
35103,"Sudbury/Sudbury"," 5","Greater Sudbury / Grand Sudbury",4,61,88,19,4,176,534
35103,"Sudbury/Sudbury"," 6","Garson",4,71,80,17,1,173,436
35103,"Sudbury/Sudbury"," 7","Garson",5,86,83,20,0,194,510
35103,"Sudbury/Sudbury"," 8","Garson",1,92,117,16,5,231,566
35103,"Sudbury/Sudbury"," 9","Garson",2,82,78,20,0,182,501
35103,"Sudbury/Sudbury"," 10","Greater Sudbury / Grand Sudbury",3,70,98,12,1,184,510
35103,"Sudbury/Sudbury"," 11","Garson",4,76,80,19,0,179,426
35103,"Sudbury/Sudbury"," 12","Garson",3,60,79,9,6,157,497
35103,"Sudbury/Sudbury"," 13","Garson",2,59,61,17,0,139,398
35103,"Sudbury/Sudbury"," 14","Garson",1,60,75,14,2,152,449
35103,"Sudbury/Sudbury"," 15","Garson",2,98,125,12,2,239,632
35103,"Sudbury/Sudbury"," 16","Greater Sudbury / Grand Sudbury",2,34,73,10,0,119,382
35103,"Sudbury/Sudbury"," 17","Greater Sudbury / Grand Sudbury",0,79,53,16,2,150,436
35103,"Sudbury/Sudbury"," 18","Greater Sudbury / Grand Sudbury",2,110,83,7,1,203,527
35103,"Sudbury/Sudbury"," 19","Greater Sudbury / Grand Sudbury",2,70,37,19,0,128,405
35103,"Sudbury/Sudbury"," 20","Greater Sudbury / Grand Sudbury",1,78,57,8,1,145,398
35103,"Sudbury/Sudbury"," 21","Greater Sudbury / Grand Sudbury",4,68,57,15,3,147,406
35103,"Sudbury/Sudbury"," 22","Greater Sudbury / Grand Sudbury",0,49,36,6,0,91,314
35103,"Sudbury/Sudbury"," 23","Greater Sudbury / Grand Sudbury",1,70,62,8,0,141,390
35103,"Sudbury/Sudbury"," 24","Greater Sudbury / Grand Sudbury",3,69,58,16,1,147,329
35103,"Sudbury/Sudbury"," 25","Greater Sudbury / Grand Sudbury",6,108,80,12,0,206,475
35103,"Sudbury/Sudbury"," 26","Greater Sudbury / Grand Sudbury",2,73,63,3,0,141,360
35103,"Sudbury/Sudbury"," 27","Greater Sudbury / Grand Sudbury",1,83,84,19,1,188,390
35103,"Sudbury/Sudbury"," 28","Greater Sudbury / Grand Sudbury",3,87,67,19,0,176,370
35103,"Sudbury/Sudbury"," 29","Greater Sudbury / Grand Sudbury",3,63,56,15,3,140,354
35103,"Sudbury/Sudbury"," 30","Greater Sudbury / Grand Sudbury",1,99,68,8,1,177,493
35103,"Sudbury/Sudbury"," 31","Greater Sudbury / Grand Sudbury",0,38,29,4,2,73,285
35103,"Sudbury/Sudbury"," 32","Greater Sudbury / Grand Sudbury",2,54,54,7,0,117,350
35103,"Sudbury/Sudbury"," 33","Greater Sudbury / Grand Sudbury",2,34,22,8,1,67,301
35103,"Sudbury/Sudbury"," 34","Greater Sudbury / Grand Sudbury",1,62,45,5,1,114,328
35103,"Sudbury/Sudbury"," 35","Greater Sudbury / Grand Sudbury",0,52,60,7,2,121,327
35103,"Sudbury/Sudbury"," 36","Greater Sudbury / Grand Sudbury",4,49,68,22,1,144,357
35103,"Sudbury/Sudbury"," 37A","Greater Sudbury / Grand Sudbury",2,56,40,15,2,115,318
35103,"Sudbury/Sudbury"," 37B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°47B,,,,,,16
35103,"Sudbury/Sudbury"," 38","Greater Sudbury / Grand Sudbury",2,98,57,24,6,187,398
35103,"Sudbury/Sudbury"," 39","Greater Sudbury / Grand Sudbury",2,79,71,29,1,182,495
35103,"Sudbury/Sudbury"," 40","Greater Sudbury / Grand Sudbury",3,65,60,12,0,140,385
35103,"Sudbury/Sudbury"," 41","Greater Sudbury / Grand Sudbury",4,125,80,16,0,225,595
35103,"Sudbury/Sudbury"," 42","Greater Sudbury / Grand Sudbury",3,53,48,12,0,116,388
35103,"Sudbury/Sudbury"," 43","Greater Sudbury / Grand Sudbury",2,69,37,10,0,118,335
35103,"Sudbury/Sudbury"," 44","Greater Sudbury / Grand Sudbury",1,96,76,13,0,186,354
35103,"Sudbury/Sudbury"," 45","Greater Sudbury / Grand Sudbury",0,74,51,11,1,137,337
35103,"Sudbury/Sudbury"," 46","Greater Sudbury / Grand Sudbury",1,95,53,17,3,169,378
35103,"Sudbury/Sudbury"," 47A","Greater Sudbury / Grand Sudbury",2,79,53,14,0,148,510
35103,"Sudbury/Sudbury"," 47B","Mobile poll/Bureau itinérant",2,52,19,12,3,88,80
35103,"Sudbury/Sudbury"," 48","Greater Sudbury / Grand Sudbury",3,104,88,15,1,211,576
35103,"Sudbury/Sudbury"," 49","Greater Sudbury / Grand Sudbury",1,73,88,11,0,173,562
35103,"Sudbury/Sudbury"," 50","Greater Sudbury / Grand Sudbury",0,87,54,8,0,149,399
35103,"Sudbury/Sudbury"," 51","Greater Sudbury / Grand Sudbury",5,75,56,8,0,144,328
35103,"Sudbury/Sudbury"," 52","Greater Sudbury / Grand Sudbury",1,54,27,11,1,94,327
35103,"Sudbury/Sudbury"," 53","Greater Sudbury / Grand Sudbury",4,87,67,15,0,173,595
35103,"Sudbury/Sudbury"," 54","Greater Sudbury / Grand Sudbury",4,56,72,15,0,147,334
35103,"Sudbury/Sudbury"," 55","Greater Sudbury / Grand Sudbury",3,84,65,17,0,169,356
35103,"Sudbury/Sudbury"," 56","Greater Sudbury / Grand Sudbury",2,115,52,17,1,187,405
35103,"Sudbury/Sudbury"," 57","Greater Sudbury / Grand Sudbury",0,94,83,11,3,191,443
35103,"Sudbury/Sudbury"," 58","Greater Sudbury / Grand Sudbury",2,55,61,14,0,132,326
35103,"Sudbury/Sudbury"," 59","Greater Sudbury / Grand Sudbury",1,115,91,16,0,223,425
35103,"Sudbury/Sudbury"," 60","Greater Sudbury / Grand Sudbury",1,106,77,14,0,198,487
35103,"Sudbury/Sudbury"," 61","Greater Sudbury / Grand Sudbury",1,38,19,1,0,59,277
35103,"Sudbury/Sudbury"," 62","Greater Sudbury / Grand Sudbury",4,86,81,27,0,198,444
35103,"Sudbury/Sudbury"," 63","Greater Sudbury / Grand Sudbury",3,126,83,11,4,227,410
35103,"Sudbury/Sudbury"," 64","Greater Sudbury / Grand Sudbury",4,67,62,29,1,163,411
35103,"Sudbury/Sudbury"," 65","Greater Sudbury / Grand Sudbury",2,46,49,6,0,103,284
35103,"Sudbury/Sudbury"," 66","Greater Sudbury / Grand Sudbury",0,64,50,7,1,122,413
35103,"Sudbury/Sudbury"," 67","Greater Sudbury / Grand Sudbury",3,59,32,13,4,111,362
35103,"Sudbury/Sudbury"," 68","Greater Sudbury / Grand Sudbury",3,43,61,19,3,129,386
35103,"Sudbury/Sudbury"," 69","Greater Sudbury / Grand Sudbury",4,54,92,7,1,158,477
35103,"Sudbury/Sudbury"," 70","Greater Sudbury / Grand Sudbury",2,47,92,15,0,156,471
35103,"Sudbury/Sudbury"," 71","Greater Sudbury / Grand Sudbury",4,67,93,13,1,178,514
35103,"Sudbury/Sudbury"," 72","Greater Sudbury / Grand Sudbury",6,39,73,18,1,137,430
35103,"Sudbury/Sudbury"," 73","Greater Sudbury / Grand Sudbury",3,86,78,17,0,184,399
35103,"Sudbury/Sudbury"," 74","Greater Sudbury / Grand Sudbury",6,105,76,34,0,221,529
35103,"Sudbury/Sudbury"," 75","Greater Sudbury / Grand Sudbury",8,149,116,27,2,302,543
35103,"Sudbury/Sudbury"," 76","Coniston",5,98,85,18,4,210,428
35103,"Sudbury/Sudbury"," 77","Coniston",9,90,104,29,2,234,529
35103,"Sudbury/Sudbury"," 78","Greater Sudbury / Grand Sudbury",2,82,94,14,3,195,408
35103,"Sudbury/Sudbury"," 79","Greater Sudbury / Grand Sudbury",5,43,56,8,1,113,347
35103,"Sudbury/Sudbury"," 80","Greater Sudbury / Grand Sudbury",0,67,71,22,0,160,378
35103,"Sudbury/Sudbury"," 81","Greater Sudbury / Grand Sudbury",1,61,49,18,0,129,383
35103,"Sudbury/Sudbury"," 82","Greater Sudbury / Grand Sudbury",6,57,57,13,0,133,322
35103,"Sudbury/Sudbury"," 83","Greater Sudbury / Grand Sudbury",4,38,65,14,0,121,363
