Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sukh Dhaliwal,Harjit Singh Gill,Raj Singh Toor,Salman Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Surrey Newton/Surrey Newton"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,40
59034,"Surrey Newton/Surrey Newton"," 600","Surrey",621,603,52,2,9,1287,
59034,"Surrey Newton/Surrey Newton"," 601","Surrey",900,771,75,7,16,1769,
59034,"Surrey Newton/Surrey Newton"," 602","Surrey",845,676,135,8,11,1675,
59034,"Surrey Newton/Surrey Newton"," 603","Surrey",627,548,75,7,7,1264,
59034,"Surrey Newton/Surrey Newton"," 604","Surrey",734,685,66,7,23,1515,
59034,"Surrey Newton/Surrey Newton"," 605","Surrey",564,403,54,6,5,1032,
59034,"Surrey Newton/Surrey Newton"," 606","Surrey",893,772,103,7,8,1783,
59034,"Surrey Newton/Surrey Newton"," 607","Surrey",834,812,87,3,9,1745,
59034,"Surrey Newton/Surrey Newton"," 608","Surrey",769,654,106,4,13,1546,
59034,"Surrey Newton/Surrey Newton"," 609","Surrey",794,696,105,1,14,1610,
59034,"Surrey Newton/Surrey Newton"," 610","Surrey",860,760,77,6,10,1713,
59034,"Surrey Newton/Surrey Newton"," 611","Surrey",910,886,100,8,9,1913,
59034,"Surrey Newton/Surrey Newton",,Group 1/Groupe 1, 267,176,43,8,28,522,138
59034,"Surrey Newton/Surrey Newton",,Group 2/Groupe 2, 776,539,57,11,44,1427,
