Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Maya Bozorgzad,Kevin Dupuis,Tim Louis,Doug Treleaven,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 1","Floradale",6,4,28,95,0,133,390
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 2","Woolwich",2,1,61,84,0,148,398
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 3","Woolwich",1,0,28,67,0,96,321
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 4","Woolwich",2,4,59,75,0,140,439
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 5","Woolwich",2,3,30,61,1,97,363
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 6","Woolwich",7,6,68,84,2,167,445
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 7","Woolwich",3,3,74,94,0,174,441
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 8","Woolwich",7,6,83,105,0,201,537
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 9","Woolwich",2,2,65,123,3,195,486
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 10","Woolwich",9,5,94,140,2,250,520
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 11","West Montrose",0,2,55,72,0,129,343
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 12","Woolwich",6,8,77,80,0,171,443
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 13","Woolwich",11,1,72,104,0,188,492
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 14","Woolwich",7,1,84,110,0,202,486
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 15","Woolwich",1,0,26,54,0,81,343
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 16","Woolwich",11,6,81,113,0,211,478
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 17A","Woolwich",13,4,106,157,1,281,539
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 17B","Woolwich",Combined with No./Résultats combinés à ceux du n°22,,,,,,122
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 18","Woolwich",4,3,44,107,0,158,382
