Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erica Charlton,Kate Crothers,Chris Malette,Ryan Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Bay of Quinte"," 1","Belleville",0,9,59,92,0,160,565
35006,"Bay of Quinte/Bay of Quinte"," 2","Belleville",2,9,70,68,1,150,558
35006,"Bay of Quinte/Bay of Quinte"," 3","Belleville",2,10,55,68,0,135,523
35006,"Bay of Quinte/Bay of Quinte"," 4","Quinte West",6,8,56,115,1,186,449
35006,"Bay of Quinte/Bay of Quinte"," 5","Quinte West",2,7,62,109,1,181,536
35006,"Bay of Quinte/Bay of Quinte"," 6","Quinte West",7,9,69,132,1,218,496
35006,"Bay of Quinte/Bay of Quinte"," 7","Belleville",1,1,112,86,0,200,472
35006,"Bay of Quinte/Bay of Quinte"," 8","Belleville",3,9,76,99,2,189,425
35006,"Bay of Quinte/Bay of Quinte"," 9","Belleville",0,6,60,57,0,123,440
35006,"Bay of Quinte/Bay of Quinte"," 10","Belleville",5,5,130,100,1,241,555
35006,"Bay of Quinte/Bay of Quinte"," 11","Belleville",6,14,119,92,2,233,538
35006,"Bay of Quinte/Bay of Quinte"," 12","Belleville",0,9,77,52,0,138,367
35006,"Bay of Quinte/Bay of Quinte"," 13","Belleville",6,6,116,76,1,205,404
35006,"Bay of Quinte/Bay of Quinte"," 14","Belleville",9,13,143,104,0,269,544
35006,"Bay of Quinte/Bay of Quinte"," 15","Belleville",0,5,97,74,0,176,348
35006,"Bay of Quinte/Bay of Quinte"," 16","Belleville",5,17,95,91,2,210,569
35006,"Bay of Quinte/Bay of Quinte"," 17","Belleville",4,8,80,86,0,178,459
35006,"Bay of Quinte/Bay of Quinte"," 18","Belleville",1,12,56,111,0,180,482
35006,"Bay of Quinte/Bay of Quinte"," 19","Belleville",8,12,50,76,0,146,434
35006,"Bay of Quinte/Bay of Quinte"," 20","Belleville",4,11,97,65,0,177,559
35006,"Bay of Quinte/Bay of Quinte"," 21","Belleville",4,4,62,52,0,122,496
35006,"Bay of Quinte/Bay of Quinte"," 22","Belleville",7,8,64,67,0,146,622
35006,"Bay of Quinte/Bay of Quinte"," 23","Belleville",1,9,85,84,0,179,454
35006,"Bay of Quinte/Bay of Quinte"," 24","Belleville",1,7,83,57,1,149,412
35006,"Bay of Quinte/Bay of Quinte"," 25","Belleville",7,15,153,74,1,250,579
35006,"Bay of Quinte/Bay of Quinte"," 26","Belleville",1,3,100,61,1,166,413
35006,"Bay of Quinte/Bay of Quinte"," 27","Quinte West",1,1,65,121,0,188,475
35006,"Bay of Quinte/Bay of Quinte"," 28","Quinte West",3,6,67,135,0,211,471
35006,"Bay of Quinte/Bay of Quinte"," 29","Belleville",4,7,79,80,0,170,426
35006,"Bay of Quinte/Bay of Quinte"," 30","Belleville",4,12,117,103,1,237,544
35006,"Bay of Quinte/Bay of Quinte"," 31","Belleville",1,4,76,84,0,165,377
35006,"Bay of Quinte/Bay of Quinte"," 32","Belleville",1,2,99,74,3,179,406
35006,"Bay of Quinte/Bay of Quinte"," 33","Belleville",3,17,89,97,1,207,506
35006,"Bay of Quinte/Bay of Quinte"," 34","Belleville",1,6,155,99,0,261,514
35006,"Bay of Quinte/Bay of Quinte"," 35","Belleville",5,11,52,83,0,151,358
35006,"Bay of Quinte/Bay of Quinte"," 36","Belleville",1,4,114,86,1,206,447
35006,"Bay of Quinte/Bay of Quinte"," 37","Belleville",5,10,122,82,3,222,525
35006,"Bay of Quinte/Bay of Quinte"," 38","Belleville",4,2,107,72,1,186,404
35006,"Bay of Quinte/Bay of Quinte"," 39","Belleville",3,11,80,82,0,176,608
35006,"Bay of Quinte/Bay of Quinte"," 40","Belleville",0,7,115,87,1,210,467
35006,"Bay of Quinte/Bay of Quinte"," 41","Belleville",2,6,107,73,4,192,471
35006,"Bay of Quinte/Bay of Quinte"," 42","Belleville",5,8,121,96,2,232,567
35006,"Bay of Quinte/Bay of Quinte"," 43","Belleville",5,9,88,135,2,239,504
35006,"Bay of Quinte/Bay of Quinte"," 44","Belleville",5,11,79,96,1,192,561
35006,"Bay of Quinte/Bay of Quinte"," 45","Belleville",4,11,104,82,0,201,573
35006,"Bay of Quinte/Bay of Quinte"," 46","Belleville",3,9,124,61,2,199,527
35006,"Bay of Quinte/Bay of Quinte"," 47","Belleville",4,4,110,79,0,197,480
35006,"Bay of Quinte/Bay of Quinte"," 48","Belleville",1,10,107,73,0,191,519
35006,"Bay of Quinte/Bay of Quinte"," 49","Belleville",1,15,107,73,0,196,516
35006,"Bay of Quinte/Bay of Quinte"," 50","Belleville",3,9,166,82,0,260,483
35006,"Bay of Quinte/Bay of Quinte"," 51","Belleville",4,7,100,79,0,190,554
35006,"Bay of Quinte/Bay of Quinte"," 52","Belleville",0,7,90,52,0,149,355
35006,"Bay of Quinte/Bay of Quinte"," 53","Belleville",1,15,79,73,1,169,470
35006,"Bay of Quinte/Bay of Quinte"," 54","Quinte West",0,7,44,94,0,145,460
35006,"Bay of Quinte/Bay of Quinte"," 55","Quinte West",1,5,42,107,1,156,415
35006,"Bay of Quinte/Bay of Quinte"," 56","Quinte West",2,4,36,74,0,116,326
35006,"Bay of Quinte/Bay of Quinte"," 57","Belleville",3,19,78,109,1,210,533
35006,"Bay of Quinte/Bay of Quinte"," 58","Belleville",4,12,74,80,1,171,508
35006,"Bay of Quinte/Bay of Quinte"," 59","Belleville",2,14,75,74,1,166,472
35006,"Bay of Quinte/Bay of Quinte"," 60","Belleville",2,9,80,79,0,170,494
35006,"Bay of Quinte/Bay of Quinte"," 61","Belleville",3,20,69,101,0,193,542
35006,"Bay of Quinte/Bay of Quinte"," 62","Belleville",3,5,53,101,2,164,495
35006,"Bay of Quinte/Bay of Quinte"," 63","Belleville",13,15,94,86,0,208,521
35006,"Bay of Quinte/Bay of Quinte"," 64","Belleville",7,13,77,77,0,174,432
35006,"Bay of Quinte/Bay of Quinte"," 65","Belleville",5,16,77,100,0,198,506
35006,"Bay of Quinte/Bay of Quinte"," 66","Quinte West",5,12,48,92,1,158,455
35006,"Bay of Quinte/Bay of Quinte"," 67","Quinte West",4,12,62,113,1,192,468
35006,"Bay of Quinte/Bay of Quinte"," 68","Belleville",4,7,128,91,1,231,534
35006,"Bay of Quinte/Bay of Quinte"," 69","Belleville",2,6,35,47,0,90,410
35006,"Bay of Quinte/Bay of Quinte"," 70","Belleville",4,9,103,85,1,202,594
35006,"Bay of Quinte/Bay of Quinte"," 71","Belleville",4,14,100,70,1,189,559
35006,"Bay of Quinte/Bay of Quinte"," 72","Belleville",4,9,77,47,1,138,395
35006,"Bay of Quinte/Bay of Quinte"," 73","Belleville",6,8,61,74,0,149,418
35006,"Bay of Quinte/Bay of Quinte"," 74","Belleville",10,14,60,87,0,171,444
35006,"Bay of Quinte/Bay of Quinte"," 75","Quinte West",4,13,60,99,2,178,411
35006,"Bay of Quinte/Bay of Quinte"," 76","Belleville",0,4,120,68,1,193,491
35006,"Bay of Quinte/Bay of Quinte"," 77","Belleville",0,8,89,74,0,171,514
35006,"Bay of Quinte/Bay of Quinte"," 78","Belleville",1,3,84,87,0,175,510
35006,"Bay of Quinte/Bay of Quinte"," 79","Belleville",4,6,103,106,0,219,603
35006,"Bay of Quinte/Bay of Quinte"," 80","Belleville",1,10,66,88,0,165,458
35006,"Bay of Quinte/Bay of Quinte"," 81","Belleville",7,4,81,65,0,157,492
35006,"Bay of Quinte/Bay of Quinte"," 82","Belleville",3,7,84,87,0,181,436
35006,"Bay of Quinte/Bay of Quinte"," 83","Prince Edward County",6,12,128,92,0,238,373
35006,"Bay of Quinte/Bay of Quinte"," 84","Prince Edward County",0,5,97,84,0,186,480
35006,"Bay of Quinte/Bay of Quinte"," 85","Prince Edward County",0,7,126,131,0,264,447
35006,"Bay of Quinte/Bay of Quinte"," 86","Prince Edward County",3,6,71,139,0,219,364
35006,"Bay of Quinte/Bay of Quinte"," 87","Prince Edward County",0,6,78,102,2,188,434
35006,"Bay of Quinte/Bay of Quinte"," 88","Prince Edward County",0,5,98,82,0,185,438
35006,"Bay of Quinte/Bay of Quinte"," 89","Prince Edward County",4,2,71,113,3,193,413
35006,"Bay of Quinte/Bay of Quinte"," 90","Prince Edward County",1,8,71,115,0,195,419
35006,"Bay of Quinte/Bay of Quinte"," 91","Prince Edward County",1,4,100,75,0,180,459
35006,"Bay of Quinte/Bay of Quinte"," 92","Quinte West",1,9,95,115,1,221,460
35006,"Bay of Quinte/Bay of Quinte"," 93","Quinte West",3,7,74,85,0,169,433
35006,"Bay of Quinte/Bay of Quinte"," 94","Quinte West",3,4,53,77,4,141,412
35006,"Bay of Quinte/Bay of Quinte"," 95","Quinte West",7,8,58,83,2,158,451
35006,"Bay of Quinte/Bay of Quinte"," 96","Quinte West",0,7,74,70,0,151,382
35006,"Bay of Quinte/Bay of Quinte"," 97","Quinte West",3,3,55,88,0,149,457
35006,"Bay of Quinte/Bay of Quinte"," 98","Quinte West",2,2,55,77,0,136,545
35006,"Bay of Quinte/Bay of Quinte"," 99","Prince Edward County",0,5,144,73,1,223,470
35006,"Bay of Quinte/Bay of Quinte"," 100","Prince Edward County",1,7,159,84,0,251,469
35006,"Bay of Quinte/Bay of Quinte"," 101","Quinte West",1,5,47,81,0,134,358
35006,"Bay of Quinte/Bay of Quinte"," 102","Quinte West",3,3,44,60,0,110,304
35006,"Bay of Quinte/Bay of Quinte"," 103","Quinte West",1,3,52,58,0,114,519
35006,"Bay of Quinte/Bay of Quinte"," 104","Quinte West",0,5,36,81,0,122,508
35006,"Bay of Quinte/Bay of Quinte"," 105","Quinte West",1,6,28,47,1,83,386
35006,"Bay of Quinte/Bay of Quinte"," 106","Quinte West",3,2,65,188,2,260,429
35006,"Bay of Quinte/Bay of Quinte"," 107","Quinte West",5,10,75,163,0,253,459
35006,"Bay of Quinte/Bay of Quinte"," 108","Quinte West",4,7,69,159,1,240,460
35006,"Bay of Quinte/Bay of Quinte"," 109","Quinte West",3,8,80,159,0,250,464
35006,"Bay of Quinte/Bay of Quinte"," 110","Quinte West",5,3,62,102,0,172,395
35006,"Bay of Quinte/Bay of Quinte"," 111","Quinte West",4,20,91,138,0,253,561
35006,"Bay of Quinte/Bay of Quinte"," 112","Quinte West",5,3,81,90,1,180,520
35006,"Bay of Quinte/Bay of Quinte"," 113","Quinte West",3,20,73,116,0,212,538
35006,"Bay of Quinte/Bay of Quinte"," 114","Quinte West",4,13,55,92,1,165,468
35006,"Bay of Quinte/Bay of Quinte"," 115","Quinte West",2,14,59,127,1,203,521
35006,"Bay of Quinte/Bay of Quinte"," 116","Quinte West",3,8,32,87,0,130,455
35006,"Bay of Quinte/Bay of Quinte"," 117","Quinte West",2,8,58,77,3,148,463
35006,"Bay of Quinte/Bay of Quinte"," 118","Quinte West",4,6,47,69,0,126,410
35006,"Bay of Quinte/Bay of Quinte"," 119","Quinte West",2,7,45,91,1,146,448
35006,"Bay of Quinte/Bay of Quinte"," 120","Quinte West",4,8,78,157,1,248,565
35006,"Bay of Quinte/Bay of Quinte"," 121","Quinte West",0,6,32,76,0,114,425
35006,"Bay of Quinte/Bay of Quinte"," 122","Quinte West",2,11,37,92,1,143,413
35006,"Bay of Quinte/Bay of Quinte"," 123","Quinte West",1,7,56,91,0,155,479
35006,"Bay of Quinte/Bay of Quinte"," 124","Quinte West",6,10,61,101,3,181,462
35006,"Bay of Quinte/Bay of Quinte"," 125","Quinte West",2,10,42,75,3,132,494
35006,"Bay of Quinte/Bay of Quinte"," 126","Quinte West",4,8,61,110,2,185,561
35006,"Bay of Quinte/Bay of Quinte"," 127","Quinte West",3,9,39,79,2,132,418
35006,"Bay of Quinte/Bay of Quinte"," 128","Quinte West",1,14,54,83,0,152,507
35006,"Bay of Quinte/Bay of Quinte"," 129","Quinte West",1,15,78,120,1,215,623
35006,"Bay of Quinte/Bay of Quinte"," 130","Quinte West",4,8,86,121,0,219,587
35006,"Bay of Quinte/Bay of Quinte"," 131","Quinte West",2,11,65,105,1,184,483
35006,"Bay of Quinte/Bay of Quinte"," 132","Quinte West",6,13,65,79,0,163,529
35006,"Bay of Quinte/Bay of Quinte"," 133","Prince Edward County",2,6,98,95,1,202,434
35006,"Bay of Quinte/Bay of Quinte"," 134","Prince Edward County",1,1,91,121,0,214,432
35006,"Bay of Quinte/Bay of Quinte"," 135","Quinte West",2,10,79,117,6,214,489
35006,"Bay of Quinte/Bay of Quinte"," 136","Quinte West",2,5,88,93,2,190,487
35006,"Bay of Quinte/Bay of Quinte"," 137","Quinte West",1,6,85,127,0,219,536
35006,"Bay of Quinte/Bay of Quinte"," 138","Quinte West",2,8,86,104,0,200,482
35006,"Bay of Quinte/Bay of Quinte"," 139","Quinte West",2,16,80,77,1,176,511
35006,"Bay of Quinte/Bay of Quinte"," 140","Quinte West",10,6,139,114,0,269,550
35006,"Bay of Quinte/Bay of Quinte"," 141","Quinte West",1,3,129,137,4,274,578
35006,"Bay of Quinte/Bay of Quinte"," 142","Quinte West",0,11,93,80,0,184,542
35006,"Bay of Quinte/Bay of Quinte"," 143","Quinte West",3,8,90,112,0,213,525
35006,"Bay of Quinte/Bay of Quinte"," 144","Prince Edward County",5,8,68,56,1,138,425
35006,"Bay of Quinte/Bay of Quinte"," 145","Prince Edward County",1,2,113,43,1,160,564
35006,"Bay of Quinte/Bay of Quinte"," 146","Prince Edward County",3,20,136,58,2,219,552
35006,"Bay of Quinte/Bay of Quinte"," 147","Prince Edward County",3,7,157,105,0,272,739
35006,"Bay of Quinte/Bay of Quinte"," 148","Quinte West",3,8,83,96,0,190,553
35006,"Bay of Quinte/Bay of Quinte"," 149","Quinte West",4,12,77,94,0,187,545
35006,"Bay of Quinte/Bay of Quinte"," 150","Prince Edward County",2,4,52,92,0,150,427
35006,"Bay of Quinte/Bay of Quinte"," 151","Prince Edward County",4,3,69,95,1,172,472
35006,"Bay of Quinte/Bay of Quinte"," 152","Prince Edward County",2,10,65,86,0,163,462
35006,"Bay of Quinte/Bay of Quinte"," 153","Prince Edward County",0,1,78,53,0,132,441
35006,"Bay of Quinte/Bay of Quinte"," 154","Prince Edward County",3,7,118,68,2,198,599
35006,"Bay of Quinte/Bay of Quinte"," 155","Prince Edward County",5,4,75,49,2,135,458
35006,"Bay of Quinte/Bay of Quinte"," 156","Prince Edward County",1,20,50,55,0,126,426
35006,"Bay of Quinte/Bay of Quinte"," 157","Prince Edward County",5,7,111,82,2,207,589
35006,"Bay of Quinte/Bay of Quinte"," 158","Prince Edward County",3,5,86,64,1,159,504
35006,"Bay of Quinte/Bay of Quinte"," 159","Prince Edward County",5,6,100,106,0,217,468
35006,"Bay of Quinte/Bay of Quinte"," 160","Prince Edward County",4,8,130,37,0,179,503
35006,"Bay of Quinte/Bay of Quinte"," 161","Prince Edward County",4,12,81,59,0,156,456
35006,"Bay of Quinte/Bay of Quinte"," 162","Quinte West",2,4,71,83,1,161,489
35006,"Bay of Quinte/Bay of Quinte"," 163","Quinte West",2,12,123,124,3,264,619
35006,"Bay of Quinte/Bay of Quinte"," 164","Quinte West",4,2,70,58,0,134,429
35006,"Bay of Quinte/Bay of Quinte"," 165","Quinte West",1,9,95,137,1,243,591
35006,"Bay of Quinte/Bay of Quinte"," 166","Quinte West",4,8,88,110,2,212,593
35006,"Bay of Quinte/Bay of Quinte"," 167","Quinte West",1,5,58,128,0,192,441
35006,"Bay of Quinte/Bay of Quinte"," 168","Quinte West",4,3,52,119,1,179,453
35006,"Bay of Quinte/Bay of Quinte"," 169","Quinte West",5,5,47,118,0,175,453
35006,"Bay of Quinte/Bay of Quinte"," 170","Prince Edward County",7,9,137,105,1,259,469
35006,"Bay of Quinte/Bay of Quinte"," 171","Prince Edward County",4,8,128,84,0,224,457
35006,"Bay of Quinte/Bay of Quinte"," 172","Prince Edward County",2,7,110,107,0,226,517
