Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Aldag,Sepehr Haghighat,Holly Isaac,Alex Joehl,Debora Soutar,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 1","Surrey",44,0,4,3,1,73,0,125,435
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 2","Surrey",80,0,12,3,1,91,0,187,383
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 3","Surrey",44,0,2,1,0,61,1,109,426
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 4","Surrey",47,0,11,0,0,60,1,119,416
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 5","Surrey",57,1,4,1,1,61,0,125,542
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 6","Surrey",45,0,3,0,1,51,1,101,444
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 7","Surrey",66,1,9,2,3,94,2,177,485
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 8","Surrey",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,279
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 9","Surrey",63,5,8,0,0,57,0,133,408
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 10","Surrey",66,2,4,2,0,55,1,130,536
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 11","Surrey",32,0,2,0,0,73,0,107,463
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 12","Surrey",39,0,0,1,0,69,0,109,480
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 13","Surrey",41,1,5,1,4,57,2,111,404
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 14","Surrey",45,0,4,2,0,75,0,126,644
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 15","Surrey",32,0,4,1,1,59,0,97,432
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 16","Surrey",50,5,2,1,1,58,0,117,516
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 17","Surrey",35,0,4,0,0,85,1,125,510
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 18","Surrey",Combined with No./Résultats combinés à ceux du n°19,,,,,,,,378
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 19","Surrey",92,0,5,0,0,84,0,181,401
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 20","Surrey",48,0,2,0,1,49,0,100,422
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 21","Surrey",43,0,5,3,1,56,1,109,536
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 22","Surrey",54,0,1,4,0,78,1,138,471
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 23","Surrey",Combined with No./Résultats combinés à ceux du n°24,,,,,,,,397
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 24","Surrey",71,1,9,2,3,135,1,222,450
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 25","Surrey",58,2,7,2,0,94,0,163,420
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 26","Surrey",68,0,8,0,1,137,0,214,722
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 27","Surrey",56,0,8,2,2,110,1,179,564
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 28","Surrey",42,1,9,0,5,91,0,148,555
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 29","Surrey",65,1,11,2,3,101,1,184,590
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 30","Surrey",72,0,7,1,1,118,2,201,593
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 30-1","Katzie 2--Barnston Island 3",Combined with No./Résultats combinés à ceux du n°41,,,,,,,,9
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 31","Langley",53,0,7,2,1,51,0,114,464
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 32","Langley",56,2,8,1,1,91,1,160,385
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 33","Langley",78,2,10,0,6,75,0,171,426
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 34","Langley",50,1,6,1,1,51,0,110,398
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 35","Langley",93,0,9,0,1,94,1,198,582
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 36","Langley",79,0,4,3,1,92,0,179,455
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 37","Langley",88,0,5,2,0,79,0,174,469
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 38","Langley",69,1,5,2,1,76,0,154,466
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 39","Langley",88,0,6,0,5,101,2,202,501
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 40","Langley",92,2,11,0,0,122,0,227,575
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 41","Langley",63,0,6,0,0,64,0,133,434
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 42","Langley",80,0,8,1,2,93,0,184,609
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 43","Langley",59,0,9,1,1,116,0,186,472
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 44","Langley",28,0,5,1,1,61,1,97,432
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 45","Langley",79,1,4,0,0,101,3,188,434
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 46","Langley",52,0,5,0,2,74,0,133,395
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 47","Langley",55,1,5,1,0,60,2,124,451
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 48","Langley",57,1,7,1,4,80,1,151,558
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 49","Langley",73,1,7,0,0,87,1,169,514
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 50","Langley",44,0,9,3,2,75,0,133,435
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 51","Langley",56,0,10,0,2,75,1,144,460
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 52","Langley",61,0,10,0,1,47,0,119,477
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 53","Langley",64,2,7,1,1,72,0,147,583
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 54","Langley",66,0,8,2,4,76,0,156,460
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 55","Langley",71,0,18,1,3,85,0,178,448
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 56","Langley",Combined with No./Résultats combinés à ceux du n°55,,,,,,,,326
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 57A","Langley",61,0,3,0,1,99,1,165,547
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 57B","Langley",49,1,8,1,1,113,0,173,632
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 58","Langley",83,4,5,3,2,118,1,216,488
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 59","Langley",59,1,11,1,1,90,0,163,401
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 60","Langley",49,1,7,1,0,96,0,154,452
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 61","Langley",67,3,8,0,2,73,0,153,444
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 62","Langley",75,1,15,0,2,66,1,160,468
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 63","Langley",76,3,9,1,0,104,0,193,512
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 64","Langley",81,1,7,0,3,84,1,177,488
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 65","Langley",51,1,5,0,1,84,0,142,516
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 66A","Langley",67,2,7,0,2,94,4,176,643
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 66B","Langley",48,0,11,0,0,80,0,139,555
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 66C","Langley",66,1,5,1,2,110,2,187,638
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 67","Langley",59,0,6,0,0,94,0,159,618
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 68A","Langley",56,0,3,1,2,75,0,137,527
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 68B","Langley",76,2,13,1,0,114,0,206,620
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 69","Langley",62,0,6,4,0,110,1,183,698
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 70","Langley",62,1,3,1,1,71,1,140,432
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 71A","Langley",78,1,2,0,0,120,1,202,739
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 71B","Langley",99,1,10,1,3,134,0,248,860
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 72","Langley",43,1,4,0,1,57,1,107,594
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 73","Langley",Combined with No./Résultats combinés à ceux du n°70,,,,,,,,145
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 74","Langley",56,1,10,1,1,95,0,164,571
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 75","Langley",42,0,4,1,0,63,0,110,566
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 76","Langley",86,4,9,0,2,149,0,250,611
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 77","Langley",96,0,5,1,0,103,1,206,429
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 78","Langley",82,0,5,0,2,73,1,163,406
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 79","Langley",86,0,5,1,4,67,0,163,375
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 80","Langley",116,0,12,4,0,132,2,266,589
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 81","Langley",126,1,7,1,8,119,0,262,559
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 82","Langley",74,1,8,2,1,100,0,186,531
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 83","Langley",137,6,11,1,4,99,0,258,455
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 84","Langley",Combined with No./Résultats combinés à ceux du n°83,,,,,,,,355
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 85","Langley",79,1,10,0,5,92,0,187,472
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 86","Langley",Combined with No./Résultats combinés à ceux du n°87,,,,,,,,374
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 87","Langley",141,0,13,2,2,135,0,293,355
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 88","Langley",88,1,10,0,2,112,0,213,592
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 89","Langley",117,1,13,2,3,163,7,306,929
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 90","Langley",77,0,9,4,3,77,0,170,562
