Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marwan El Attar,Panagiota Koroneos,Patricia Lattanzio,Laurie Lelacheur,Caroline Mailloux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 1","Montréal",11,43,97,13,4,3,171,503
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 2","Montréal",15,46,108,8,2,1,180,446
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 3","Montréal",9,45,105,3,3,9,174,456
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 4","Montréal",19,43,100,11,0,4,177,441
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 5","Montréal",8,46,97,8,1,2,162,408
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 6","Montréal",9,40,94,10,2,5,160,382
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 7","Montréal",15,22,112,17,2,3,171,405
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 8","Montréal",13,41,116,7,1,3,181,430
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 9","Montréal",14,66,199,12,1,7,299,575
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 10","Montréal",9,74,174,20,2,1,280,576
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 11","Montréal",17,45,118,15,2,4,201,403
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 12","Montréal",20,56,148,9,2,0,235,523
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 13","Montréal",10,55,146,6,6,2,225,418
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 14","Montréal",12,37,100,12,5,6,172,427
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 15","Montréal",18,28,50,6,1,4,107,328
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 16","Montréal",18,55,112,7,3,3,198,540
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 17","Montréal",16,44,126,15,2,11,214,500
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 18","Montréal",17,34,93,7,0,6,157,375
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 19","Montréal",18,39,90,8,0,6,161,402
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 20","Montréal",9,38,110,8,1,1,167,362
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 21","Montréal",20,17,106,1,11,5,160,444
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 22","Montréal",19,29,100,4,1,4,157,426
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 23","Montréal",9,28,76,12,0,4,129,327
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 24","Montréal",16,47,111,9,3,7,193,545
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 25","Montréal",22,48,103,5,1,3,182,445
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 26","Montréal",13,22,96,4,1,2,138,402
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 27","Montréal",8,29,101,8,1,1,148,445
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 28","Montréal",2,33,83,4,3,1,126,474
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 29","Montréal",6,23,60,14,0,1,104,333
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 30","Montréal",4,41,113,11,3,3,175,483
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 31","Montréal",9,40,87,8,0,5,149,487
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 32","Montréal",14,38,111,10,2,7,182,485
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 33","Montréal",7,19,91,5,0,5,127,363
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 34","Montréal",13,40,137,11,0,8,209,564
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 35","Montréal",28,25,104,16,4,3,180,484
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 36","Montréal",19,25,83,8,0,5,140,489
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 37","Montréal",12,25,101,11,3,4,156,438
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 38","Montréal",18,47,110,15,0,15,205,494
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 39","Montréal",12,28,104,5,0,6,155,431
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 40","Montréal",6,17,75,9,1,4,112,447
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 41","Montréal",12,54,119,15,1,3,204,444
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 42","Montréal",11,70,130,11,4,2,228,597
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 43","Montréal",8,77,120,9,3,6,223,485
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 44","Montréal",10,80,120,12,3,1,226,407
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 45","Montréal",9,25,93,3,1,2,133,361
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 46","Montréal",16,34,105,6,0,5,166,380
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 47","Montréal",15,46,118,10,0,0,189,453
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 48","Montréal",8,25,83,7,0,5,128,343
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 49","Montréal",6,42,95,3,0,5,151,390
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 50","Montréal",10,34,67,7,0,3,121,325
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 51","Montréal",8,55,101,16,1,7,188,493
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 52","Montréal",10,49,115,4,0,3,181,436
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 53","Montréal",9,57,110,9,4,3,192,393
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 54","Montréal",4,38,83,5,2,5,137,344
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 55","Montréal",9,30,79,10,1,7,136,445
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 56","Montréal",15,32,97,7,1,2,154,421
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 57","Montréal",19,43,84,8,2,1,157,391
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 58","Montréal",8,45,96,19,0,1,169,426
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 59","Montréal",7,48,102,17,2,1,177,396
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 60A","Montréal",1,13,34,0,1,0,49,195
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 60B","Montréal",2,10,108,3,1,6,130,181
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 61","Montréal",8,59,156,18,1,6,248,552
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 62","Montréal",8,45,143,17,2,0,215,439
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 63","Montréal",8,46,139,20,3,6,222,445
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 64","Montréal",3,75,131,1,4,1,215,556
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 65","Montréal",22,47,154,14,2,3,242,538
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 66","Montréal",5,46,69,2,1,1,124,366
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 67","Montréal",1,14,101,9,0,2,127,398
