Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Félix Couture,Simon Frenette,Joël Godin,Christian Hébert,Antonin Leroux,Johann Queffelec,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 1","Stoneham-et-Tewkesbury",10,2,69,43,45,9,2,180,434
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 2","Stoneham-et-Tewkesbury",5,3,88,37,29,3,1,166,392
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3","Stoneham-et-Tewkesbury",3,0,86,30,48,4,4,175,440
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 4","Stoneham-et-Tewkesbury",7,1,84,38,43,5,1,179,406
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 5","Stoneham-et-Tewkesbury",4,0,54,20,41,1,4,124,289
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6","Stoneham-et-Tewkesbury",5,4,114,47,83,5,3,261,522
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 7","Stoneham-et-Tewkesbury",2,2,65,22,29,3,1,124,282
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 8","Stoneham-et-Tewkesbury",3,1,116,48,55,1,2,226,469
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 9","Stoneham-et-Tewkesbury",6,0,77,37,56,5,3,184,374
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 10","Stoneham-et-Tewkesbury",2,0,99,23,35,4,2,165,408
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 11","Stoneham-et-Tewkesbury",6,2,130,47,75,9,2,271,585
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12","Stoneham-et-Tewkesbury",6,0,83,36,51,1,3,180,449
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13","Stoneham-et-Tewkesbury",3,1,81,27,40,5,2,159,424
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 14","Stoneham-et-Tewkesbury",6,1,74,43,61,7,2,194,387
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 15","Stoneham-et-Tewkesbury",2,0,84,33,49,2,1,171,392
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16","Rivière-à-Pierre",2,3,83,27,40,3,3,161,291
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17","Rivière-à-Pierre",0,2,69,21,19,1,2,114,213
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 18","Saint-Gabriel-de-Valcartier",3,1,80,23,43,2,1,153,335
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 19","Saint-Gabriel-de-Valcartier",2,4,103,18,36,5,3,171,368
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20","Saint-Gabriel-de-Valcartier",4,0,132,23,52,4,4,219,499
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 21","Saint-Gabriel-de-Valcartier",5,5,97,34,31,6,2,180,405
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 22","Saint-Gabriel-de-Valcartier",2,1,75,13,30,1,0,122,285
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 23","Saint-Gabriel-de-Valcartier",3,2,79,19,42,4,4,153,421
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 24","Stoneham-et-Tewkesbury",4,1,69,15,31,3,2,125,370
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 25","Lac-Delage",7,1,126,81,118,8,2,343,567
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 26","Stoneham-et-Tewkesbury",2,2,113,43,46,4,3,213,537
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 27","Stoneham-et-Tewkesbury",5,0,77,22,19,4,2,129,343
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 28","Saint-Raymond",11,1,158,42,55,2,4,273,316
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 29","Saint-Raymond",1,2,103,23,39,2,4,174,380
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 30","Saint-Raymond",0,4,141,34,58,3,3,243,506
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 31","Saint-Raymond",3,0,103,53,68,1,2,230,536
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 32","Saint-Raymond",Combined with No./Résultats combinés à ceux du n°28,,,,,,,,292
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 33","Saint-Raymond",2,2,135,28,37,0,2,206,496
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 34","Saint-Raymond",4,2,137,33,53,0,1,230,497
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 35","Saint-Raymond",6,1,134,37,36,1,2,217,536
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36","Saint-Raymond",1,1,86,12,42,2,1,145,437
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 37","Saint-Raymond",6,2,115,38,44,3,3,211,549
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 38","Saint-Raymond",2,0,64,22,29,2,1,120,324
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 39","Saint-Raymond",1,0,90,26,28,1,0,146,393
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 40","Shannon",0,0,102,25,34,1,1,163,299
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 41","Shannon",1,2,162,33,34,0,3,235,385
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 42","Shannon",7,2,111,16,34,4,6,180,321
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 43","Shannon",5,3,144,20,19,0,2,193,479
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 44","Shannon",1,0,44,7,20,0,0,72,239
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 45A","Shannon",0,1,65,14,17,1,3,101,301
