Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marie-Louise Beauchamp,Gaëtan Bérard,Edline Henri,Ingrid Fernanda Megni,Djaouida Sellah,Eric St-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Honoré-Mercier/Honoré-Mercier"," 1A","Montréal",0,4,19,32,3,67,1,126,322
24027,"Honoré-Mercier/Honoré-Mercier"," 1B","Montréal",0,3,24,26,1,49,1,104,282
24027,"Honoré-Mercier/Honoré-Mercier"," 2","Montréal",1,4,32,79,5,116,2,239,527
24027,"Honoré-Mercier/Honoré-Mercier"," 3","Montréal",3,3,41,44,6,68,4,169,511
24027,"Honoré-Mercier/Honoré-Mercier"," 4","Montréal",5,2,23,58,9,141,3,241,512
24027,"Honoré-Mercier/Honoré-Mercier"," 5","Montréal",1,1,15,73,10,128,3,231,515
24027,"Honoré-Mercier/Honoré-Mercier"," 6","Montréal",2,2,10,42,11,73,0,140,406
24027,"Honoré-Mercier/Honoré-Mercier"," 7","Montréal",2,2,44,47,6,101,0,202,464
24027,"Honoré-Mercier/Honoré-Mercier"," 8","Montréal",1,0,33,77,11,89,5,216,426
24027,"Honoré-Mercier/Honoré-Mercier"," 9","Montréal",2,0,15,93,4,116,0,230,528
24027,"Honoré-Mercier/Honoré-Mercier"," 10","Montréal",2,0,13,5,9,75,0,104,347
24027,"Honoré-Mercier/Honoré-Mercier"," 11","Montréal",1,1,9,42,6,146,2,207,514
24027,"Honoré-Mercier/Honoré-Mercier"," 12","Montréal",2,2,31,27,7,92,4,165,370
24027,"Honoré-Mercier/Honoré-Mercier"," 13","Montréal",2,0,5,58,7,110,2,184,417
24027,"Honoré-Mercier/Honoré-Mercier"," 14","Montréal",0,1,16,53,11,96,3,180,430
24027,"Honoré-Mercier/Honoré-Mercier"," 15","Montréal",2,1,25,44,10,110,4,196,429
