Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tim Hodgson,Mimi Lee,Lionel Loganathan,Aftab Qureshi,Haider Qureshi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Markham--Thornhill/Markham--Thornhill"," 1","Markham",108,5,95,3,1,1,213,551
35057,"Markham--Thornhill/Markham--Thornhill"," 2","Markham",66,3,47,4,0,0,120,313
35057,"Markham--Thornhill/Markham--Thornhill"," 3","Markham",118,2,97,3,2,2,224,520
35057,"Markham--Thornhill/Markham--Thornhill"," 4","Markham",108,3,109,4,1,0,225,503
35057,"Markham--Thornhill/Markham--Thornhill"," 5","Markham",141,2,121,3,0,4,271,609
35057,"Markham--Thornhill/Markham--Thornhill"," 6","Markham",83,5,99,7,1,3,198,540
35057,"Markham--Thornhill/Markham--Thornhill"," 7","Markham",82,0,73,3,0,0,158,416
35057,"Markham--Thornhill/Markham--Thornhill"," 8","Markham",98,1,107,4,0,2,212,531
35057,"Markham--Thornhill/Markham--Thornhill"," 9","Markham",101,5,92,5,0,0,203,524
35057,"Markham--Thornhill/Markham--Thornhill"," 10","Markham",121,0,66,8,2,2,199,518
35057,"Markham--Thornhill/Markham--Thornhill"," 11","Markham",89,5,110,3,1,0,208,552
35057,"Markham--Thornhill/Markham--Thornhill"," 12","Markham",78,1,69,5,1,2,156,420
35057,"Markham--Thornhill/Markham--Thornhill"," 13","Markham",102,3,78,4,0,0,187,504
35057,"Markham--Thornhill/Markham--Thornhill"," 14","Markham",81,0,64,3,0,1,149,444
35057,"Markham--Thornhill/Markham--Thornhill"," 15","Markham",106,0,98,4,0,2,210,577
35057,"Markham--Thornhill/Markham--Thornhill"," 16","Markham",114,0,84,2,1,0,201,443
35057,"Markham--Thornhill/Markham--Thornhill"," 17","Markham",57,1,78,3,0,0,139,563
35057,"Markham--Thornhill/Markham--Thornhill"," 18","Markham",69,4,73,11,0,0,157,478
35057,"Markham--Thornhill/Markham--Thornhill"," 19","Markham",127,2,111,5,0,1,246,538
35057,"Markham--Thornhill/Markham--Thornhill"," 20","Markham",127,3,98,7,1,1,237,561
35057,"Markham--Thornhill/Markham--Thornhill"," 21","Markham",129,1,70,5,0,1,206,407
35057,"Markham--Thornhill/Markham--Thornhill"," 22","Markham",76,1,60,4,0,1,142,335
35057,"Markham--Thornhill/Markham--Thornhill"," 23","Markham",137,2,60,6,1,1,207,443
35057,"Markham--Thornhill/Markham--Thornhill"," 24","Markham",124,2,96,2,0,0,224,601
35057,"Markham--Thornhill/Markham--Thornhill"," 25","Markham",120,1,83,12,1,1,218,479
35057,"Markham--Thornhill/Markham--Thornhill"," 26","Markham",97,2,79,5,0,1,184,510
35057,"Markham--Thornhill/Markham--Thornhill"," 27","Markham",156,4,94,5,0,3,262,605
35057,"Markham--Thornhill/Markham--Thornhill"," 28","Markham",104,1,65,9,0,0,179,426
35057,"Markham--Thornhill/Markham--Thornhill"," 29","Markham",156,5,150,6,1,3,321,990
35057,"Markham--Thornhill/Markham--Thornhill"," 30","Markham",86,1,64,8,1,3,163,421
35057,"Markham--Thornhill/Markham--Thornhill"," 31","Markham",66,2,48,1,0,2,119,438
35057,"Markham--Thornhill/Markham--Thornhill"," 32","Markham",87,0,43,7,1,0,138,483
35057,"Markham--Thornhill/Markham--Thornhill"," 33","Markham",101,4,86,6,2,2,201,513
35057,"Markham--Thornhill/Markham--Thornhill"," 34","Markham",95,2,62,6,0,2,167,476
35057,"Markham--Thornhill/Markham--Thornhill"," 35","Markham",111,2,85,5,1,2,206,605
35057,"Markham--Thornhill/Markham--Thornhill"," 36","Markham",70,2,36,4,0,2,114,366
35057,"Markham--Thornhill/Markham--Thornhill"," 37","Markham",97,4,32,17,3,2,155,548
35057,"Markham--Thornhill/Markham--Thornhill"," 38","Markham",78,1,50,2,0,0,131,331
35057,"Markham--Thornhill/Markham--Thornhill"," 39","Markham",108,1,95,4,0,3,211,500
35057,"Markham--Thornhill/Markham--Thornhill"," 40","Markham",102,1,91,3,0,0,197,396
35057,"Markham--Thornhill/Markham--Thornhill"," 41A","Markham",95,3,125,5,0,2,230,530
35057,"Markham--Thornhill/Markham--Thornhill"," 41B","Markham",98,2,89,4,0,1,194,452
35057,"Markham--Thornhill/Markham--Thornhill"," 41C","Markham",96,2,111,6,1,2,218,487
35057,"Markham--Thornhill/Markham--Thornhill"," 42","Markham",115,2,137,6,2,1,263,537
35057,"Markham--Thornhill/Markham--Thornhill"," 43","Markham",84,3,80,10,1,1,179,400
35057,"Markham--Thornhill/Markham--Thornhill"," 44","Markham",109,0,131,10,0,5,255,559
35057,"Markham--Thornhill/Markham--Thornhill"," 45","Markham",76,0,59,2,0,0,137,333
35057,"Markham--Thornhill/Markham--Thornhill"," 46","Markham",68,1,70,2,0,1,142,444
35057,"Markham--Thornhill/Markham--Thornhill"," 47","Markham",89,2,69,2,0,2,164,377
35057,"Markham--Thornhill/Markham--Thornhill"," 48","Markham",80,2,50,3,0,1,136,360
35057,"Markham--Thornhill/Markham--Thornhill"," 49","Markham",101,5,73,8,1,2,190,521
35057,"Markham--Thornhill/Markham--Thornhill"," 50","Markham",78,4,45,1,1,1,130,394
35057,"Markham--Thornhill/Markham--Thornhill"," 51","Markham",67,0,51,6,1,0,125,414
35057,"Markham--Thornhill/Markham--Thornhill"," 52","Markham",84,3,41,2,0,0,130,442
35057,"Markham--Thornhill/Markham--Thornhill"," 53","Markham",85,5,64,7,1,0,162,426
35057,"Markham--Thornhill/Markham--Thornhill"," 54","Markham",103,4,71,3,0,0,181,488
35057,"Markham--Thornhill/Markham--Thornhill"," 55","Markham",87,7,85,5,0,1,185,432
35057,"Markham--Thornhill/Markham--Thornhill"," 56","Markham",128,6,105,3,0,0,242,557
35057,"Markham--Thornhill/Markham--Thornhill"," 57","Markham",70,6,66,2,0,0,144,342
35057,"Markham--Thornhill/Markham--Thornhill"," 58","Markham",86,6,62,11,0,1,166,450
35057,"Markham--Thornhill/Markham--Thornhill"," 59","Markham",91,1,45,17,0,1,155,438
35057,"Markham--Thornhill/Markham--Thornhill"," 60","Markham",72,1,58,6,0,0,137,333
35057,"Markham--Thornhill/Markham--Thornhill"," 61","Markham",133,7,74,4,0,1,219,484
35057,"Markham--Thornhill/Markham--Thornhill"," 62","Markham",117,4,53,0,0,2,176,438
35057,"Markham--Thornhill/Markham--Thornhill"," 63","Markham",55,3,52,3,0,0,113,345
35057,"Markham--Thornhill/Markham--Thornhill"," 64","Markham",83,1,57,2,0,1,144,513
35057,"Markham--Thornhill/Markham--Thornhill"," 65","Markham",60,2,44,1,0,1,108,494
35057,"Markham--Thornhill/Markham--Thornhill"," 66","Markham",61,4,47,3,1,0,116,397
