Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Corinne Benson,Gurleen Chandi,Harpreet Grewal,Jagsharan Singh Mahal,Martin Schuetza,Amarjeet Sohi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 1","Edmonton",1,1,15,141,4,99,3,264,557
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 2","Edmonton",0,1,17,144,5,122,4,293,704
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 3","Edmonton",0,2,13,119,5,83,0,222,551
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 4","Edmonton",2,6,15,120,8,131,10,292,658
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 5","Edmonton",2,1,12,109,3,108,3,238,608
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 6","Edmonton",1,0,10,158,6,100,0,275,506
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 7","Edmonton",0,1,19,178,7,157,3,365,717
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 8","Edmonton",0,3,17,125,3,108,0,256,442
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 9","Edmonton",2,2,11,110,3,89,3,220,465
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 10","Edmonton",0,1,8,97,1,42,1,150,430
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 11","Edmonton",1,4,10,120,3,83,0,221,600
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 12","Edmonton",6,0,19,111,3,70,0,209,529
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 13","Edmonton",0,2,8,76,2,70,1,159,508
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 14","Edmonton",1,1,11,74,0,71,0,158,484
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 15","Edmonton",2,2,12,77,0,70,0,163,545
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 16","Edmonton",1,2,5,88,1,64,0,161,431
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 17","Edmonton",0,0,5,79,0,62,3,149,467
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 18","Edmonton",1,1,7,86,1,46,2,144,500
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 19","Edmonton",0,1,6,86,3,69,0,165,475
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 20","Edmonton",2,0,6,94,1,40,1,144,379
