Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Laurie Baird,Reggie Goldsbury,Kallee Lins,Steven Maffioli,Rob Morrison,James Wiedrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 57","Kimberley",0,32,76,1,72,4,2,187,475
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 58","Kimberley",4,52,48,1,52,3,0,160,447
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 59","Kimberley",0,35,40,1,65,1,0,142,491
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 60","Kimberley",0,25,26,2,61,0,0,114,340
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 61","Wycliffe",1,19,25,3,67,3,0,118,366
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 62","Nelson",1,47,73,5,39,6,0,171,395
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 63","Nelson",1,47,71,6,34,2,0,161,408
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 64","Nelson",1,40,81,5,36,4,2,169,413
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 65","Nelson",1,28,59,2,33,2,1,126,340
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 66","Nelson",2,42,72,4,42,3,1,166,421
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 67","Nelson",2,30,69,7,19,5,0,132,389
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 68","Nelson",3,37,73,4,26,5,0,148,407
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 69","Nelson",2,45,107,3,38,1,1,197,458
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 70","Nelson",1,44,90,3,44,5,0,187,446
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 71","Nelson",3,30,78,10,38,2,0,161,447
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 72","Nelson",3,24,52,4,53,5,1,142,451
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 73","Nelson",1,36,87,6,38,3,0,171,417
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 74","Nelson",0,43,82,6,39,4,0,174,444
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 75","Nelson",2,27,66,5,43,6,0,149,353
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 76","Nelson",0,52,77,5,45,2,0,181,421
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 77","Wasa",1,65,24,1,149,1,0,241,395
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 78","Wasa",0,27,24,3,112,1,1,168,285
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 79","Harrop--Sunshine Bay",0,34,60,3,63,7,0,167,279
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 80","Procter",1,36,62,6,55,6,0,166,298
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 81","Granite--Nelson",0,50,52,9,58,6,0,175,461
