Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dan Albas,Harpreet Badohal,Louise Lecouffe,Debbie Robinson,Juliette Sicotte,Gary Suddard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 14","West Kelowna",124,7,2,0,58,0,0,191,440
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 15","West Kelowna",117,10,3,1,70,0,1,202,466
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 16","Glenrosa",118,5,2,0,56,0,0,181,396
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 17","West Kelowna",99,6,2,2,77,0,0,186,473
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 18","West Kelowna",130,10,2,2,80,0,0,224,520
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 19","Central Okanagan West",68,7,2,0,55,0,1,133,355
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 20","West Kelowna",105,2,0,1,55,0,0,163,403
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 21","West Kelowna",68,4,2,1,40,0,2,117,403
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 22","West Kelowna",77,2,1,3,40,0,1,124,343
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 23","West Kelowna",126,15,2,1,73,0,2,219,517
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 24","West Kelowna",80,4,2,0,67,1,0,154,434
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 25","West Kelowna",69,8,2,2,39,0,0,120,334
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 26","West Kelowna",117,10,0,0,63,2,0,192,484
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 27","West Kelowna",65,5,0,3,52,1,1,127,441
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 28","Peachland",95,10,4,3,36,1,0,149,417
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 29","Peachland",60,7,1,1,43,0,0,112,448
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 30","Peachland",92,8,4,2,40,0,0,146,426
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 31","Peachland",Combined with No./Résultats combinés à ceux du n°32,,,,,,,,308
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 32","Peachland",105,13,7,4,74,0,1,204,415
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 33","Peachland",Combined with No./Résultats combinés à ceux du n°114,,,,,,,,287
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 34","West Kelowna",54,5,0,0,66,0,0,125,399
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 35","West Kelowna",80,11,0,0,51,0,2,144,429
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 36","West Kelowna",66,1,0,0,25,0,0,92,408
