Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dan Albas,Harpreet Badohal,Louise Lecouffe,Debbie Robinson,Juliette Sicotte,Gary Suddard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 169","Kelowna",Combined with No./Résultats combinés à ceux du n°184,,,,,,,,244
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 170","Kelowna",94,2,4,0,102,1,0,203,469
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 171","Kelowna",80,7,0,0,53,0,0,140,371
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 172","Kelowna",96,4,1,0,56,1,1,159,471
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 173","Kelowna",109,1,0,0,89,0,2,201,498
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 174","Kelowna",84,4,1,0,89,0,0,178,408
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 175","Kelowna",93,11,1,1,51,0,1,158,360
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 176","Kelowna",86,5,2,0,82,0,0,175,417
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 177","Kelowna",69,2,1,0,65,0,0,137,438
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 178","Kelowna",95,7,1,1,85,0,0,189,479
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 179","Kelowna",92,1,2,0,82,0,1,178,376
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 180","Kelowna",165,7,1,1,114,0,0,288,664
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 181","Kelowna",103,1,1,1,57,0,0,163,486
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 182","Kelowna",113,5,0,1,75,1,0,195,569
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 183","Central Okanagan",87,1,1,0,47,0,0,136,419
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 184","Central Okanagan",126,4,2,0,89,0,0,221,479
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 185","Summerland",Combined with No./Résultats combinés à ceux du n°187,,,,,,,,272
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 186","Summerland",82,3,2,1,39,2,0,129,391
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 187","Summerland",124,18,4,0,60,0,0,206,365
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 188","Summerland",89,6,6,0,78,1,0,180,347
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 189","Summerland",Combined with No./Résultats combinés à ceux du n°188,,,,,,,,308
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 190","Summerland",Combined with No./Résultats combinés à ceux du n°191,,,,,,,,303
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 191","Summerland",82,14,6,1,85,1,0,189,361
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 192","Summerland",64,4,2,1,56,1,1,129,361
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 193","Summerland",Combined with No./Résultats combinés à ceux du n°202,,,,,,,,249
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 194","Summerland",61,4,3,0,51,0,0,119,326
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 195","Summerland",44,5,3,1,50,1,0,104,427
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 196","Summerland",72,11,2,1,48,0,0,134,431
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 197","Summerland",51,4,0,0,33,1,1,90,353
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 198","Summerland",71,9,5,0,49,0,1,135,453
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 199","Summerland",59,3,1,0,58,0,0,121,356
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 200","Summerland",56,3,1,0,46,0,0,106,485
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 201","Summerland",102,9,3,0,66,1,3,184,467
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 202","Summerland",81,7,3,0,65,0,0,156,256
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 203","Summerland",Combined with No./Résultats combinés à ceux du n°210,,,,,,,,241
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 204","Summerland",100,10,1,4,99,2,0,216,370
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 205","Summerland",Combined with No./Résultats combinés à ceux du n°204,,,,,,,,322
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 206","Summerland",79,4,3,1,57,1,0,145,350
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 207","Summerland",74,8,3,1,57,0,1,144,358
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 208","Summerland",66,3,0,0,58,0,1,128,428
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 209","Summerland",62,10,7,1,51,0,0,131,454
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 210","Summerland",82,9,4,1,65,0,2,163,350
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 211","Summerland",59,6,2,4,56,0,0,127,377
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 212","Summerland",61,8,3,0,52,0,0,124,354
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 213","Summerland",88,10,5,3,49,0,0,155,480
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,49
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 501","Mobile poll/Bureau itinérant",39,15,4,1,44,0,2,105,119
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,26
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,33
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 504","Mobile poll/Bureau itinérant",50,17,2,3,59,1,7,139,152
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,32
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 506","Mobile poll/Bureau itinérant",64,9,1,2,58,2,0,136,155
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 507","Mobile poll/Bureau itinérant",31,7,5,1,38,0,0,82,86
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,69
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,44
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 510","Mobile poll/Bureau itinérant",29,4,3,0,36,0,5,77,46
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 511","Mobile poll/Bureau itinérant",20,7,4,0,34,0,1,66,89
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 512","Mobile poll/Bureau itinérant",5,2,2,1,4,0,0,14,20
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,3
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,56
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,8
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,22
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 517","Mobile poll/Bureau itinérant",32,18,1,1,43,2,3,100,118
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 600","Central Okanagan West",45,0,1,0,42,1,0,89,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 601","Central Okanagan West",738,30,10,4,602,2,2,1388,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 602","West Kelowna",923,43,7,7,729,0,1,1710,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 603","West Kelowna",769,34,12,3,566,2,5,1391,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 604","West Kelowna",449,22,5,4,377,1,0,858,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 605","West Kelowna",533,47,9,3,530,2,7,1131,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 606","West Kelowna",601,47,9,5,560,2,3,1227,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 607","West Kelowna",1042,26,13,10,853,2,10,1956,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 608","Central Okanagan West",613,30,10,3,629,1,2,1288,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 609","Central Okanagan West",322,18,6,4,290,1,0,641,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 610","Kelowna",373,47,11,6,597,1,2,1037,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 611","Kelowna",544,42,16,3,816,1,6,1428,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 612","Kelowna",903,58,13,6,1148,1,3,2132,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 613","Kelowna",930,45,11,8,1053,1,6,2054,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 614","Kelowna",998,27,5,3,876,1,3,1913,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 615","Kelowna",541,24,0,2,459,4,1,1031,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 616","Central Okanagan",680,21,4,4,648,2,2,1361,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 617","Central Okanagan West",1206,67,11,14,1031,4,9,2342,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 618","Okanagan-Similkameen F",1061,103,23,13,1158,5,10,2373,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 619","Summerland",961,102,27,17,1089,6,7,2209,
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud",,Group 1/Groupe 1, 687,47,25,4,805,0,130,1698,303
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud",,Group 2/Groupe 2, 1761,91,14,25,1558,2,86,3537,
