Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tom Bambrick,Leah Gazan,Gary Gervais,Donald Grant,Rahul Walia,Debra Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Winnipeg Centre/Winnipeg-Centre"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,57
46010,"Winnipeg Centre/Winnipeg-Centre"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,102
46010,"Winnipeg Centre/Winnipeg-Centre"," 503","Mobile poll/Bureau itinérant",25,38,3,2,54,1,4,127,132
46010,"Winnipeg Centre/Winnipeg-Centre"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,32
46010,"Winnipeg Centre/Winnipeg-Centre"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,36
46010,"Winnipeg Centre/Winnipeg-Centre"," 506","Mobile poll/Bureau itinérant",13,28,4,1,28,0,5,79,131
46010,"Winnipeg Centre/Winnipeg-Centre"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,53
46010,"Winnipeg Centre/Winnipeg-Centre"," 508","Mobile poll/Bureau itinérant",11,31,0,5,28,2,7,84,104
46010,"Winnipeg Centre/Winnipeg-Centre"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,56
46010,"Winnipeg Centre/Winnipeg-Centre"," 510","Mobile poll/Bureau itinérant",1,21,2,1,14,0,1,40,87
46010,"Winnipeg Centre/Winnipeg-Centre"," 511","Mobile poll/Bureau itinérant",12,31,1,4,37,2,1,88,111
46010,"Winnipeg Centre/Winnipeg-Centre"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,81
46010,"Winnipeg Centre/Winnipeg-Centre"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,27
46010,"Winnipeg Centre/Winnipeg-Centre"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,98
46010,"Winnipeg Centre/Winnipeg-Centre"," 515","Mobile poll/Bureau itinérant",18,44,2,4,56,0,4,128,142
46010,"Winnipeg Centre/Winnipeg-Centre"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,65
46010,"Winnipeg Centre/Winnipeg-Centre"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,19
46010,"Winnipeg Centre/Winnipeg-Centre"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,61
46010,"Winnipeg Centre/Winnipeg-Centre"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,85
46010,"Winnipeg Centre/Winnipeg-Centre"," 520","Mobile poll/Bureau itinérant",26,33,1,2,48,2,0,112,94
46010,"Winnipeg Centre/Winnipeg-Centre"," 521","Mobile poll/Bureau itinérant",21,34,2,0,30,0,1,88,60
46010,"Winnipeg Centre/Winnipeg-Centre"," 522","Mobile poll/Bureau itinérant",21,33,2,4,35,1,4,100,84
46010,"Winnipeg Centre/Winnipeg-Centre"," 523","Winnipeg",Combined with No./Résultats combinés à ceux du n°117,,,,,,,,11
46010,"Winnipeg Centre/Winnipeg-Centre"," 600","Winnipeg",217,217,6,2,259,2,10,713,
46010,"Winnipeg Centre/Winnipeg-Centre"," 601","Winnipeg",321,231,5,11,424,3,4,999,
46010,"Winnipeg Centre/Winnipeg-Centre"," 602","Winnipeg",272,500,9,6,564,4,8,1363,
46010,"Winnipeg Centre/Winnipeg-Centre"," 603","Winnipeg",262,363,9,11,333,3,10,991,
46010,"Winnipeg Centre/Winnipeg-Centre"," 604","Winnipeg",184,674,14,10,351,3,7,1243,
46010,"Winnipeg Centre/Winnipeg-Centre"," 605","Winnipeg",110,1255,22,11,534,7,7,1946,
46010,"Winnipeg Centre/Winnipeg-Centre"," 606","Winnipeg",78,498,15,5,271,6,4,877,
46010,"Winnipeg Centre/Winnipeg-Centre"," 607","Winnipeg",173,363,6,11,279,2,12,846,
46010,"Winnipeg Centre/Winnipeg-Centre"," 608","Winnipeg",80,110,2,4,120,2,2,320,
46010,"Winnipeg Centre/Winnipeg-Centre"," 609","Winnipeg",157,128,6,5,160,3,4,463,
46010,"Winnipeg Centre/Winnipeg-Centre"," 610","Winnipeg",99,253,7,5,272,1,8,645,
46010,"Winnipeg Centre/Winnipeg-Centre"," 611","Winnipeg",126,198,12,6,237,4,3,586,
46010,"Winnipeg Centre/Winnipeg-Centre"," 612","Winnipeg",99,109,4,4,124,5,3,348,
46010,"Winnipeg Centre/Winnipeg-Centre",,Group 1/Groupe 1, 155,329,19,20,450,21,72,1066,644
46010,"Winnipeg Centre/Winnipeg-Centre",,Group 2/Groupe 2, 222,659,19,17,637,17,45,1616,
