Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Melanie Burrett,Ben Lobb,Gregory J McLean,Caesar salad Pella,James Rice,Justin L Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35042,"Huron--Bruce/Huron--Bruce"," 1","Saugeen Shores",10,88,4,0,105,0,0,207,467
35042,"Huron--Bruce/Huron--Bruce"," 2","Saugeen Shores",2,52,2,1,124,1,1,183,432
35042,"Huron--Bruce/Huron--Bruce"," 3","Saugeen Shores",17,109,4,2,143,0,0,275,596
35042,"Huron--Bruce/Huron--Bruce"," 4","Saugeen Shores",4,70,3,0,113,2,1,193,502
35042,"Huron--Bruce/Huron--Bruce"," 5","Saugeen Shores",9,92,4,2,98,1,0,206,425
35042,"Huron--Bruce/Huron--Bruce"," 6","Saugeen Shores",7,81,6,1,141,1,1,238,573
35042,"Huron--Bruce/Huron--Bruce"," 7","Saugeen Shores",5,75,3,1,92,0,1,177,416
35042,"Huron--Bruce/Huron--Bruce"," 8","Saugeen Shores",6,93,2,1,95,0,0,197,570
35042,"Huron--Bruce/Huron--Bruce"," 9","Saugeen Shores",1,48,2,0,50,0,0,101,466
35042,"Huron--Bruce/Huron--Bruce"," 10","Saugeen Shores",6,65,3,0,52,0,1,127,359
35042,"Huron--Bruce/Huron--Bruce"," 11","Saugeen Shores",2,58,0,1,52,0,0,113,367
35042,"Huron--Bruce/Huron--Bruce"," 12","Saugeen Shores",10,121,2,1,126,0,0,260,653
35042,"Huron--Bruce/Huron--Bruce"," 13","Saugeen Shores",7,86,3,0,97,0,0,193,548
35042,"Huron--Bruce/Huron--Bruce"," 14","Saugeen Shores",8,57,2,1,78,2,0,148,425
35042,"Huron--Bruce/Huron--Bruce"," 15","Saugeen Shores",4,80,3,0,76,1,3,167,404
35042,"Huron--Bruce/Huron--Bruce"," 16","Saugeen Shores",4,63,8,0,67,0,0,142,391
35042,"Huron--Bruce/Huron--Bruce"," 17","Saugeen Shores",5,64,2,3,75,0,1,150,397
35042,"Huron--Bruce/Huron--Bruce"," 18","Saugeen Shores",13,77,3,1,67,1,1,163,467
35042,"Huron--Bruce/Huron--Bruce"," 19","Saugeen Shores",5,58,0,1,83,1,0,148,399
35042,"Huron--Bruce/Huron--Bruce"," 20","Saugeen Shores",9,82,1,0,64,0,0,156,413
35042,"Huron--Bruce/Huron--Bruce"," 21","Saugeen Shores",2,65,2,0,73,0,1,143,391
35042,"Huron--Bruce/Huron--Bruce"," 22","Saugeen Shores",14,92,5,0,122,1,2,236,673
35042,"Huron--Bruce/Huron--Bruce"," 23","Saugeen Shores",8,63,4,1,70,0,2,148,478
35042,"Huron--Bruce/Huron--Bruce"," 24","Saugeen Shores",4,91,1,0,115,1,1,213,567
35042,"Huron--Bruce/Huron--Bruce"," 25","Saugeen Shores",7,85,2,1,62,2,0,159,387
35042,"Huron--Bruce/Huron--Bruce"," 26","Saugeen Shores",2,77,3,2,79,1,1,165,536
35042,"Huron--Bruce/Huron--Bruce"," 27","Saugeen Shores",0,74,0,2,77,3,1,157,415
35042,"Huron--Bruce/Huron--Bruce"," 28","Saugeen Shores",11,51,3,0,69,0,0,134,364
35042,"Huron--Bruce/Huron--Bruce"," 29","Saugeen Shores",4,114,3,0,42,0,1,164,425
35042,"Huron--Bruce/Huron--Bruce"," 30","Underwood",7,143,3,0,77,1,0,231,424
35042,"Huron--Bruce/Huron--Bruce"," 31","Kincardine",6,106,1,1,68,1,0,183,391
35042,"Huron--Bruce/Huron--Bruce"," 32","Kincardine",7,129,0,2,42,0,0,180,320
35042,"Huron--Bruce/Huron--Bruce"," 33","Tiverton",10,114,0,2,80,2,0,208,365
35042,"Huron--Bruce/Huron--Bruce"," 34","Kincardine",3,76,1,2,98,0,0,180,419
35042,"Huron--Bruce/Huron--Bruce"," 35","Kincardine",2,131,2,0,84,0,0,219,432
35042,"Huron--Bruce/Huron--Bruce"," 36","Kincardine",5,107,1,2,68,0,0,183,346
35042,"Huron--Bruce/Huron--Bruce"," 37","Elmwood",4,78,3,1,37,0,2,125,371
35042,"Huron--Bruce/Huron--Bruce"," 38","Eden Grove",7,141,1,0,52,2,2,205,416
35042,"Huron--Bruce/Huron--Bruce"," 39","Cargill--Bradley",8,176,7,0,70,0,0,261,449
35042,"Huron--Bruce/Huron--Bruce"," 40","Chepstow",5,198,3,2,56,4,2,270,434
35042,"Huron--Bruce/Huron--Bruce"," 41","Riversdale",2,100,2,1,40,0,0,145,328
35042,"Huron--Bruce/Huron--Bruce"," 42","Lake Rosalind",4,90,3,0,55,0,0,152,435
