Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Omar Abubakar,Albert Carson,Lindsey Machona,Billy Morin,Colleen Rice,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 156","Edmonton",18,3,97,107,4,0,229,510
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 157","Edmonton",6,0,70,122,0,0,198,553
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 158","Edmonton",4,0,47,59,1,1,112,363
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 159","Edmonton",8,2,62,113,1,3,189,549
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 160","Edmonton",5,1,44,119,0,1,170,438
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 161","Edmonton",7,0,80,90,0,0,177,437
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 162","Edmonton",10,3,68,107,4,2,194,443
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 163","Edmonton",11,3,60,130,0,0,204,521
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 164","Edmonton",6,2,42,96,1,0,147,365
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 500","Edmonton",Combined with No./Résultats combinés à ceux du n°83,,,,,,,55
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 501","Edmonton",Combined with No./Résultats combinés à ceux du n°83,,,,,,,88
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 502","Mobile poll/Bureau itinérant",13,8,34,43,4,3,105,158
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°98C,,,,,,,80
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 504","Edmonton",Combined with No./Résultats combinés à ceux du n°113,,,,,,,44
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,111
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 506","Mobile poll/Bureau itinérant",12,5,61,81,1,4,164,183
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,60
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 600","Edmonton",89,10,616,901,11,5,1632,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 601","Edmonton",123,13,588,877,9,5,1615,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 602","Edmonton",30,3,157,223,3,1,417,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 603","Edmonton",56,8,301,382,1,2,750,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 604","Edmonton",71,10,351,566,4,1,1003,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 605","Edmonton",84,14,594,625,5,3,1325,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 606","Edmonton",96,18,683,720,4,6,1527,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 607","Edmonton",94,19,454,598,4,5,1174,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 608","Edmonton",127,15,723,768,4,10,1647,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 609","Edmonton",54,8,108,216,3,1,390,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 610","Edmonton",32,9,463,722,7,1,1234,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 611","Edmonton",48,8,386,687,5,3,1137,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 612","Edmonton",58,9,395,507,4,1,974,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 613","Edmonton",44,7,516,544,7,4,1122,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 614","Edmonton",50,8,512,711,9,4,1294,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 615","Edmonton",59,10,613,766,4,2,1454,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 616","Edmonton",70,20,808,1109,10,1,2018,
48019,"Edmonton Northwest/Edmonton-Nord-Ouest",,Group 1/Groupe 1, 80,13,521,654,14,78,1360,180
48019,"Edmonton Northwest/Edmonton-Nord-Ouest",,Group 2/Groupe 2, 51,10,350,546,5,56,1018,
