Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jill Declare,Alexandre Deschênes,Jean-Jacques Desgranges,Greg Fergus,Alice Grondin,Pascale Matecki,Frédéric Morin-Paquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hull--Aylmer/Hull--Aylmer"," 1","Gatineau",16,0,1,111,31,6,6,0,171,432
24028,"Hull--Aylmer/Hull--Aylmer"," 2","Gatineau",17,0,1,90,40,3,3,1,155,409
24028,"Hull--Aylmer/Hull--Aylmer"," 3","Gatineau",33,0,0,79,16,7,3,0,138,352
24028,"Hull--Aylmer/Hull--Aylmer"," 4","Gatineau",15,0,2,63,21,3,6,1,111,428
24028,"Hull--Aylmer/Hull--Aylmer"," 5","Gatineau",22,1,3,56,19,9,4,2,116,345
24028,"Hull--Aylmer/Hull--Aylmer"," 6","Gatineau",23,0,1,85,18,5,0,0,132,326
24028,"Hull--Aylmer/Hull--Aylmer"," 7","Gatineau",13,0,0,58,24,6,5,3,109,357
24028,"Hull--Aylmer/Hull--Aylmer"," 8","Gatineau",42,3,1,44,15,6,1,4,116,329
24028,"Hull--Aylmer/Hull--Aylmer"," 9","Gatineau",43,0,0,79,15,9,3,1,150,491
24028,"Hull--Aylmer/Hull--Aylmer"," 10","Gatineau",24,0,4,93,20,8,3,1,153,375
24028,"Hull--Aylmer/Hull--Aylmer"," 11","Gatineau",27,0,0,98,44,7,6,1,183,413
24028,"Hull--Aylmer/Hull--Aylmer"," 12","Gatineau",36,2,0,101,29,11,8,1,188,455
24028,"Hull--Aylmer/Hull--Aylmer"," 13","Gatineau",31,1,0,124,25,12,4,1,198,456
24028,"Hull--Aylmer/Hull--Aylmer"," 14","Gatineau",35,2,2,96,19,9,3,3,169,393
24028,"Hull--Aylmer/Hull--Aylmer"," 15","Gatineau",37,0,0,64,14,5,2,0,122,426
24028,"Hull--Aylmer/Hull--Aylmer"," 16","Gatineau",20,0,2,60,5,7,2,1,97,437
24028,"Hull--Aylmer/Hull--Aylmer"," 17","Gatineau",33,2,1,63,13,6,3,2,123,343
24028,"Hull--Aylmer/Hull--Aylmer"," 18","Gatineau",14,2,0,68,8,8,3,0,103,382
24028,"Hull--Aylmer/Hull--Aylmer"," 19","Gatineau",19,0,2,37,7,9,2,2,78,345
24028,"Hull--Aylmer/Hull--Aylmer"," 20","Gatineau",38,2,1,63,9,7,4,1,125,462
24028,"Hull--Aylmer/Hull--Aylmer"," 21","Gatineau",17,0,0,49,16,4,7,0,93,295
