Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David Brazil,Otis Crandell,Samuel Crête,Mary Shortall,Joanne Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 1","Pouch Cove",74,1,1,17,67,1,161,359
10006,"St. John's East/St. John's-Est"," 2","Pouch Cove",78,1,0,18,66,0,163,376
10006,"St. John's East/St. John's-Est"," 3","Pouch Cove",67,0,1,20,72,2,162,330
10006,"St. John's East/St. John's-Est"," 4","Pouch Cove",68,0,0,20,65,0,153,385
10006,"St. John's East/St. John's-Est"," 5","Pouch Cove",75,1,0,20,75,0,171,378
10006,"St. John's East/St. John's-Est"," 6","Flatrock",79,1,0,9,66,0,155,287
10006,"St. John's East/St. John's-Est"," 7","Flatrock",72,1,0,22,106,0,201,361
10006,"St. John's East/St. John's-Est"," 8","Flatrock",59,0,0,18,71,6,154,289
10006,"St. John's East/St. John's-Est"," 9","Flatrock",57,0,0,15,62,1,135,268
10006,"St. John's East/St. John's-Est"," 10","Flatrock",97,0,0,14,94,3,208,382
10006,"St. John's East/St. John's-Est"," 11","Logy Bay-Middle Cove-Outer Cove",63,0,0,12,98,5,178,371
10006,"St. John's East/St. John's-Est"," 12","Logy Bay-Middle Cove-Outer Cove",53,0,0,11,94,9,167,320
10006,"St. John's East/St. John's-Est"," 13","Logy Bay-Middle Cove-Outer Cove",47,0,0,19,116,4,186,328
10006,"St. John's East/St. John's-Est"," 14","Logy Bay-Middle Cove-Outer Cove",65,0,0,8,114,0,187,372
10006,"St. John's East/St. John's-Est"," 15","Logy Bay-Middle Cove-Outer Cove",55,4,1,15,106,4,185,401
10006,"St. John's East/St. John's-Est"," 16","Logy Bay-Middle Cove-Outer Cove",43,0,0,3,87,1,134,361
10006,"St. John's East/St. John's-Est"," 17","Logy Bay-Middle Cove-Outer Cove",41,0,0,6,77,0,124,422
10006,"St. John's East/St. John's-Est"," 18","Torbay",68,1,0,19,88,3,179,386
10006,"St. John's East/St. John's-Est"," 19","Torbay",50,1,0,9,52,0,112,269
10006,"St. John's East/St. John's-Est"," 20","Torbay",54,0,0,6,40,3,103,255
10006,"St. John's East/St. John's-Est"," 21","Torbay",55,0,1,22,83,3,164,336
10006,"St. John's East/St. John's-Est"," 22","Torbay",37,0,0,14,58,3,112,258
10006,"St. John's East/St. John's-Est"," 23","Torbay",72,1,0,8,67,2,150,348
10006,"St. John's East/St. John's-Est"," 24","Torbay",37,0,1,20,58,1,117,280
10006,"St. John's East/St. John's-Est"," 25","Torbay",64,0,2,19,73,2,160,380
10006,"St. John's East/St. John's-Est"," 26","Torbay",62,1,0,18,64,1,146,344
10006,"St. John's East/St. John's-Est"," 27","Torbay",36,0,0,6,44,0,86,252
