Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Daniel Birrell,Ashley Fearnall,Keri Goad,Wade Klassen,Jason Lavigne,Dane Lloyd,Kevin Schulthies,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48031,"Parkland/Parkland"," 1","Yellowhead County",3,14,0,2,1,140,1,1,162,344
48031,"Parkland/Parkland"," 2","Sangudo",2,11,0,2,2,150,1,1,169,400
48031,"Parkland/Parkland"," 3","Green Court",2,6,3,0,2,140,0,0,153,334
48031,"Parkland/Parkland"," 4","Mayerthorpe",2,12,8,0,6,87,0,0,115,329
48031,"Parkland/Parkland"," 5","Mayerthorpe",1,19,1,2,1,90,2,0,116,311
48031,"Parkland/Parkland"," 6","Mayerthorpe",1,11,4,1,2,107,1,0,127,311
48031,"Parkland/Parkland"," 7","Rochfort Bridge",0,12,1,0,0,106,1,2,122,351
48031,"Parkland/Parkland"," 8","McLeod Valley",1,12,5,1,0,135,1,1,156,350
48031,"Parkland/Parkland"," 9","Peers",1,13,2,0,6,121,0,0,143,313
48031,"Parkland/Parkland"," 10","Niton Junction",0,6,1,1,1,147,1,0,157,299
48031,"Parkland/Parkland"," 11","Carrot Creek",0,14,6,0,3,157,0,0,180,308
48031,"Parkland/Parkland"," 12","Balm",1,10,2,0,0,103,0,0,116,284
48031,"Parkland/Parkland"," 13","Styal",0,11,2,0,7,162,1,0,183,366
48031,"Parkland/Parkland"," 14","Wildwood",1,12,3,1,5,114,0,3,139,389
48031,"Parkland/Parkland"," 15","Wildwood",1,8,3,4,8,116,0,2,142,339
48031,"Parkland/Parkland"," 16","Lobstick",0,9,1,0,1,97,0,0,108,253
48031,"Parkland/Parkland"," 17","MacKay",2,10,9,1,3,175,0,1,201,433
48031,"Parkland/Parkland"," 18","Evansburg",1,24,4,0,5,171,0,1,206,385
48031,"Parkland/Parkland"," 19","Entwistle",1,19,9,3,5,147,0,1,185,390
48031,"Parkland/Parkland"," 20","Evansburg",1,28,4,0,4,144,1,0,182,391
48031,"Parkland/Parkland"," 21","Entwistle",2,21,10,1,3,205,1,1,244,435
48031,"Parkland/Parkland"," 22","Gainford",2,28,10,1,1,139,0,0,181,421
48031,"Parkland/Parkland"," 23","Kapasiwin",0,24,6,2,1,63,0,1,97,360
48031,"Parkland/Parkland"," 24","Seba Beach",0,33,8,0,2,95,1,0,139,444
48031,"Parkland/Parkland"," 25","Horen",1,13,0,0,3,161,4,1,183,394
48031,"Parkland/Parkland"," 26","Parkland County",5,46,11,0,1,162,0,0,225,449
48031,"Parkland/Parkland"," 27","Parkland County",0,28,6,0,1,140,1,0,176,345
48031,"Parkland/Parkland"," 28","Spruce Grove",2,35,14,2,3,155,0,3,214,399
48031,"Parkland/Parkland"," 29","Parkland County",1,44,14,1,0,174,0,2,236,403
48031,"Parkland/Parkland"," 30","Parkland County",4,34,6,0,5,151,2,1,203,437
48031,"Parkland/Parkland"," 31","Stony Plain--Spruce Grove",4,41,7,1,6,151,0,0,210,391
48031,"Parkland/Parkland"," 32","Parkland County",3,36,4,1,1,162,2,0,209,383
48031,"Parkland/Parkland"," 33","Spruce Grove",0,29,2,0,1,147,0,1,180,446
48031,"Parkland/Parkland"," 34","Spruce Grove",1,41,20,0,2,123,1,0,188,438
48031,"Parkland/Parkland"," 35","Spruce Grove",4,25,5,0,2,126,0,1,163,400
48031,"Parkland/Parkland"," 36","Spruce Grove",6,38,18,1,2,105,0,1,171,463
