Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Justin Abando,Dean Allison,Ryan Anderson,Dave Bylsma,Jennifer Korstanje,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Niagara West/Niagara-Ouest"," 57","St. Catharines",24,101,5,5,68,0,203,442
35072,"Niagara West/Niagara-Ouest"," 58","St. Catharines",17,89,5,2,80,0,193,531
35072,"Niagara West/Niagara-Ouest"," 59","St. Catharines",24,108,5,3,66,1,207,555
35072,"Niagara West/Niagara-Ouest"," 60","Grimsby",10,114,2,3,100,4,233,537
35072,"Niagara West/Niagara-Ouest"," 61","Grimsby",3,80,1,1,85,3,173,517
35072,"Niagara West/Niagara-Ouest"," 62","Grimsby",4,63,0,1,74,0,142,373
35072,"Niagara West/Niagara-Ouest"," 63","Grimsby",7,122,4,3,98,0,234,584
35072,"Niagara West/Niagara-Ouest"," 64","Grimsby",11,110,1,3,106,0,231,558
35072,"Niagara West/Niagara-Ouest"," 65","Lincoln",9,120,3,0,95,1,228,501
35072,"Niagara West/Niagara-Ouest"," 66","Lincoln",9,99,3,0,76,0,187,473
35072,"Niagara West/Niagara-Ouest"," 67","Lincoln",7,173,1,2,74,0,257,453
35072,"Niagara West/Niagara-Ouest"," 68","Lincoln",6,156,3,3,75,0,243,451
35072,"Niagara West/Niagara-Ouest"," 69","Lincoln",1,94,0,3,72,0,170,436
35072,"Niagara West/Niagara-Ouest"," 70","Lincoln",4,91,4,1,66,0,166,328
35072,"Niagara West/Niagara-Ouest"," 71","Lincoln",4,106,6,0,51,0,167,416
35072,"Niagara West/Niagara-Ouest"," 72","Lincoln",7,81,3,1,70,0,162,386
35072,"Niagara West/Niagara-Ouest"," 73","Lincoln",13,100,0,0,53,0,166,443
35072,"Niagara West/Niagara-Ouest"," 74","Lincoln",7,102,4,1,72,1,187,480
35072,"Niagara West/Niagara-Ouest"," 75","Grimsby",6,107,0,1,113,0,227,538
35072,"Niagara West/Niagara-Ouest"," 76","Grimsby",0,95,0,1,110,3,209,507
35072,"Niagara West/Niagara-Ouest"," 77","Grimsby",3,125,4,0,106,0,238,582
35072,"Niagara West/Niagara-Ouest"," 78","Lincoln",4,91,0,0,61,1,157,195
35072,"Niagara West/Niagara-Ouest"," 79","Lincoln",2,93,1,2,39,0,137,300
35072,"Niagara West/Niagara-Ouest"," 80","Lincoln",6,105,0,4,77,1,193,444
35072,"Niagara West/Niagara-Ouest"," 81","Lincoln",9,97,2,3,74,2,187,406
35072,"Niagara West/Niagara-Ouest"," 82","Lincoln",10,95,2,5,76,0,188,500
35072,"Niagara West/Niagara-Ouest"," 83","Lincoln",15,108,3,0,55,2,183,388
35072,"Niagara West/Niagara-Ouest"," 84","Lincoln",9,108,2,2,50,2,173,437
35072,"Niagara West/Niagara-Ouest"," 85A","St. Catharines",8,71,0,0,70,1,150,402
35072,"Niagara West/Niagara-Ouest"," 85B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,36
35072,"Niagara West/Niagara-Ouest"," 86","St. Catharines",16,85,1,0,92,2,196,519
35072,"Niagara West/Niagara-Ouest"," 87","St. Catharines",7,74,4,1,93,0,179,450
35072,"Niagara West/Niagara-Ouest"," 88","St. Catharines",11,88,4,0,86,0,189,474
35072,"Niagara West/Niagara-Ouest"," 89","St. Catharines",23,79,2,1,50,0,155,452
35072,"Niagara West/Niagara-Ouest"," 90","St. Catharines",10,87,1,0,76,0,174,448
35072,"Niagara West/Niagara-Ouest"," 91","St. Catharines",11,86,2,1,81,0,181,459
35072,"Niagara West/Niagara-Ouest"," 92","St. Catharines",9,90,3,1,85,2,190,457
35072,"Niagara West/Niagara-Ouest"," 93","St. Catharines",12,89,7,1,66,0,175,499
35072,"Niagara West/Niagara-Ouest"," 94","St. Catharines",2,80,0,0,108,0,190,399
35072,"Niagara West/Niagara-Ouest"," 95","St. Catharines",10,80,1,2,86,0,179,469
35072,"Niagara West/Niagara-Ouest"," 96","St. Catharines",12,67,1,1,59,1,141,378
35072,"Niagara West/Niagara-Ouest"," 97","St. Catharines",4,86,1,0,66,0,157,409
35072,"Niagara West/Niagara-Ouest"," 98","St. Catharines",4,82,0,0,106,1,193,563
35072,"Niagara West/Niagara-Ouest"," 99","St. Catharines",6,80,2,4,98,1,191,508
35072,"Niagara West/Niagara-Ouest"," 100","St. Catharines",4,97,2,1,75,3,182,552
