Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Randy Briand,Cheryl Gallant,Eileen Jones-Whyte,Stefan Klietsch,Seth Malina,Cyndi Mills,Danilo Velasquez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 1","Rolphton",1,123,5,0,0,82,3,3,217,412
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 2","Point Alexander",2,91,8,0,0,65,1,0,167,350
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 3","Deep River",3,37,3,0,0,80,2,1,126,352
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 4A","Deep River",2,30,5,1,1,51,3,1,94,316
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 4B","Mobile poll/Bureau itinérant",0,6,2,0,0,9,0,3,20,31
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 5","Deep River",2,64,6,2,1,93,2,0,170,459
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 6","Deep River",3,84,6,0,0,84,1,0,178,515
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 7","Deep River",3,38,7,1,0,91,1,1,142,397
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 8","Deep River",3,53,8,0,1,53,0,0,118,372
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 9","Deep River",0,52,8,1,0,57,1,2,121,400
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 10","Deep River",5,41,7,1,0,83,2,0,139,318
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 11A","Deep River",3,41,6,0,1,74,0,0,125,321
35002,"Algonquin--Renfrew--Pembroke/Algonquin--Renfrew--Pembroke"," 11B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°4B,,,,,,,,,13
