Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Doug Shipley,Michael Speers,Greg Taylor,Gabriela Trujillo,Rose Zacharias,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 1","Oro-Medonte",170,0,2,15,86,1,274,475
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 2","Oro-Medonte",101,0,5,5,50,1,162,501
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 3","Oro-Medonte",124,1,7,3,59,0,194,472
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 4","Oro-Medonte",110,0,5,6,54,0,175,471
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 5","Oro-Medonte",88,0,2,2,44,0,136,455
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 6","Oro-Medonte",125,0,5,4,109,1,244,449
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 7","Oro-Medonte",107,0,4,2,68,3,184,522
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 8","Oro-Medonte",140,0,4,6,117,0,267,470
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 9","Oro-Medonte",162,1,4,5,117,0,289,507
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 10","Oro-Medonte",116,0,5,8,75,0,204,512
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 11","Oro-Medonte",159,0,8,6,91,3,267,481
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 12","Oro-Medonte",98,0,3,2,85,0,188,504
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 13","Oro-Medonte",81,0,5,6,80,0,172,478
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 14","Oro-Medonte",83,0,5,4,46,1,139,482
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 15","Springwater",125,2,9,3,44,1,184,460
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 16","Springwater",132,0,4,8,63,0,207,540
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 17","Springwater",128,0,3,6,67,1,205,609
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 18","Springwater",131,0,6,2,62,0,201,461
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 19","Springwater",145,2,6,11,73,2,239,528
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 20","Springwater",137,1,3,6,107,2,256,581
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 21","Springwater",105,0,2,1,57,0,165,465
