Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Taylor Bachrach,Inderpal Dhillon,Ellis Ross,Rod Taylor,Adeana Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1","Atlin",34,26,42,1,2,0,105,327
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1-1","Five Mile Point 3",Combined with No./Résultats combinés à ceux du n°1,,,,,,,69
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2","Dease River 1",3,3,9,0,2,0,17,36
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2-1","Good Hope Lake",Combined with No./Résultats combinés à ceux du n°2,,,,,,,10
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2-2","Tulsequah",Void/Supprimé,,,,,,,
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2-3","Jade City",Combined with No./Résultats combinés à ceux du n°2,,,,,,,11
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3","Liard River 3",1,6,2,3,1,0,13,47
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4","Dease Lake",35,16,42,1,6,0,100,294
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4-1","Dease Lake 9",Combined with No./Résultats combinés à ceux du n°4,,,,,,,17
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5","Guhthe Tah 12",70,2,11,1,3,0,87,181
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5-1","Stikine",Combined with No./Résultats combinés à ceux du n°5,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6","Iskut 6",41,7,15,3,0,2,68,213
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6-1","40 MIle Flats",Combined with No./Résultats combinés à ceux du n°6,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6-2","Bob Quinn Lake",Combined with No./Résultats combinés à ceux du n°6,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6-3","Eddontenajon",Combined with No./Résultats combinés à ceux du n°6,,,,,,,2
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6-4","Tatogga",Combined with No./Résultats combinés à ceux du n°6,,,,,,,0
