Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Shawn Cartlidge,Jim Johnston,Kent Keenan,Taylor McIntosh,Lianne Rood,Cynthia Workman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Middlesex--London/Middlesex--London"," 1","Lucan",0,3,50,6,110,3,0,172,408
35059,"Middlesex--London/Middlesex--London"," 2","Lucan",3,0,34,1,131,2,1,172,390
35059,"Middlesex--London/Middlesex--London"," 3","Granton",1,4,44,9,91,1,0,150,347
35059,"Middlesex--London/Middlesex--London"," 4","Lucan",4,2,89,3,122,0,0,220,517
35059,"Middlesex--London/Middlesex--London"," 5","Lucan",0,4,48,10,106,1,1,170,441
35059,"Middlesex--London/Middlesex--London"," 6","Lucan Biddulph",3,2,104,17,128,0,0,254,540
35059,"Middlesex--London/Middlesex--London"," 7","Lucan Biddulph",1,2,68,5,95,0,0,171,465
35059,"Middlesex--London/Middlesex--London"," 8","Elginfield",0,1,42,8,128,1,0,180,421
35059,"Middlesex--London/Middlesex--London"," 9","Lucan Biddulph",2,2,94,9,103,0,0,210,500
35059,"Middlesex--London/Middlesex--London"," 10","Lucan Biddulph",0,2,76,12,98,1,1,190,437
35059,"Middlesex--London/Middlesex--London"," 11","Bryanston",0,4,44,5,108,2,1,164,366
35059,"Middlesex--London/Middlesex--London"," 12","Cherry Grove",1,3,24,6,64,6,0,104,367
35059,"Middlesex--London/Middlesex--London"," 13","Cherry Grove",1,5,52,2,109,1,0,170,342
35059,"Middlesex--London/Middlesex--London"," 14","Friendly Corners",0,0,40,2,94,7,0,143,350
35059,"Middlesex--London/Middlesex--London"," 15","Thorndale",0,0,50,16,57,2,3,128,390
35059,"Middlesex--London/Middlesex--London"," 16","Thorndale",0,0,56,4,79,0,0,139,373
35059,"Middlesex--London/Middlesex--London"," 17","Evelyn",0,2,38,6,85,3,0,134,339
35059,"Middlesex--London/Middlesex--London"," 18","Thorndale",0,1,46,9,65,1,0,122,344
35059,"Middlesex--London/Middlesex--London"," 19","Thorndale",0,0,28,6,67,2,0,103,318
35059,"Middlesex--London/Middlesex--London"," 20","Thorndale",1,4,50,0,99,3,1,158,357
35059,"Middlesex--London/Middlesex--London"," 21","Evelyn",0,0,40,6,71,7,2,126,355
35059,"Middlesex--London/Middlesex--London"," 22","McGillivray",0,1,37,5,133,2,0,178,343
35059,"Middlesex--London/Middlesex--London"," 23","North Middlesex",3,2,80,8,129,2,2,226,383
35059,"Middlesex--London/Middlesex--London"," 24","North Middlesex",7,5,55,11,120,4,0,202,360
35059,"Middlesex--London/Middlesex--London"," 25","North Middlesex",2,4,83,11,165,1,0,266,462
35059,"Middlesex--London/Middlesex--London"," 26","North Middlesex",5,2,69,8,146,0,1,231,423
