Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Thomas Barré,Jean Boily,Kalden Dhatsenpa,Dave Hamelin-Schuilenburg,Christopher Massé,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Vaudreuil/Vaudreuil"," 38","Vaudreuil-Dorion",11,0,0,0,8,49,0,68,328
24076,"Vaudreuil/Vaudreuil"," 39","Vaudreuil-Dorion",50,1,1,1,10,102,2,167,574
24076,"Vaudreuil/Vaudreuil"," 40","Vaudreuil-Dorion",31,0,4,1,34,66,0,136,260
24076,"Vaudreuil/Vaudreuil"," 41","Vaudreuil-Dorion",43,0,6,1,8,76,1,135,450
24076,"Vaudreuil/Vaudreuil"," 42","Vaudreuil-Dorion",Combined with No./Résultats combinés à ceux du n°40,,,,,,,,204
24076,"Vaudreuil/Vaudreuil"," 43","Vaudreuil-Dorion",60,2,4,3,23,117,1,210,502
24076,"Vaudreuil/Vaudreuil"," 44","Vaudreuil-Dorion",36,0,1,3,24,66,1,131,407
24076,"Vaudreuil/Vaudreuil"," 45","Vaudreuil-Dorion",13,0,1,3,21,51,0,89,332
24076,"Vaudreuil/Vaudreuil"," 46","Vaudreuil-Dorion",43,3,2,2,26,106,0,182,557
24076,"Vaudreuil/Vaudreuil"," 47","Vaudreuil-Dorion",46,0,9,1,31,77,6,170,500
24076,"Vaudreuil/Vaudreuil"," 48","Vaudreuil-Dorion",30,0,5,1,47,100,1,184,544
24076,"Vaudreuil/Vaudreuil"," 49","Vaudreuil-Dorion",44,2,5,1,24,71,1,148,392
24076,"Vaudreuil/Vaudreuil"," 50","Vaudreuil-Dorion",55,0,9,3,21,96,1,185,473
24076,"Vaudreuil/Vaudreuil"," 51","Vaudreuil-Dorion",84,1,4,4,15,96,3,207,488
24076,"Vaudreuil/Vaudreuil"," 52","Vaudreuil-Dorion",56,0,3,3,38,128,5,233,586
24076,"Vaudreuil/Vaudreuil"," 53","Vaudreuil-Dorion",80,0,4,5,17,117,1,224,514
24076,"Vaudreuil/Vaudreuil"," 54","Vaudreuil-Dorion",52,0,11,1,18,88,2,172,497
24076,"Vaudreuil/Vaudreuil"," 55","Vaudreuil-Dorion",78,3,5,3,18,113,2,222,664
24076,"Vaudreuil/Vaudreuil"," 56","Vaudreuil-Dorion",67,5,7,3,25,134,2,243,561
24076,"Vaudreuil/Vaudreuil"," 57","Vaudreuil-Dorion",82,3,8,1,31,136,4,265,681
24076,"Vaudreuil/Vaudreuil"," 58","Saint-Lazare",54,3,1,3,29,84,1,175,424
24076,"Vaudreuil/Vaudreuil"," 59","Notre-Dame-de-l'Île-Perrot",56,1,5,8,29,80,2,181,545
24076,"Vaudreuil/Vaudreuil"," 60","Notre-Dame-de-l'Île-Perrot",36,0,3,4,29,100,1,173,397
24076,"Vaudreuil/Vaudreuil"," 61","Notre-Dame-de-l'Île-Perrot",55,1,4,2,25,99,0,186,441
24076,"Vaudreuil/Vaudreuil"," 62","Notre-Dame-de-l'Île-Perrot",38,1,3,4,35,62,1,144,350
24076,"Vaudreuil/Vaudreuil"," 63","Notre-Dame-de-l'Île-Perrot",66,1,6,4,21,95,1,194,534
24076,"Vaudreuil/Vaudreuil"," 64","L'Île-Perrot",74,2,8,2,22,104,2,214,513
24076,"Vaudreuil/Vaudreuil"," 65","L'Île-Perrot",52,0,9,2,26,74,0,163,610
24076,"Vaudreuil/Vaudreuil"," 66","L'Île-Perrot",66,2,12,2,48,85,2,217,575
24076,"Vaudreuil/Vaudreuil"," 67","L'Île-Perrot",42,2,8,5,38,75,4,174,466
24076,"Vaudreuil/Vaudreuil"," 68","L'Île-Perrot",40,3,3,3,20,54,3,126,387
24076,"Vaudreuil/Vaudreuil"," 69","L'Île-Perrot",44,1,2,2,31,107,1,188,442
24076,"Vaudreuil/Vaudreuil"," 70","Hudson",16,0,2,0,9,78,1,106,373
24076,"Vaudreuil/Vaudreuil"," 71","Hudson",33,0,2,1,5,78,0,119,322
24076,"Vaudreuil/Vaudreuil"," 72","Vaudreuil-Dorion",49,2,8,2,24,118,2,205,515
24076,"Vaudreuil/Vaudreuil"," 73","Hudson",19,0,1,3,6,75,1,105,308
24076,"Vaudreuil/Vaudreuil"," 74","Saint-Lazare",52,2,3,3,8,122,0,190,418
24076,"Vaudreuil/Vaudreuil"," 75","Saint-Lazare",38,0,6,5,20,88,0,157,326
24076,"Vaudreuil/Vaudreuil"," 76","L'Île-Perrot",34,1,3,2,14,71,1,126,289
24076,"Vaudreuil/Vaudreuil"," 77","L'Île-Perrot",38,0,2,1,16,39,3,99,405
24076,"Vaudreuil/Vaudreuil"," 78","Pincourt",48,2,1,1,30,76,3,161,311
24076,"Vaudreuil/Vaudreuil"," 79","Terrasse-Vaudreuil",52,2,4,2,36,100,1,197,305
24076,"Vaudreuil/Vaudreuil"," 80","Vaudreuil-Dorion",24,1,4,1,40,97,1,168,290
24076,"Vaudreuil/Vaudreuil"," 81","Terrasse-Vaudreuil",69,6,10,3,36,121,1,246,404
24076,"Vaudreuil/Vaudreuil"," 82","Terrasse-Vaudreuil",46,3,7,5,37,74,1,173,303
24076,"Vaudreuil/Vaudreuil"," 83","Vaudreuil-Dorion",53,0,2,4,34,91,2,186,456
24076,"Vaudreuil/Vaudreuil"," 84","Vaudreuil-Dorion",41,3,0,5,46,79,3,177,412
24076,"Vaudreuil/Vaudreuil"," 85","Vaudreuil-Dorion",16,0,2,2,26,69,2,117,354
24076,"Vaudreuil/Vaudreuil"," 86","Vaudreuil-Dorion",43,1,2,7,32,104,1,190,423
24076,"Vaudreuil/Vaudreuil"," 87","Vaudreuil-Dorion",40,0,5,5,40,65,0,155,439
24076,"Vaudreuil/Vaudreuil"," 88","L'Île-Perrot",47,12,2,5,40,75,1,182,455
24076,"Vaudreuil/Vaudreuil"," 89","L'Île-Perrot",64,5,5,4,44,80,4,206,502
24076,"Vaudreuil/Vaudreuil"," 90","L'Île-Perrot",46,3,2,1,53,71,3,179,458
24076,"Vaudreuil/Vaudreuil"," 91","L'Île-Perrot",78,5,6,7,33,134,5,268,655
24076,"Vaudreuil/Vaudreuil"," 92","L'Île-Perrot",65,3,1,5,25,79,3,181,496
24076,"Vaudreuil/Vaudreuil"," 93","L'Île-Perrot",57,3,5,4,25,65,2,161,446
24076,"Vaudreuil/Vaudreuil"," 94","L'Île-Perrot",53,3,4,2,33,107,4,206,492
24076,"Vaudreuil/Vaudreuil"," 95","Rigaud",33,1,7,6,38,49,2,136,453
24076,"Vaudreuil/Vaudreuil"," 96","Rigaud",22,7,5,1,26,44,0,105,366
24076,"Vaudreuil/Vaudreuil"," 97","Rigaud",38,3,6,0,42,66,0,155,437
24076,"Vaudreuil/Vaudreuil"," 98","Rigaud",21,2,5,3,25,51,0,107,351
24076,"Vaudreuil/Vaudreuil"," 99","Rigaud",43,0,3,3,29,90,2,170,417
24076,"Vaudreuil/Vaudreuil"," 100","Rigaud",49,0,7,4,40,91,0,191,466
24076,"Vaudreuil/Vaudreuil"," 101","Vaudreuil-Dorion",46,2,6,6,22,75,4,161,388
24076,"Vaudreuil/Vaudreuil"," 102","Rigaud",44,0,1,3,35,77,1,161,439
24076,"Vaudreuil/Vaudreuil"," 103","Rigaud",49,1,8,0,49,47,5,159,432
24076,"Vaudreuil/Vaudreuil"," 104","Rigaud",35,1,3,3,42,58,3,145,364
24076,"Vaudreuil/Vaudreuil"," 105","L'Île-Perrot",45,0,4,4,27,72,3,155,427
24076,"Vaudreuil/Vaudreuil"," 106","L'Île-Perrot",47,4,3,4,26,102,0,186,498
24076,"Vaudreuil/Vaudreuil"," 107","L'Île-Perrot",58,0,4,3,25,128,1,219,622
24076,"Vaudreuil/Vaudreuil"," 108","Vaudreuil-Dorion",25,0,3,1,40,58,0,127,320
24076,"Vaudreuil/Vaudreuil"," 109","Vaudreuil-Dorion",42,2,3,5,23,72,1,148,347
24076,"Vaudreuil/Vaudreuil"," 110","Vaudreuil-Dorion",37,0,4,7,44,63,1,156,432
24076,"Vaudreuil/Vaudreuil"," 111","Vaudreuil-Dorion",31,1,7,1,43,62,2,147,380
24076,"Vaudreuil/Vaudreuil"," 112A","Vaudreuil-Dorion",27,0,3,2,10,41,0,83,273
24076,"Vaudreuil/Vaudreuil"," 112B","Vaudreuil-Dorion",Combined with No./Résultats combinés à ceux du n°403,,,,,,,,89
24076,"Vaudreuil/Vaudreuil"," 113","Vaudreuil-Dorion",32,4,9,5,55,83,2,190,431
24076,"Vaudreuil/Vaudreuil"," 114","Pincourt",47,4,3,6,12,67,2,141,358
24076,"Vaudreuil/Vaudreuil"," 115","Pincourt",80,7,7,2,16,116,2,230,535
24076,"Vaudreuil/Vaudreuil"," 116","Pincourt",58,2,3,4,34,120,3,224,498
24076,"Vaudreuil/Vaudreuil"," 117","Pincourt",64,0,2,1,23,73,0,163,414
24076,"Vaudreuil/Vaudreuil"," 118","Pincourt",78,0,6,1,29,118,3,235,533
24076,"Vaudreuil/Vaudreuil"," 119","Pincourt",40,0,4,0,19,91,0,154,375
24076,"Vaudreuil/Vaudreuil"," 120","Pincourt",48,3,5,1,23,89,0,169,423
24076,"Vaudreuil/Vaudreuil"," 121","Pincourt",33,0,1,3,16,83,3,139,332
24076,"Vaudreuil/Vaudreuil"," 122","Vaudreuil-Dorion",37,0,2,3,25,61,2,130,437
24076,"Vaudreuil/Vaudreuil"," 123","Vaudreuil-Dorion",22,3,5,0,38,32,5,105,384
24076,"Vaudreuil/Vaudreuil"," 124","Vaudreuil-Dorion",67,1,4,6,32,94,2,206,497
24076,"Vaudreuil/Vaudreuil"," 125","Vaudreuil-Dorion",51,1,2,2,9,68,0,133,343
24076,"Vaudreuil/Vaudreuil"," 126","Vaudreuil-Dorion",60,1,7,2,10,93,0,173,517
24076,"Vaudreuil/Vaudreuil"," 127","Notre-Dame-de-l'Île-Perrot",45,1,11,1,27,102,0,187,420
24076,"Vaudreuil/Vaudreuil"," 128","Notre-Dame-de-l'Île-Perrot",54,1,4,3,18,88,3,171,367
24076,"Vaudreuil/Vaudreuil"," 129","Notre-Dame-de-l'Île-Perrot",54,1,0,5,34,97,0,191,391
24076,"Vaudreuil/Vaudreuil"," 130","Notre-Dame-de-l'Île-Perrot",54,0,4,2,38,104,3,205,460
24076,"Vaudreuil/Vaudreuil"," 131","Notre-Dame-de-l'Île-Perrot",80,2,4,2,34,86,0,208,499
24076,"Vaudreuil/Vaudreuil"," 132","Notre-Dame-de-l'Île-Perrot",37,1,6,0,27,63,1,135,315
24076,"Vaudreuil/Vaudreuil"," 133","Notre-Dame-de-l'Île-Perrot",67,0,9,2,58,105,1,242,501
