Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Thomas Barré,Jean Boily,Kalden Dhatsenpa,Dave Hamelin-Schuilenburg,Christopher Massé,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Vaudreuil/Vaudreuil"," 607","Saint-Lazare",247,8,16,12,94,937,9,1323,
24076,"Vaudreuil/Vaudreuil"," 608","Saint-Lazare",231,6,19,14,145,592,9,1016,
24076,"Vaudreuil/Vaudreuil"," 609","Saint-Lazare",226,3,24,13,197,695,9,1167,
24076,"Vaudreuil/Vaudreuil"," 610","Vaudreuil-Dorion",344,9,32,15,158,886,10,1454,
24076,"Vaudreuil/Vaudreuil"," 611","Vaudreuil-Dorion",227,5,23,10,199,840,7,1311,
24076,"Vaudreuil/Vaudreuil"," 612","Vaudreuil-Dorion",193,6,15,13,302,686,14,1229,
24076,"Vaudreuil/Vaudreuil"," 613","Vaudreuil-Dorion",232,5,19,14,226,886,7,1389,
24076,"Vaudreuil/Vaudreuil"," 614","Vaudreuil-Dorion",301,11,28,9,231,1022,9,1611,
24076,"Vaudreuil/Vaudreuil"," 615","Vaudreuil-Dorion",239,4,37,19,222,856,16,1393,
24076,"Vaudreuil/Vaudreuil"," 616","Vaudreuil-Dorion",259,11,24,13,275,708,8,1298,
24076,"Vaudreuil/Vaudreuil"," 617","Pincourt",365,9,41,17,241,1005,17,1695,
24076,"Vaudreuil/Vaudreuil"," 618","Vaudreuil-Dorion",214,15,39,19,191,851,9,1338,
24076,"Vaudreuil/Vaudreuil"," 619","L'Île-Perrot",326,12,55,11,270,881,13,1568,
24076,"Vaudreuil/Vaudreuil"," 620","L'Île-Perrot",207,9,29,15,257,791,6,1314,
24076,"Vaudreuil/Vaudreuil"," 621","Notre-Dame-de-l'Île-Perrot",413,13,27,19,284,1143,5,1904,
24076,"Vaudreuil/Vaudreuil"," 622","Pincourt",286,13,34,23,154,996,15,1521,
24076,"Vaudreuil/Vaudreuil"," 623","Notre-Dame-de-l'Île-Perrot",165,7,16,11,146,629,2,976,
24076,"Vaudreuil/Vaudreuil",,Group 1/Groupe 1, 132,5,35,20,51,542,40,825,249
24076,"Vaudreuil/Vaudreuil",,Group 2/Groupe 2, 402,8,28,23,201,2081,38,2781,
