Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cheryle Baker,Steven Beausoleil,Matthew Chambers,David Hilderley,Arpan Khanna,Melanie Van Brugge,Akshay Varun Raj Vardhan,Jacob Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Oxford/Oxford"," 130","Ingersoll",6,3,12,51,114,1,0,2,1,190,423
35083,"Oxford/Oxford"," 131","Ingersoll",2,3,20,43,94,1,0,5,0,168,424
35083,"Oxford/Oxford"," 132","Ingersoll",4,2,11,72,101,0,0,0,0,190,417
35083,"Oxford/Oxford"," 133","Burgessville",4,2,4,34,181,2,0,44,0,271,453
35083,"Oxford/Oxford"," 134","Burgessville",0,2,3,41,128,1,1,19,0,195,404
35083,"Oxford/Oxford"," 135","Holbrook",2,1,2,24,149,0,0,33,1,212,390
35083,"Oxford/Oxford"," 136","Ingersoll",1,3,12,69,104,1,0,4,1,195,523
35083,"Oxford/Oxford"," 137","Ingersoll",3,0,15,78,100,0,0,0,0,196,455
35083,"Oxford/Oxford"," 138","Ingersoll",1,1,7,51,69,0,0,0,0,129,336
35083,"Oxford/Oxford"," 139","Ingersoll",6,2,12,36,70,0,1,4,1,132,393
35083,"Oxford/Oxford"," 140","Ingersoll",3,1,5,60,75,1,1,2,0,148,437
35083,"Oxford/Oxford"," 141","Ingersoll",3,4,8,67,80,0,1,1,1,165,501
35083,"Oxford/Oxford"," 142","Ingersoll",3,1,22,70,110,0,0,2,0,208,560
35083,"Oxford/Oxford"," 143","Ingersoll",0,1,9,74,79,0,0,0,0,163,476
35083,"Oxford/Oxford"," 144","Ingersoll",4,1,8,82,87,0,0,1,1,184,507
35083,"Oxford/Oxford"," 145","Ingersoll",4,4,26,57,82,1,0,4,2,180,475
35083,"Oxford/Oxford"," 146","Ingersoll",5,5,10,39,80,1,0,2,0,142,375
35083,"Oxford/Oxford"," 147","Ingersoll",3,1,18,73,117,0,1,2,0,215,559
35083,"Oxford/Oxford"," 148","Ingersoll",0,1,12,49,68,0,0,3,0,133,396
35083,"Oxford/Oxford"," 149","Ingersoll",3,2,14,64,116,1,0,1,3,204,582
35083,"Oxford/Oxford"," 150","Ingersoll",2,0,13,47,92,1,0,0,0,155,432
35083,"Oxford/Oxford"," 151","South-West Oxford",1,0,5,25,56,0,0,1,0,88,208
35083,"Oxford/Oxford"," 152","Norwich",0,1,5,46,92,0,0,20,0,164,526
35083,"Oxford/Oxford"," 153","Norwich",2,0,2,40,99,0,0,6,0,149,423
35083,"Oxford/Oxford"," 154","Norwich",0,0,8,58,113,0,0,9,1,189,494
35083,"Oxford/Oxford"," 155","Norwich",4,5,9,52,119,0,0,16,0,205,571
35083,"Oxford/Oxford"," 156","Norwich",2,0,12,55,101,1,0,3,0,174,510
35083,"Oxford/Oxford"," 157","Norwich",1,1,1,26,169,1,1,37,0,237,594
35083,"Oxford/Oxford"," 158","Salford",2,0,16,58,141,1,0,25,0,243,461
35083,"Oxford/Oxford"," 159","Verschoyle",6,5,16,59,191,1,0,35,2,315,550
35083,"Oxford/Oxford"," 160","Mount Elgin",6,1,10,82,136,0,0,11,0,246,493
35083,"Oxford/Oxford"," 161","Verschoyle",3,6,6,32,127,1,0,31,2,208,457
35083,"Oxford/Oxford"," 162","Ostrander",0,2,10,55,137,3,0,6,2,215,424
35083,"Oxford/Oxford"," 163","Norwich",0,1,3,25,106,0,0,37,0,172,378
35083,"Oxford/Oxford"," 164","Norwich",1,0,2,32,111,0,0,17,0,163,423
