Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ray Aldinger,Godwin Ezizor,Mac Hird,Warren Steinley,Michael Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47006,"Regina--Lewvan/Regina--Lewvan"," 1","Regina",10,0,65,131,1,0,207,553
47006,"Regina--Lewvan/Regina--Lewvan"," 2","Regina",6,1,47,121,1,0,176,489
47006,"Regina--Lewvan/Regina--Lewvan"," 3","Regina",10,1,58,111,3,0,183,579
47006,"Regina--Lewvan/Regina--Lewvan"," 4","Regina",3,0,28,117,0,0,148,344
47006,"Regina--Lewvan/Regina--Lewvan"," 5","Regina",5,1,44,114,0,0,164,425
47006,"Regina--Lewvan/Regina--Lewvan"," 6","Regina",6,0,56,71,0,0,133,394
47006,"Regina--Lewvan/Regina--Lewvan"," 7","Regina",7,2,43,117,0,0,169,522
47006,"Regina--Lewvan/Regina--Lewvan"," 8","Regina",10,1,43,98,1,0,153,452
47006,"Regina--Lewvan/Regina--Lewvan"," 9","Regina",6,0,45,76,0,1,128,493
47006,"Regina--Lewvan/Regina--Lewvan"," 10","Regina",6,1,35,79,2,0,123,494
47006,"Regina--Lewvan/Regina--Lewvan"," 11","Regina",3,1,49,90,2,0,145,438
47006,"Regina--Lewvan/Regina--Lewvan"," 12","Regina",8,1,80,124,0,0,213,552
47006,"Regina--Lewvan/Regina--Lewvan"," 13","Regina",Combined with No./Résultats combinés à ceux du n°15,,,,,,,372
47006,"Regina--Lewvan/Regina--Lewvan"," 14","Regina",1,1,30,70,2,0,104,427
47006,"Regina--Lewvan/Regina--Lewvan"," 15","Regina",7,2,60,144,1,1,215,385
47006,"Regina--Lewvan/Regina--Lewvan"," 16","Regina",6,0,44,69,1,1,121,485
47006,"Regina--Lewvan/Regina--Lewvan"," 17","Regina",6,0,44,51,0,0,101,379
47006,"Regina--Lewvan/Regina--Lewvan"," 18","Regina",4,0,32,75,1,0,112,449
47006,"Regina--Lewvan/Regina--Lewvan"," 19","Regina",11,0,44,86,2,0,143,496
47006,"Regina--Lewvan/Regina--Lewvan"," 20","Regina",6,0,30,79,1,0,116,332
47006,"Regina--Lewvan/Regina--Lewvan"," 21","Regina",9,1,57,99,4,0,170,414
47006,"Regina--Lewvan/Regina--Lewvan"," 22","Regina",8,1,49,98,1,0,157,442
47006,"Regina--Lewvan/Regina--Lewvan"," 23","Regina",13,0,44,75,1,0,133,494
47006,"Regina--Lewvan/Regina--Lewvan"," 24","Regina",14,0,59,76,2,0,151,491
