Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David De Repentigny,Martine Desrochers,Nicolas Guérin,Patrick O'Hara,Nathalie Provost,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 1","Châteauguay",39,5,4,70,66,7,2,193,438
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 2","Châteauguay",44,3,3,61,62,1,3,177,440
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 3","Châteauguay",48,0,0,29,133,2,2,214,431
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 4","Châteauguay",48,0,3,42,113,1,0,207,437
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 5","Châteauguay",34,1,2,37,78,5,1,158,377
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 6","Châteauguay",45,8,0,42,100,4,3,202,458
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 7","Châteauguay",41,0,0,33,106,6,0,186,408
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 8","Châteauguay",56,2,0,36,128,4,1,227,513
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 9","Châteauguay",37,3,0,49,81,3,1,174,442
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 10","Châteauguay",33,0,0,30,95,8,4,170,395
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 11","Châteauguay",49,3,1,35,94,13,4,199,490
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 12","Châteauguay",34,1,0,12,79,5,1,132,320
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 13","Châteauguay",58,1,0,36,134,10,8,247,518
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 14","Châteauguay",56,6,0,35,81,4,5,187,419
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 15","Châteauguay",75,2,2,35,134,3,2,253,515
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 16","Châteauguay",36,4,1,24,92,3,0,160,346
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 17","Châteauguay",41,4,2,31,104,1,0,183,434
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 18","Châteauguay",49,4,1,30,82,5,0,171,385
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 19","Châteauguay",28,4,1,22,108,4,3,170,359
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 20A","Châteauguay",50,2,1,16,88,6,4,167,441
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 20B","Châteauguay",28,3,1,27,60,5,6,130,444
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 21","Châteauguay",25,2,0,29,78,3,1,138,378
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 22","Châteauguay",11,0,0,10,25,0,1,47,103
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 23","Châteauguay",34,4,1,27,97,5,3,171,382
