Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Janssen,Garry Keller,Valerie Kennedy,Louise Poitras,Pauline Rochefort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 52","North Bay",1,52,6,1,66,0,126,379
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 53","North Bay",0,55,3,3,62,0,123,328
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 54","North Bay",3,70,15,1,55,1,145,397
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 55","North Bay",3,54,8,4,63,2,134,398
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 56","North Bay",2,55,6,0,80,3,146,422
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 57","North Bay",2,45,12,4,54,0,117,364
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 58","North Bay",0,47,3,2,68,0,120,476
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 59","North Bay",4,39,3,0,42,0,88,280
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 60","North Bay",4,116,9,1,102,0,232,714
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 61","North Bay",0,71,9,3,109,0,192,564
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 62","North Bay",3,96,5,1,82,1,188,626
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 63","North Bay",0,60,6,2,85,0,153,448
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 64","North Bay",0,49,4,2,69,0,124,419
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 65","Mattawa",3,67,4,2,39,2,117,327
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 66","Mattawa",4,59,10,1,46,1,121,435
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 67","Mattawa",3,83,10,0,53,1,150,428
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 68","Papineau-Cameron",2,124,6,1,42,1,176,529
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69","North Bay",1,158,11,10,130,2,312,812
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 70","North Bay",1,49,4,2,91,0,147,426
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 71","North Bay",1,80,14,3,37,0,135,342
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 72","North Bay",0,51,4,1,71,2,129,358
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 73","North Bay",2,79,21,3,81,0,186,459
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 74","North Bay",5,62,11,2,78,0,158,376
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 75","North Bay",3,45,9,0,70,0,127,384
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 76","North Bay",0,89,0,0,102,0,191,535
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 77","North Bay",2,60,4,2,64,0,132,477
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 78","North Bay",1,66,11,0,64,0,142,377
